Main Entry,Location,Sub-entry,Detail,Page Numbers
"Franceschini, Baldassare",,La Burla del Pievano Arlotto,,231
"Franceschini, Marcantonio",,,,"192n, 194, 199, 223, 225, 227, 282"
"Franceschini, Marcantonio",,letters relating to commission from Stefano Conti,,389
"Franceschini, Marcantonio",,Mercury awaking Aeneas,,225n
"Franceschini, Marcantonio",,The Three Graces,,282n
"Franceschini, Marcantonio",,Venus,,282n
"Franchi, Antonio",,,,"227, 231n, 233n"
François I of France,,,,170
"Fratta, D. M.",,,,290
Frederick III (Holy Roman Emperor),,,,19n
Frederick IV of Denmark,,,,277
"Frederick Augustus I, Elector of Saxony",,see under Augustus II of Poland,,
"Frederick Augustus II, Elector of Saxony",,see under Augustus III of Poland,,
Frederick the Great,,,,"295, 211, 349, 360"
Frederick the Great,,and F. Algarotti,,"349, 356, 357, 360"
French Academy in Rome,,,,"189, 257"
French hostility to Italian art in the 17th century,,,,188
French patronage,,,,
French patronage,,in 17th century,,"173, 174, 175, 176, 177, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 200"
French patronage,,of Venetian artists in 18th century,,"277, 284, 285, 292, 293"
"Frescobaldi, Gerolamo",,,,95
"Fumiani, Giannantonio",,,,"227, 232"
"Fumiani, Giannantonio",,and Grand Prince Ferdinand,,234
"Fumiani, Giannantonio",,Christ driving the Jews from the Temple,,195
"Fumiani, Giannantonio",,Stoning of Zechariah,,234
"Furlani, Ventura",,,,362
"Furnaletto, Lodovico",,,,340
