Entity_Name,Type,Source,QID,Page_Numbers,Original_Files,Original_Count
Alessandro Albani,E21 Person,Handmade,Q540338,,name-English_table.csv,1
Alessandro Algardi,E21 Person,Handmade + Index,Q336798,"148; 182, 183; 371; 59, 71, 91, 148, 159, 176, 182, 183, 190",A_refined.csv; name-English_table.csv,7
Alessandro Baudi di Vesme,E21 Person,Handmade,Q52157623,,name-English_table.csv,1
Alessandro Bettagno,E21 Person,Handmade,Q59527613,,name-English_table.csv,1
Alessandro Borgia,E21 Person,Handmade,Q3609880,,name-English_table.csv,1
Alessandro Farnese (cardinal),E21 Person,Handmade,Q248459,,name-English_table.csv,1
"Alessandro Farnese, Duke of Parma",E21 Person,Handmade,Q312903,,name-English_table.csv,1
Alessandro Galilei,E21 Person,Handmade + Index,Q176742,286,G_refined.csv; name-English_table.csv,2
Alessandro Gherardini,E21 Person,Handmade + Index,Q327785,233,G_refined.csv; name-English_table.csv,2
Alessandro Longhi,E21 Person,Handmade + Index,Q1855242,"322; 322, 324n, 336, 361, 382; 373n",L_refined.csv; name-English_table.csv,4
Alessandro Ludovisi,E21 Person,Handmade,Q132692,,name-English_table.csv,1
Alessandro Luzio,E21 Person,Handmade,Q3610091,,name-English_table.csv,1
Alessandro Magnasco,E21 Person,Handmade + Index,Q516941,404,M_refined.csv; name-English_table.csv,2
Alessandro Marabottini,E21 Person,Handmade,Q19753755,,name-English_table.csv,1
Alessandro Marchesini,E21 Person,Handmade,Q3460024,,name-English_table.csv,1
Alessandro Orsini,E21 Person,Handmade + Index,Q2832804,99,O_refined.csv; name-English_table.csv,2
Alessandro Peretti di Montalto,E21 Person,Handmade,Q82659,,name-English_table.csv,1
Alessandro Scarlatti,E21 Person,Handmade + Index,Q183087,"230, 278",S_refined.csv; name-English_table.csv,2
Alessandro Sforza,E21 Person,Handmade,Q953878,,name-English_table.csv,1
Alessandro Turchi,E21 Person,Handmade + Index,Q507279,185,T_refined.csv; name-English_table.csv,3
Alessandro Varotari,E21 Person,Handmade,Q1727824,,name-English_table.csv,1
Alessandro Vasalli,E21 Person,Handmade,R3,,name-English_table.csv,1
Alessandro Vittrici,E21 Person,Handmade,Q4716445,,name-English_table.csv,1
Alessandro Zen,E21 Person,Handmade,R4,,name-English_table.csv,1
Alessandro de' Medici,E21 Person,Handmade,Q378232,,name-English_table.csv,1
"Alexander Hamilton, 10th Duke of Hamilton",E21 Person,Handmade,Q336657,,name-English_table.csv,1
Alexander III,E21 Person,Handmade,Q160116,,name-English_table.csv,1
Alexander Sauli,E21 Person,Handmade,Q1341237,,name-English_table.csv,1
Alexander the Great,E21 Person,Handmade,Q8409,,name-English_table.csv,1
Alfonso Gesualdo,E21 Person,Handmade,Q1373399,,name-English_table.csv,1
Alfonso I d'Este,E21 Person,Handmade,Q188346,,name-English_table.csv,1
Alfonso Pérez Sánchez,E21 Person,Handmade,Q1186153,,name-English_table.csv,1
Alfred Sensier,E21 Person,Handmade,Q2835445,,name-English_table.csv,1
Alfredo Bardella,E21 Person,Handmade,R5,,name-English_table.csv,1
"Algarotti, Bonomo",E21 Person,Index,,"293, 347, 348, 350n, 355, 356, 357, 361",A_refined.csv,1
Alice Binion,E21 Person,Handmade,R6,,name-English_table.csv,1
Allan Hume,E21 Person,Handmade,Q455438,,name-English_table.csv,1
Allegory of Clemency,E22 Man-Made Object,Handmade,A9,,work-English_table.csv,1
Allegory of Coral fishing,E22 Man-Made Object,Handmade,A10,,work-English_table.csv,1
Allegory of Divine Providence and Barberini Power,E22 Man-Made Object,Handmade,Q4731387,,work-English_table.csv,1
Allegory of Divine Wisdom,E22 Man-Made Object,Handmade,Q111821593,,work-English_table.csv,1
Allegory of Fortune,E22 Man-Made Object,Handmade,Q20087469,,work-English_table.csv,1
Allegory of Rome,E22 Man-Made Object,Handmade,A11,,work-English_table.csv,1
Allegory of Venice,E22 Man-Made Object,Handmade,A14,,work-English_table.csv,1
Allegory of the Arts,E22 Man-Made Object,Handmade,A12,,work-English_table.csv,1
Allegory of the Education of the Crown Prince of the Palatinate,E22 Man-Made Object,Handmade,A13,,work-English_table.csv,1
Aloysius Gonzaga,E21 Person,Handmade,Q310307,,name-English_table.csv,1
Alps,E53 Place,Handmade,Q1286,,gio-English_table.csv,1
Altar Paintings for the Parish Church of San Canciano,E22 Man-Made Object,Handmade,A18,,work-English_table.csv,1
Altar of Friendship,E53 Place,Handmade,G22,,gio-English_table.csv; work-English_table.csv,2
Altar of Tranquility and Rural Life,E22 Man-Made Object,Handmade,A16,,work-English_table.csv,1
Altar of Wealth and Apollo,E22 Man-Made Object,Handmade,A17,,work-English_table.csv,1
Altarpiece for Chiesa Nuova,E22 Man-Made Object,Handmade,A19,,work-English_table.csv,1
Altarpiece for Santa Maria dei Cappuccini,E22 Man-Made Object,Handmade,A20,,work-English_table.csv,1
Altarpiece for St. Sebastian,E22 Man-Made Object,Handmade,A21,,work-English_table.csv,1
Altarpiece for the Augustinian Church,E22 Man-Made Object,Handmade,A22,,work-English_table.csv,1
Altarpieces for the Royal Chapel,E22 Man-Made Object,Handmade,A23,,work-English_table.csv,1
Alte Pinakothek,E53 Place,Handmade,Q154568,,gio-English_table.csv,1
Altero Matteoli,E21 Person,Handmade,R7,,name-English_table.csv,1
Alticchiero (Querini villa),E22 Man-Made Object,Index,,"369, 370, 371, 372",A_refined.csv,1
Altieri,E53 Place,Handmade,G51,,gio-English_table.csv,1
Altieri palace,E22 Man-Made Object,Index,,"118, 156, 161",A_refined.csv,1
"Altieri, Don Gasparo",E21 Person,Index,,161,A_refined.csv,1
"Altieri, Emilio (Pope Clement X)",E21 Person,Index,,"118, 161, 162; 162",A_refined.csv,2
Alvise Mocenigo,E21 Person,Handmade,Q3613470,,name-English_table.csv,1
Alvise Pisani,E21 Person,Handmade,Q449469,,name-English_table.csv,1
Amadeo Swajer,E21 Person,Handmade + Index,R8,"376, 377",S_refined.csv; name-English_table.csv,2
Amalfi,E53 Place,Handmade,Q80563,,gio-English_table.csv,1
Amalia Mezzetti,E21 Person,Handmade,Q116770583,,name-English_table.csv,1
Ambroise Dubois,E21 Person,Handmade,Q2415583,,name-English_table.csv,1
"Amelot de la Houssaye, A. N.",E21 Person,Index,,247n,A_refined.csv,1
Amico Ricci,E21 Person,Handmade,Q3614269,,name-English_table.csv,1
Amor Vincit Omnia,E22 Man-Made Object,Handmade,Q474024,,work-English_table.csv,1
Amsterdam,E53 Place,Handmade,Q727,,gio-English_table.csv,1
Anatole de Montaiglon,E21 Person,Handmade,Q2845613,,name-English_table.csv,1
Andrea Brustolon,E21 Person,Handmade + Index,Q3615560,"337, 340",B_refined.csv; name-English_table.csv,2
Andrea Camassei,E21 Person,Handmade + Index,Q3615565,"10n, 50, 51, 56, 57, 61, 121, 131; 50; 50, 51",C_refined.csv; name-English_table.csv,5
Andrea Carlone,E21 Person,Handmade,Q3106993,,name-English_table.csv,1
Andrea Celesti,E21 Person,Handmade + Index,Q1065524,374,C_refined.csv; name-English_table.csv,2
Andrea Doria,E21 Person,Handmade,Q156521,,name-English_table.csv,1
Andrea Ferreri,E21 Person,Handmade,Q18217670,,name-English_table.csv,1
Andrea Gerini,E21 Person,Handmade,Q44635166,,name-English_table.csv,1
Andrea Giacomo Podestà,E21 Person,Handmade,Q4755099,,name-English_table.csv,1
Andrea Locatelli,E21 Person,Handmade + Index,Q494275,297n,L_refined.csv; name-English_table.csv,2
Andrea Mantegna,E21 Person,Handmade + Index,Q5681,"175, 380",M_refined.csv; name-English_table.csv,2
Andrea Memmo,E21 Person,Handmade + Index,Q1052776,"300, 309, 320, 322, 325, 364, 365, 366, 367, 368, 369, 373; 320n, 367; 330, 394, 395; 364; 364, 367, 368; 365, 366, 367, 368; 367; 368; 394",M_refined.csv; name-English_table.csv,11
Andrea Ottini,E21 Person,Handmade + Index,R11,122,O_refined.csv; name-English_table.csv,2
Andrea Palladio,E21 Person,Handmade + Index,Q177692,"103, 278, 348, 356, 357, 407; 357",P_refined.csv; name-English_table.csv,3
Andrea Pozzo,E21 Person,Handmade + Index,Q380103,"88, 89, 90, 91, 92; 93n, 201, 223n",P_refined.csv; name-English_table.csv,3
Andrea Procaccini,E21 Person,Handmade + Index,Q2846401,"18, 20n",P_refined.csv; name-English_table.csv,2
Andrea Querini,E21 Person,Handmade + Index,Q62056063,245n,Q-R_refined.csv; name-English_table.csv,2
Andrea Sacchi,E21 Person,Handmade + Index,Q495008,"12n, 55, 104; 141; 50, 51; 50, 51, 53, 54; 55; 7, 12n, 29, 39, 41, 43, 45, 46, 55, 56, 60, 62, 64, 104, 141, 159, 207, 210, 397; 7, 51, 54, 55, 56, 60",S_refined.csv; name-English_table.csv,8
Andrea Schiavone,E21 Person,Handmade + Index,Q495060,"241, 262",S_refined.csv; name-English_table.csv,2
Andrea Tessier,E21 Person,Handmade,Q23011967,,name-English_table.csv,1
Andrea Toresani,E21 Person,Handmade,Q4755304,,name-English_table.csv,1
Andrea Tron,E21 Person,Handmade,Q110224729,,name-English_table.csv,1
Andrea Vaccaro,E21 Person,Handmade + Index,Q2707224,210,UVWXYZ_refined.csv; name-English_table.csv,2
Andrea Zucchi,E21 Person,Handmade + Index,Q30250990,265,UVWXYZ_refined.csv; name-English_table.csv,2
Andrea del Rosso,E21 Person,Handmade + Index,R9,"210, 211, 212, 213, 241, 403, 404; 212; 212, 213; 213",Q-R_refined.csv; name-English_table.csv,5
Andrea del Sarto,E21 Person,Handmade + Index,Q5571,"231, 235; 30, 251",S_refined.csv; name-English_table.csv,3
Andreas Scherber,E21 Person,Handmade,Q500372,,name-English_table.csv,1
Andreina Griseri,E21 Person,Handmade,Q93253370,,name-English_table.csv,1
Andrew Fountaine,E21 Person,Handmade,Q4756994,,name-English_table.csv,1
Andrew the Apostle,E21 Person,Handmade,Q43399,,name-English_table.csv,1
Andromache weeping before Aeneas,E22 Man-Made Object,Handmade,A24,,work-English_table.csv,1
André Félibien,E21 Person,Handmade + Index,Q518705,"114, 115",F_refined.csv; name-English_table.csv,2
Andrés Marzo,E21 Person,Handmade,Q4760227,,name-English_table.csv,1
Angel with the Superscription,E22 Man-Made Object,Handmade,Q15181138,,work-English_table.csv,1
"Angeli, Filippo d' (Napoletano)",E21 Person,Index,,"29, 50, 95",A_refined.csv,1
Angelica Griè,E21 Person,Handmade,R12,,name-English_table.csv,1
Angelo Borzelli,E21 Person,Handmade,Q61472867,,name-English_table.csv,1
Angelo Calogerà,E21 Person,Handmade,Q3616914,,name-English_table.csv,1
Angelo Caroselli,E21 Person,Handmade + Index,Q1414382,179,C_refined.csv; name-English_table.csv,2
Angelo Cesi,E21 Person,Handmade + Index,Q28109298,"69, 70, 400",C_refined.csv; name-English_table.csv,2
Angelo Contarini,E21 Person,Handmade,R13,,name-English_table.csv,1
Angelo Crespi,E21 Person,Handmade,Q3616942,,name-English_table.csv,1
Angelo Custode,E22 Man-Made Object,Handmade,A25,,work-English_table.csv,1
Angelo Giori,E21 Person,Handmade + Index,Q536015,"41, 59",G_refined.csv; name-English_table.csv,2
Angelo Maria Querini,E21 Person,Handmade,Q536170,,name-English_table.csv,1
Angelo Michele Colonna,E21 Person,Handmade + Index,Q2312606,190,C_refined.csv; name-English_table.csv,2
Angelo Pinetti,E21 Person,Handmade,Q125962639,,name-English_table.csv,1
Angelo Querini,E21 Person,Handmade + Index,Q536447,"258, 259; 258, 259, 320, 322, 325, 336, 368, 369, 370, 371, 372, 373; 368; 369; 369, 370, 371, 372; 370; 370, 371; 371; 371, 372; 372",Q-R_refined.csv; name-English_table.csv,13
Angelo Solerti,E21 Person,Handmade,Q3617231,,name-English_table.csv,1
Angelo Trevisani,E21 Person,Handmade,Q536726,,name-English_table.csv,1
Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,E22 Man-Made Object,Handmade,A26,,work-English_table.csv,1
"Anglesey Abbey, Gardens and Lode Mill",E53 Place,Handmade,Q3021583,,gio-English_table.csv,1
Aniello Falcone,E21 Person,Handmade + Index,Q546528,206,F_refined.csv; name-English_table.csv,2
Animals and Figures in the Flemish Style|des animaux et figures à la flamande,E22 Man-Made Object,Handmade,A27,,work-English_table.csv,1
Ann Sutherland Harris,E21 Person,Handmade,Q18934849,,name-English_table.csv,1
Anna Banti,E21 Person,Handmade,Q470147,,name-English_table.csv,1
Anna Colonna,E21 Person,Handmade + Index,Q4766932,32,C_refined.csv; name-English_table.csv,2
Anna Maria Luisa de' Medici,E21 Person,Handmade,Q233181,,name-English_table.csv,1
Annamaria Gabrielli,E21 Person,Handmade,R14,,name-English_table.csv,1
Annan Gallery,E53 Place,Handmade,G145,,gio-English_table.csv,1
Anne Claude de Caylus,E21 Person,Handmade,Q2734012,,name-English_table.csv,1
Anne d’Autriche,E21 Person,Handmade,Q151209,,name-English_table.csv,1
"Anne of Austria, Regent of France",E53 Place,Index,,182,A_refined.csv,1
Anne of Great Britain,E21 Person,Handmade,Q119702,,name-English_table.csv,1
"Anne, Queen of England",E21 Person,Index,,"196, 197",A_refined.csv,1
Anne-Marie du Boccage,E21 Person,Handmade,Q2850913,,name-English_table.csv,1
Annibale Carracci,E21 Person,Handmade + Index,Q7824,"134; 222; 266; 4, 28, 29, 30, 39, 95, 105, 114, 124, 128, 131, 134, 158, 159, 170, 172, 203, 222, 263n, 283, 342, 348, 362",C_refined.csv; name-English_table.csv,5
Annibale Gonzaga,E21 Person,Handmade,Q566861,,name-English_table.csv,1
Annibale Laparelli,E21 Person,Handmade + Index,R15,13,L_refined.csv; name-English_table.csv,2
Annunciation,E22 Man-Made Object,Handmade,A28,,work-English_table.csv,1
Annunciation Square,E53 Place,Handmade,Q34814493,,gio-English_table.csv,1
Annunziata,E53 Place,Handmade,G101,,gio-English_table.csv,1
Anselmo Costadoni,E21 Person,Handmade,Q4770614,,name-English_table.csv,1
Antenor,E21 Person,Handmade,Q571969,,name-English_table.csv,1
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",E21 Person,Handmade,Q333294,,name-English_table.csv,1
Anthony Baldinucci,E21 Person,Handmade,Q647434,,name-English_table.csv,1
Anthony Blunt,E21 Person,Handmade + Index,Q508392,264n,B_refined.csv; name-English_table.csv,2
Anthony Morris Clark,E21 Person,Handmade,Q19753768,,name-English_table.csv,1
Anthony Radcliffe,E21 Person,Handmade,Q59529289,,name-English_table.csv,1
Anthony van Dyck,E21 Person,Handmade + Index,Q150679,"206; 37, 179; 48, 49, 64, 84, 91, 177, 222, 262, 279, 283, 398; 49; 64",D_refined.csv; name-English_table.csv,8
Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,Index,,"153, 154",A_refined.csv,1
Antichiesetta,E53 Place,Handmade,G55,,gio-English_table.csv,1
Antichita di Palazzi,E22 Man-Made Object,Handmade,A29,,work-English_table.csv,1
Antinous,E21 Person,Handmade,Q171876,,name-English_table.csv,1
Antoine Coypel,E21 Person,Handmade + Index,Q585926,285,C_refined.csv; name-English_table.csv,2
Antoine Dumesnil,E21 Person,Handmade,Q2853900,,name-English_table.csv,1
Antoine Joseph,E21 Person,Handmade,Q585422,,name-English_table.csv,1
Antoine Pesne,E21 Person,Handmade + Index,Q203758,316,P_refined.csv; name-English_table.csv,3
Antoine Seilern,E21 Person,Handmade,Q586987,,name-English_table.csv,1
Anton Domenico Gabbiani,E21 Person,Handmade + Index,Q1083096,"231, 233, 404; 233; 240",G_refined.csv; name-English_table.csv,4
Anton Florian,E21 Person,Handmade,Q589374,,name-English_table.csv,1
Anton Francesco Farsetti,E53 Place,Handmade + Index,R16,364,F_refined.csv; name-English_table.csv,2
Anton Francesco Goli,E21 Person,Handmade,R17,,name-English_table.csv,1
Anton Maria Zanetti,E21 Person,Handmade,Q18507790,,name-English_table.csv,1
Anton Neumayr von Flessen Seilbitz,E21 Person,Handmade,Q104052748,,name-English_table.csv,1
Anton Raphael Mengs,E21 Person,Handmade,Q76718,,name-English_table.csv,1
"Antonazzi, Antonio Maria",E21 Person,Index,,116n,A_refined.csv,1
Antonello da Messina,E21 Person,Handmade + Index,Q5594,382,M_refined.csv; name-English_table.csv,3
Antonia Spadafora,E21 Person,Handmade,Q108935752,,name-English_table.csv,1
Antonino Bertolotti,E21 Person,Handmade,Q5574490,,name-English_table.csv,1
Antonino Santangelo,E21 Person,Handmade,Q124986217,,name-English_table.csv,1
Antonio Abbondi,E21 Person,Handmade,Q599457,,name-English_table.csv,1
Antonio Balestra,E21 Person,Handmade + Index,Q386500,"194, 221n, 225, 227, 251, 271, 282, 351; 289n",B_refined.csv; name-English_table.csv,3
Antonio Barberini,E21 Person,Handmade,Q599744,,name-English_table.csv,1
Antonio Battistella,E21 Person,Handmade,Q61472533,,name-English_table.csv,1
Antonio Beccari,E21 Person,Handmade,Q64779121,,name-English_table.csv,1
Antonio Bellucci,E21 Person,Handmade + Index,Q302062,"227, 278, 280, 281, 283, 284, 294, 405, 406; 281",B_refined.csv; name-English_table.csv,4
Antonio Beni,E21 Person,Handmade,Q3619246,,name-English_table.csv,1
Antonio Canal,E21 Person,Handmade,Q182664,,name-English_table.csv,1
Antonio Canova,E21 Person,Handmade + Index,Q5547,"363, 364, 367, 371, 374; 367; 371, 372n; 377",C_refined.csv; name-English_table.csv,6
Antonio Cappello,E21 Person,Handmade + Index,Q15731838,367,C_refined.csv; name-English_table.csv,2
Antonio Corradini,E21 Person,Handmade + Index,Q601707,"241, 265, 312; 246n; 265",C_refined.csv; name-English_table.csv,4
Antonio Dardani,E21 Person,Handmade + Index,Q2857256,224,D_refined.csv; name-English_table.csv,3
Antonio Del Grande,E21 Person,Handmade + Index,Q3619519,148,G_refined.csv; name-English_table.csv,2
Antonio Ermolao Paoletti,E21 Person,Handmade,Q3619549,,name-English_table.csv,1
Antonio Francesco Gori,E21 Person,Handmade,Q778529,,name-English_table.csv,1
Antonio Franchi,E21 Person,Handmade + Index,Q602053,"227, 231n, 233n",F_refined.csv; name-English_table.csv,2
Antonio Gai,E21 Person,Handmade + Index,Q15378563,"293, 341",G_refined.csv; name-English_table.csv,2
Antonio Genovesi,E21 Person,Handmade + Index,Q602201,318,G_refined.csv; name-English_table.csv,2
Antonio Giussani,E21 Person,Handmade,Q104662012,,name-English_table.csv,1
Antonio Grimani,E21 Person,Handmade,Q65548253,,name-English_table.csv,1
Antonio Joli,E21 Person,Handmade + Index,Q2404265,314,J，K_refined.csv; name-English_table.csv,2
Antonio Lombardo,E21 Person,Handmade,Q602863,,name-English_table.csv,1
Antonio Longo,E21 Person,Handmade + Index,Q18352661,"256, 257",L_refined.csv; name-English_table.csv,2
Antonio Loredan,E21 Person,Handmade + Index,Q106473817,256,L_refined.csv; name-English_table.csv,2
Antonio Lorenzini,E21 Person,Handmade,Q4776748,,name-English_table.csv,1
Antonio Maria Antoniazzi,E21 Person,Handmade,Q3619823,,name-English_table.csv,1
Antonio Maria Marini,E21 Person,Handmade,Q2261335,,name-English_table.csv,2
Antonio Maria Vassallo,E21 Person,Handmade,Q2857352,,name-English_table.csv,1
Antonio Maria Zanetti,E21 Person,Handmade,Q944948,,name-English_table.csv,1
Antonio Molinari,E21 Person,Handmade + Index,Q603707,"129, 294",M_refined.csv; name-English_table.csv,2
Antonio Morassi,E21 Person,Handmade,Q19997480,,name-English_table.csv,1
Antonio Palomino,E21 Person,Handmade,Q604011,,name-English_table.csv,1
Antonio Paluello,E21 Person,Handmade,R19,,name-English_table.csv,1
Antonio Petito,E21 Person,Handmade,Q3620034,,name-English_table.csv,1
Antonio Pisanello,E21 Person,Handmade + Index,Q311082,148,P_refined.csv; name-English_table.csv,2
Antonio Pitteri,E21 Person,Handmade,R61,,name-English_table.csv,1
Antonio Ruffo,E21 Person,Handmade + Index,Q88949215,"14n, 22, 23n, 122n, 160n, 169, 209, 210, 214, 221; 209; 209, 210; 210",Q-R_refined.csv; name-English_table.csv,8
Antonio Schinella Conti,E21 Person,Handmade,Q2087202,,name-English_table.csv,1
Antonio Triva,E21 Person,Handmade + Index,Q461670,193,T_refined.csv; name-English_table.csv,2
Antonio Vallisneri,E21 Person,Handmade,Q2662898,,name-English_table.csv,1
Antonio Verrio,E21 Person,Handmade + Index,Q2305594,"195, 196; 195, 196, 198, 403; 196; 196, 198",UVWXYZ_refined.csv; name-English_table.csv,6
Antonio Visentini,E21 Person,Handmade + Index,Q605690,"301n, 306, 309, 322, 338; 305; 308",UVWXYZ_refined.csv; name-English_table.csv,4
Antonio Zanchi,E21 Person,Handmade + Index,Q605785,"218; 218, 219; 218, 251, 294",UVWXYZ_refined.csv; name-English_table.csv,5
Antonio Zatta,E21 Person,Handmade + Index,Q3313574,"335, 338, 339; 338; 339",UVWXYZ_refined.csv; name-English_table.csv,4
Antonio Zucchi,E21 Person,Handmade + Index,Q374111,294,UVWXYZ_refined.csv; name-English_table.csv,2
Antonio da Correggio,E21 Person,Handmade,Q8457,,name-English_table.csv,1
Antonio del Rosso,E21 Person,Handmade + Index,R18,211n,Q-R_refined.csv; name-English_table.csv,2
