QID,序号,数据来源,部分,原始页码,章节,校对词频,原文英文全名,统一英文全名,别称英文,Unnamed: 0,P19|标签|出生地英文,校对出生地英文,P31|标签|人物属性,P569|标签|出生日期,P570|标签|死亡日期,P20|标签|死亡地英文,P106|标签|职业英文,P27|标签|国籍英文,P101|标签|工作领域英文,P937|标签|工作地点英文,P97|标签|贵族头衔英文,P21|标签|性别英文,P611|标签|所属宗教(合并)#P1416|标签|所属机构#P463|标签|属于...机构成员英文,P119|标签|埋葬地点英文,P140|标签|宗教或世界观英文,P69|标签|受教育于英文,P53|标签|家族英文,P1830|标签|拥有财产英文,P166|标签|获奖英文,P800|标签|著名作品英文,P135|标签|风格英文,P136|标签|创作类型英文,P18|标签|图像,P22|标签|父亲英文,P25|标签|母亲英文,P3373|标签|兄弟姐妹英文,P26|标签|配偶英文,P40|标签|孩子英文,P1038|标签|亲属英文,P451|标签|未婚伴侣英文,P737|标签|受…影响英文,P108|标签|雇主英文,P1066|标签|老师#P184|标签|博士导师英文,P802|标签|学生#P185|标签|博士学生英文,P3342|标签|重要人物英文,P1049|标签|崇拜者英文,P1365|标签|继任者英文,P1366|标签|接任者英文,P859|标签|赞助人英文
Q2821500,11,wikidata,第二部分,174,第七章,2,Abel DesJardins,Abel Desjardins,,10,Paris,Paris,human,1814,1886,Douai,historian,France,,,,male,,,,,,,Knight of the Legion of Honour|Officer of the Legion of Honour,,,,,,,,,,,,,,,,,,,,
Q2258999,12,wikidata,第三部分,257,第九章,1,Abel-François Poisson de Vandières|Marigny,Abel-François Poisson de Vandières,marquis de Menars|marquis de Marigny,11,Paris,Paris,human,1727,1781,Paris,art collector,France,,,marquess,male,Accademia delle Arti del Disegno,,,,,,Officer of the Order of the Holy Spirit|Knight of the Order of Saint-Michel,,,,,,,,Marie-Françoise Julie Constance Filleul,,,,,,,,,,,,
Q4416778,13,wikidata,第二部分,229274,第八章,2,Abigail,Abigail,,12,,,human biblical figure,-1100,-1000,,,Kingdom of Israel,,,,female,,,Yahwism,,,,,,,,,,,,Nabal|David,Chileab,,,,,,,,,,,
Q1824525,14,wikidata,第二部分,210222,第八章,2,Abraham Brueghel,Abraham Brueghel,"Abraham Bruegel|Abramo Brucel|Abram Bruchel|Abram Brugher|Abraham Breughel|Abrham Brughen|Abraam Brucolo|Abraham Ryngraaf|Rijngraaf Bruegel|Abramo Brucheel|Rijngraaf Breughel|Abraham Breugel|Abramo Bruchel|Abraham Brughen|Abram Brucchel|Abram Brogola|Abram Brucoli|Abram Bughel|Abraham Rijngraaf|Abram Brughel|Abraham Brucoli|Rijngraaf Breugel|Abram Brucel|Abramo Brughel|Rijngraaf Brueghel|Abbram Brughel|Abramo Brucoli|Abraham Briegel|il Napolitano Brueghel|Rijngraaf|Ringraaf|Ryngraaf|figlio di Brucoli|Ambrosius Breughel|Ambrosius Bruegel|ambrosius breughel|Monsieur Abramo Brugel|Breugel le Napolitain|ambrosius brueghel|Abramo Breughel|Mons.r Abraam Brughel|ambros. brueghel|monsieur Abramo|Abraham von Brughel|Breugel de Napels|gen. Rhyngraf, oder der Neapolitaner Abraham Breughel|den Napelschen Breugel|Den Napelsche Breugel|Abram|A. Breughel|Brugnoli|Abraham Brüghel|abraham breughel gen. rhyngraf",13,Antwerp,Antwerp,human,1631,1690,Naples,painter,Southern Netherlands,still life,,,male,Bentvueghels,,,,Brueghel,,,Still life with fruit|Woman Grasping Fruits,Baroque,still life,,Jan Brueghel the Younger,,Jan Pieter Brueghel|Jan Baptist Brueghel|Ferdinand Brueghel,,,,,,,,,,,,,
Q2667383,15,wikidata,第三部分,253247,第九章,4,Abraham Nicolas Amelot de la Houssaye,Abraham Nicolas Amelot de la Houssaye,,14,Orléans,Orléans,human,1634,1706,Paris,historian|translator|diplomat,France,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20488569,17,wikidata,第一部分,"140,357,374,465",第五章,4,Achille Neri,Achille Neri,,15,Sarzana,Sarzana,human,1842,1925,Genoa,historian|literary|librarian,Kingdom of Italy,,,,male,,Monumental Cemetery of Staglieno,,,,,,,,,,,,,,,,,,,,,,,,,
Q78785,18,wikidata,第一部分,"96,97,110,208,144, 145, 165",第四章,7,Adam Bartsch,Adam Bartsch,Adam von Bartsch|Adam Von Bartsch|adam von bartsch|Johann Adam Bartsch|Johann Adam Bernhard Ritter von Bartsch,16,Vienna,Vienna,human,1757,1821,Hietzing,art historian|writer|etcher|illustrator|copper engraver|drawer|graphic artist|lithographer|visual artist,Austrian Empire,,Vienna,,male,,,,,,,,The Illustrated Bartsch (TIB)|Bartsch's Le Peintre Graveur,,,,,,,,,,,,,,,,,,,
Q242928,20,wikidata,第二部分,193,第七章,1,Adelaide Henriette,Princess Henriette Adelaide of Savoy,"Electress, consort of Ferdinand Maria, Elector of Bavaria Henriette Adelheid|Kurfürstin von Bayern Henriette Adelaide von Savoyen|Henriette Adelaide von Savoyen|Henriette Adelaide of Savoy|Henriette Adelheid von Savoyen",17,Turin,Turin,human,1636,1676,Munich,aristocrat,Electorate of Bavaria,,Turin|Munich,duke|princess,female,,Theatine Church,Catholicism,,House of Wittelsbach,,,,,,,Victor Amadeus I of Savoy,Christine of France,Princess Margaret Yolande of Savoy|Princess Catherine Beatrice of Savoy|Princess Luisa Cristina of Savoy|Charles Emmanuel II of Savoy|Francis Hyacinth of Savoy,"Ferdinand Maria, Elector of Bavaria","Maria Anna Victoria of Bavaria|Maximilian II Emanuel, Elector of Bavaria|Joseph Clemens of Bavaria|Violante Beatrice of Bavaria",,,,,,,,,,,
Q95766,22,wikidata,第一部分,117,第四章,1,Adolf Michaelis,Gustav Adolf Michaelis,,18,Hamburg,Hamburg,human,1798,1848,Lehrte,physician|gynaecologist|obstetrician,Kingdom of Hanover,,Kiel,,male,German Academy of Sciences Leopoldina,,,,,,,,,,,,,,,Adolf Michaelis|Ida Michaelis,,,,University of Kiel,,,,,,,
Q77518121,23,wikidata,第一部分,"60,90",第二章,1,Adolf Salvatore Cavallo,Adolf Salvatore Cavallo,Adolfo Salvatore Cavallo|Adolph S. Cavallo|Adolph Salvatore Cavallo|Dus Cavallo,19,,,human,,,,art historian,,history of costume|tapestry|history of textiles,,,male,,,,,,,,Medieval Tapestries in The Metropolitan Museum of Art,,,,,,,,,,,,Museum of Fine Arts Boston|Philadelphia Museum of Art|Metropolitan Museum of Art|Detroit Institute of Arts,Adèle Coulin Weibel,,,,,,
Q2824734,24,wikidata,第一部分,25143177128,第二章,4,Adolfo Venturi,Adolfo Venturi,,20,Modena,Modena,human,1856,1941,Santa Margherita Ligure,art historian|politician,Kingdom of Italy,medieval art|history,Rome,,male,Academy of Sciences of Turin,,,,,,Gautieri Award,,,,,,,,,Lionello Venturi,,,,Sapienza University of Rome,Giovanni Battista Cavalcaselle,Carlo Anti|Géza de Fràncovich|Pietro Toesca|Costanza Lorenzetti|Paolo d'Ancona,,,,,
Q163920,25,wikidata,第一部分,"图版目录,137,188,243",第一章,5,Adonis,Adonis,,21,,,Greek deity,,,,,,hunting,,,male,,,,,,,,,,,,Cinyras|Theias|Phoenix,Myrrha|Alphesiboea,Myrrha|Braesia|Laogore|Orsedice,,Beroe|Golgos,,Aphrodite|Persephone,,,,,,Ancient Greek religion,,,
Q368053,26,wikidata,第三部分,"283,278",第十章,1,Adrian van der Werff,Adriaen van der Werff,"Adriaen van der Warf|Adriaen Van der Werff|Adrian Vanderwerf|Adriaen Wanderverf|Adrien Vander Werff|Ad. Vanderwerf|Chev. Vanderwerf|Adriaan van der Werff|Adriaen Van Der Werff|Chevalier Vanderwerf|Chev. Van der Werf|Ridder vander Werf|Adriaen Wanderff|Chevalier Vander Werf|Adriaen Vanderwerff|Adriaen Vanderwerfe|Adriaen Van der Werve|Chev. Vander Werff|Adriaen Wanderwarf|Chev. Van der Werff|Adriaen Venderwerf|Chevalier Van der Warf|Adriaen van der Werf|Adriaen Vanderwerf|Chevalier Vander Werff|Adriaen Vanderverffe|Adriaen Van der Werf|Adriaen Vander Werff|Adriaen Wanderwerf|Adriaen Vander Werf|Adriaen van der Wetff|Adriaen Vanderwergh|Adriaen van der Werfe|chevalier van der Werff|Adrien van der Verf|Ch. V. Warf|Vandreverf|Chevalier Vanderwerff|Wanderwarf|Werfe|Adrien Vanderwerff|Werff|Van der Werfft|V.D. Werf|Van d. Werff|V. D. Werff|V. D. Werf|ad. v. d. werff|Ad. Vander Werf|Le Chevalier A. Vander Werf|Adrien Vanderwerf|A.D. Werf|A. vander Werf|Wander Werff|Adrien Van der Werf|Adrien Van der Werff|Adrian van der Werft|Vander Werff|chevalier Adrien van de Werf|v. der Werfft|adrian van der werff|Le Chevalier A. Vanderwerff|Adrien Vanderverf|werff adriaan van der chevalier|Le Chevalier Vander Verf|Vanderwergh|Adrian van de Werff|Adrian Vander, Holl. Werff|Le chevalier Van der Werff|A. V. der Werff|v.d. Werff|Cav. Vanderwerf|Le Chevalier A. Van Der Werf|a. van der werff|C. A. van der Werff|A. van der Werff|V. der Werff|Vander Warff|Venderwerf|Adrien Vander Weerf|Audrian Vanderwarf|ad. van der werff|V. de Wetff|adriaan van der werff|adriaen von der werff|A. van der Werf|Chev. V. Werf|Adrian van der Werf|A. Vanderverff|Le CH. Van der Werf|A. V. D. Werf|A VanderWerff|Adrian vander Werf|Chevalier van der Werf|Van Der Verf|Chevalier V.D. Warf|adriaen van der werf|von der Werft|Chev. V. der Werff|a. van d. werff|Wanderwerf|de Ridder vander Werf|C. Vanderwerf|Van-der-Verf|Le Chevalier Vanderwerff|V.D. Warf|A. Vanderwerff|von der Werff|Ridder A. van der Werff|De Ridder van der Werf|Chevalier Vande Werf|Wanderverff|Adr. Vanderwerf|van d. Werf|a. v. d. werff|Wanderff|Le chevalier A. Vander Werff|den Ridder Vander Werff|V. der Werfe|Adrian Vander Werff|Adrien Vander Werf|Ritter van der Werff|adriaen van d. werff|Chav. Vandewerf|den Ridder van der Werff|Chevelier Vanderwerf|van der Verff|V. der Werf|adriaen v. d. werff|V.der Werff|C. Vandewerf|Adrien de Vert|Par le Chevalier van der Werff|Vanderverffe|Chevalier Van de Werff|V. de Werff|den Ridder Adriaan vander Werf|adriaen werff|Adrien Vander-Werf|Ridder van der Werff|van der Werft|Vander Werf|Chevalier Van der Werff|Chevallier von der Werff|Van der Werf|Ad. Van Derwerf|adraen v. d. werff|Chev. Adrian van der Werff|Wanderverf|Le Ch. van der Werff|Caval. Vanderwerff|Van der Werff|A. vande Werf|van der Verf Adrien|Vander Veerf|Le chevalier Adrien Vander Werf|den Ridder vander Werf|den Ridder van der Werf|Chevalier van Dewerf|Vanderverf|A. Vanderwerf|Le Chevalier Van der Verf|Vanderwerff|Vanderwerfe|Van der Werve|Le Chevalier Vander-Werf|Adrien Vanderweerf|Chevalier Vanderverff|Vanderwerf|Vanderverff|D.V. Werff|Vander Verf|Chev. van de Werff|Adrien Vander Verf|C. Vander Werf|Chev. V.D. Werff|Le Chevalier Adrien Vander Werff|Chevalier vander Verf|Van Werff|A.V. Werff|Vander Vert|Chevalier Adrian van der Werff|adr. v. d. werff|adrian von der werff|Adrian van der Werff|den Ridder A. van der Werf|A.-D. Vanderneffe|Le Ch. Adrien van der Werff|Chevalier Vandervef|Adrien van der Wef|van der Werff|Adr. van der Weff",22,Rotterdam,Rotterdam,human,1659,1722,Rotterdam,painter|architect|sculptor|copper engraver|visual artist,Dutch Republic,art of painting,Rotterdam|Düsseldorf,,male,,,,,,,,"Beurs van Adriaen van der Werff|The Flight into Egypt|Self-portrait with the Portrait of his Wife, Margaretha van Rees, and their Daughter Maria|Cupid Kissing Venus (Venus Kissed by Amor)",Baroque,portrait,,,,Pieter van der Werff,,,,,,,,,,,,,
Q82732,27,wikidata,第一部分,"图版目录,171,207,230,285,303,396",第一章,15,Aeneas,Aeneas,Æneas|Eneas Ysgwyddwyn,23,,,mythological Greek character,,,,military leader,,,,,male,,,,,,,,,,,,Anchises,Aphrodite,,Lavinia|Creusa|Eurydice,Ascanius|Etias|Silvius|Anthemone|Aemilia,,Dido,,,,,,,,,
Q255150,28,wikidata,第二部分,201,第七章,1,Aeneas Sylvius de Caprara,Aeneas de Caprara,Count Aeneas Sylvius de Caprara,24,Bologna,Bologna,human,1631,1701,Vienna,politician|military leader,Habsburg monarchy,,,,male,,Basilica of Saint Francis,,,,,,,,,,,,Franz Karl von Caprara|Sylvius Joseph von Caprara|Ludwig Hieronymus von Caprara,,,,,,,,,,,,,
Q83223,29,wikidata,第三部分,301,第十一章,1,Aesculapius,Asclepius,Aesculapius|Asklēpiós|Ἀσκληπιός|Æsculapius,25,,,Greek deity,,,,,,,Ancient Greece,,male,,,,,,,,,,,,Apollo,Coronis|Arsinoe,,Epione|Coronis,Machaon|Podalirius|Panacea|Telesphorus|Aceso|Hygieia|Aegle|Iaso|Meditrine|Valetudo,,,,,,,,Ancient Greek religion,,,
Q128176,30,wikidata,第三部分,313,第十一章,1,Agamemnon,Agamemnon,,26,,,mythological Greek character,,,,,,,,,male,,Tomb of Agamemnon with statue at Amyklai,,,,,,,,,,Atreus,Aerope,Menelaus|Anaxibia|Astyoche,Clytemnestra,Orestes|Iphigenia|Chrysothemis|Elektra|Laodice|Iphianassa|Teledamus|Chryses|Pelops|Halaesus|Hyperion,,Chryseis|Briseis|Cassandra,,,,,,Greek mythology,,,
Q127691377,32,wikidata,第一部分,105156,第四章,2,Agnolo Galli,Agnolo Galli,Angelo di Galli|Agnolo di Galli,27,,,human,1390,1459,,poet,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q395578,33,wikidata,第二部分,"193,194",第七章,1,Agostino Barelli,Agostino Barelli,,28,Bologna,Bologna,human,1627,1697,Bologna,architect,,,,,male,,,,,,,,Nymphenburg Palace|Theatine Church,,,,,,,,,,,,,,,,,,Enrico Zuccalli,
Q395635,34,wikidata,第一部分,"149,150,154,212",第六章,4,Agostino Chigi,Agostino Andrea Chigi,Chigi Il Magnifico|Agostino Andrea Chigi,29,Siena,Siena,human,1465,1520,Rome,entrepreneur|ship-owner|banker|patron of the arts,,,,,male,,Santa Maria del Popolo,,,,Villa Farnesina,,,,,,,,,,,,,,,,,,,,,
Q1061864,35,wikidata,第一部分,"38,39,66",第二章,3,Agostino Ciampelli,Agostino Ciampelli,Agostino Ciampelio Fiorentino,30,Florence,Florence,human,1565,1630,Rome,painter|drawer,Italy,,,,male,,,,"Academy of Fine Arts, Florence",,,,,,,,,,,,,,,,,,,,,,,
Q3606791,36,wikidata,第一部分,"155,157",第六章,2,Agostino Mascardi,Agostino Mascardi,,31,Sarzana,Sarzana,human,1590,1640,Sarzana,historian|rhetorician|poet,Republic of Genoa,,,,male,Society of Jesus#Accademia degli Umoristi|Accademia dei Desiosi,,Catholicism,Pontifical Gregorian University,,,,,,,,Alderano Mascardi,,,,,Giuseppe Mascardi,,,Sapienza University of Rome,,,,,,,
Q395680,37,wikidata,第一部分,"图版目录,15",第一章,2,Agostino Masucci,Agostino Masucci,Agostino Massucci|Agostino Massuci|Dagostino Massucci|Musucci|Carlo Masucci di Roma|Agostino Masucci scolare di Carlo Maratta|Carlo Masucci|Masucci|Massucci|a. masucci|Agostino Mascucci,32,Rome,Rome,human,1691,1758,Rome,painter,Papal States,,Rome,,male,,,,,,,,,,portrait,,,,,,,,,,,Carlo Maratta,Hans Georg Hunkeler|Bartolomé de San Antonio,,,,,
Q1427142,38,wikidata,第二部分,190,第七章,1,Agostino Mitelli,Agostino Mitelli,Agostino Spanzani|Agostino Metelli|Agostino Spanzani Mittelli|Agostino Spanzani Mitelli|Augustín Mitelli|Agostino Mittelli|Agostino Spanzani Metelli|Augustin Mitelli|Ag.no Metelli|Matelli|Mittelli|Mitelli|Mitello|Agostino|Metelli|Agostino Mettelli|Mittelli Vecchio|Mittello|Agostino Stanzani Mitelli,33,Badolo-Battedizzo,Badolo-Battedizzo,human,1609,1660,Madrid,painter|etcher,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3606820,39,wikidata,第三部分,"301,329",第十一章,2,Agostino Sagredo,Agostino Sagredo,,34,Venice,Venice,human,1798,1871,Vigonovo,politician,Kingdom of Italy,,,,male,Accademia delle Arti del Disegno,,,,,,,,,,,,,,,,,,,,,,,,,,
Q395741,40,wikidata,第一部分,"49,56,72,83,165,219",第二章,1,Agostino Tassi,Agostino Tassi,Agostino Tassy|Agostine Tassi|Agostino Buonamici Tassi|Agostini Tassi|Agostino Buonamici|Agostino Buonamico|Augustus Tassi|Agostino Tasso|Agostino Tosci|Augustin Tasse|tasso|Augustin Tassi|Agostino tasso|Agos Tassi|sig. Agostino|Aug. Tassi|August. Tasso|Maestro di Claudio Lorenese|Tassi|Agostino Romano|Tasse|A.go Tassi|Taso|Buonamico|Agostin Tassie|Agostin Tasso|Tassa|Tosci|Agos. Tassi|Tasol|Agost.o tassi|A. Tasso|A. Tassi|Ag. Tassi|Augustino Tasso|A. Tassie|Agostino Tasse|Tassie|of Perugia Agostino Tassi,35,Ponzano Romano,Ponzano Romano,human,1578,1644,Rome,painter|drawer,Papal States,,Rome,,male,,,,,,,,,,landscape painting,,,,,,,,,,,,Claude Lorrain,,,,,
Q3607762,41,wikidata,第一部分,"IX,VI,289",第一章,3,Alan Noel Latimer Munby,Alan Noel Latimer Munby,Alan Munby|A. N. L. Munby,36,London,London,human,1913,1974,London,essayist|writer|bibliographer|librarian,United Kingdom,belletristic literature,,,male,Bibliographical Society,,,Clifton College,,,,,,,,,,,,,,,,,,,,,,,
Q18934833,42,wikidata,第三部分,"314,476",第十一章,2,Albert Charles Sewter,A. C. Sewter,Albert Charles Sewter,37,,,human,1912,1983,,art historian,United Kingdom,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86432,43,wikidata,第二部分,201,第七章,1,Albert Ilg,Albert Ilg,,38,Vienna,Vienna,human,1847,1896,Vienna,art historian|museologist|translator,Austrian Empire,,,,male,,Vienna Central Cemetery,,University of Vienna,,,,,,,,,,,,,,,,MAK - Museum of Applied Arts|Kunsthistorisches Museum,,,,,,,
Q5601360,44,wikidata,第一部分,165,第六章,1,Alberto Cametti,Alberto Cametti,,39,Rome,Rome,human,1871,1935,,musicologist,Kingdom of Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5580,46,wikidata,第一部分,"98,211,229",第四章,3,Albrecht Dürer,Albrecht Dürer,"Dürer|Albert Duur|Albrecht Türer|Albrecht Duerer|Alber Dure|Albert Duer|Alberto Duro Tedesco|Alberdure|Albrecht Dyûrâ|Alberto Duredo|Albrekht Diurer|Alberto Duri|Alverto Dureño|Alberduer|Alberto Dura|Albert Dure|Dure Albert|Albert Dur|Albert Durer|Alberto di DuraOnye na-ese ihe German, onye na-ebipụta akwụkwọ, ọkà m|Albrecht DurerDura|Alberto Durero|Alberto Duro|Albrecht Dyura|Alcberdure|Alberto de Dura|A. Duur|A.B. Duur|Alverto dureño|alberto|Fiammingo Alberto Dureto|Albertto duro|Albert Dürer|Durer. Albert|Alverto durero|Duerer|A. Duurer|Alberdurer|Alberdures|Albero Duro|alburo|A: Durer|Albertus Durerus|Albertus Dürer|Albr. Dürrer|Albert-Durr|Albrecht Düren|de Nuremberg Albert Durer|Albertdurer|A. Dürre|Alberto Vrero|Albert Duerer|Albrecht Durrer|Alberduur|Alb. Durrer|durer albrecht|Durer|Albr. Dürer|Aelbregt Duur|Aldrecht Durer|Alber-durer|Albert Dura|Albr. Durer|Albert-Duver|Albrecht Duren|Albert Duyrer|Alb. Durer|Al. Durer|A. Durer|Albert van Dürer|A Durer|A. Dürer|Albrecht Dürrer|Alb. Duro|Alb. Dürer|Albert Daret|Aelbert Duur|A. Durerus|Alverto|A. Duri|A. Duru|Alverto duro|Alberto Dureroe|Albert-dur|A. Durre|Alberto Durer|Albert-Durer|A. Dürrer|Dürer Albr.|Albert|Albert DÜren|Alborduer|Albregt Duur|Alber Durer|Alba Dure|Albrecht Dyrer|Albert Dúr|Alb. Düren|Albert Drurer|a. d.|Albertto|Durier|Alberto Dürer|Albrehts Dīrers|Albertus Durer|Alberto Dürero|Albrecht Djurer",40,Nuremberg,Nuremberg,human,1471,1528,Nuremberg,painter|printmaker|mathematician|illuminator|copper engraver|art theorist|drawer|illustrator|graphic artist|exlibrist|visual artist,Duchy of Bavaria,art of painting,Nuremberg|Venice|Basel|Strasbourg|Colmar|Frankfurt|Mainz|Cologne|Innsbruck|Bologna|Milan|Florence|'s-Hertogenbosch|Arnemuiden|Baarle-Nassau|Bergen op Zoom|Goes|Heerewaarden|Middelburg|Nijmegen|Oisterwijk|Sittard|Stokkum|Tilburg|Veere|Zaltbommel|Zierikzee|Antwerp|Mechelen|Rome|Lutherstadt Wittenberg,,male,,Johannisfriedhof,Lutheranism,,,Portrait of the artist's father,,Melencolia I|Adoration of the Magi,German Renaissance,portrait|religious painting|allegory|history painting|mythological painting|genre painting|self-portrait|animal painting|landscape painting,,Albrecht Dürer the Elder,Barbara Dürer,Hans Dürer the Younger|Endres Dürer,Agnes Dürer,,Hieronymus Holper|Hans Frey,,Michael Wolgemut|Jacopo de' Barbari,,Albrecht Dürer the Elder|Michael Wolgemut,Hans Baldung Grien|Julius Caesar Scaliger,Willibald Pirckheimer,,,,Maximilian I
Q818100,48,wikidata,第三部分,370,第十五章,1,Benoît Audran the Elder,Benoît Audran the Elder,"Benoit Audran I|Benoit Audran, the Elder|Benoit Audran|Benoist Audran|Benoit l'aîné Audran|Benoit, I Audran|Benoit, the Elder Audran|Benoît Audran|Benoit, the elder Audran|Benoit Audran the Elder|B. Audran",41,Lyon,Lyon,human,1661,1721,Ouzouer-sur-Loire,printmaker|painter|visual artist,France,visual arts,Paris,,male,Académie royale de peinture et de sculpture|Académie des beaux-arts,,,,,,,,,,,Germain Audran,,Jean Audran|Claude Audran III|Gabriel Audran|Louis Audran|Antoine Audran,,,,,,,,,,,,,
