QID,序号,章节,原文英文全名,统一英文全名,P170|标签|创建者英文,P31|标签|实例英文,P571|标签|创作年,P17|标签|国家英文,P495|标签|原产国英文,P2048|标签|高度,P2049|标签|宽度,P195|标签|收藏英文,P276|标签|位置英文,P18|标签|图片英文,P921|标签|主要主题英文,P135|标签|运动英文,P1071|标签|创作地点英文,P88|标签|委托英文,P84|标签|建筑师英文,P149|标签|建筑风格英文,词频,页码,P859|标签|委托人/赞助人英文,P608|标签|展示地英文,T195|标签|收藏方英文,T9|标签|作者国籍英文,T6|标签|现存城市英文,T8|标签|作品属性英文
Q118877400,63,第四章,Apollo and Daphne,Daphne and Apollo,Nicolas Poussin,painting,1650,,,93.5 cm,126 cm,,,,,,,,,,2,30118,Camillo Massimi,,,French,,Mythology (Roman mythology)
Q106298157,64,第七章,Apollo and Daphne,Apollo Chasing Daphne,Carlo Maratta,painting,1681,,,221.2 cm,224 cm,Royal Museums of Fine Arts of Belgium,Old Masters Museum,Carlo Maratta - Apollo Chasing Daphne - WGA14044.jpg,,,,,,,,189,Louis XIV of France,,,Italian,,Mythology (Roman mythology)
Q733893,69,,Apostle's Chair,Chair of Saint Peter,Gian Lorenzo Bernini,sculpture,1647,Vatican City,,,,,St. Peter's Basilica|Vatican City,"Saint Peter's Basilica Papal Altar 2020 P03.jpg|Rom, Vatikan, Petersdom, Cathedra Petri (Bernini) 4.jpg",,Baroque,,,,,1,151,Pope Alexander VII,St. Peter's Basilica,,,,
Q23949083,71,第九章,Apotheosis of the Pisani,Apotheosis of the Pisani,Giovanni Battista Tiepolo,painting,1743,Italy,,410 mm,720 mm,National Museum of Western Art,National Museum of Western Art,Giovanni Battista Tiepolo - The Apotheosis of Admiral Vettor Pisani - Google Art Project.jpg,,,,,,,,259,Pisani Family,Villa Pisani,,Italian,Stra,Symbolism
Q2404992,79,第八章,Aristotle Contemplating the Bust of Homer,Aristotle with a Bust of Homer,Rembrandt,painting,1653,United States,,143.5 cm,136.5 cm,Metropolitan Museum of Art,Metropolitan Museum of Art,Rembrandt - Aristotle with a Bust of Homer - WGA19232.jpg,Aristotle,Dutch Golden Age painting|Baroque,,,,,3,"209,210,XIV",Antonio Ruffo,,,Dutch,New York,Portrait
Q4803790,84,第六章,Ascanius shooting the Stag of Sylvia,Ascanius Shooting the Stag of Sylvia,Claude Lorrain,painting,1682,UK,,120 cm,150 cm,Ashmolean Museum,Ashmolean Museum,Ascanius Shooting the Stag of Sylvia 1682 Claude Lorrain.jpg,,,,Lorenzo Onofrio Colonna,,,1,156,Lorenzo Onofrio Colonna,,,French,Oxford,Mythology
Q117379114,85,第四章,Assumption of the Virgin,Assumption of the Virgin,Nicolas Poussin,painting,1700,United States,,,,Musée Fabre,Musée Fabre,"Poussin - d'après - L'Assomption de la Vierge, 825.1.181.jpg",Assumption of Mary,,,,,,5,"77,95,95,105,312",Marchese Giustiniani,,,French,"Washington, D.C.",Religious themes (Biblical stories)
Q72671544,87,第七章,Augustus closing the Temple of Janus,The Emperor Augustus Closes the Doors of the Temple of Janus,Carlo Maratta,painting,1656,,,280 cm,275 cm,Palais des Beaux-Arts de Lille,Palais des Beaux-Arts de Lille,Lille PdBA maratta auguste.jpg,,Baroque,,"Louis Phélypeaux, seigneur de La Vrillière",,,1,185,Louis Phélypeaux de La Vrillière,,,Italian,,History (Ancient history)
Q77923656,88,第三章,Aurora,Aurora,Guercino,painting,1750,Italy,,100 cm,137 cm,National Gallery of Ireland,National Gallery of Ireland,,Aurora,,,,,,2,73182,Ludovico Ludovisi,平乔地区赌场,,Italian,Rome,Mythology (Roman mythology)
Q108741948,89,第二章,Aurora,Aurora,Guido Reni,drawing,,Italy,,0 cm,0 cm,Nationalmuseum,Nationalmuseum,,,,,,,,3,"28,49,57",Scipione Borghese,,,Italian,Rome,Mythology (Roman mythology)
Q18688231,90,第四章,Aurora and Cephalus,Cephalus and Aurora,Nicolas Poussin,painting,1630,,,96.9 cm,131.3 cm,National Gallery,National Gallery,Nicolas Poussin - Cephalus and Aurora - Google Art Project.jpg,,,,,,,1,105,Cassiano dal Pozzo,,,French,,Mythology (Roman mythology)
Q3632485,92,第七章,Bacchanal,The Bacchanal of the Andrians,Titian,painting,1523,Italy,Italy,175 cm,193 cm,Museo del Prado|Camerini d'alabastro,Museo del Prado|Royal Palace of Madrid,Bacanal de los andrios.jpg,Bacchanalia,Venetian school|High Renaissance,,Alfonso I d'Este,,,1,171,,,Pietro Aldobrandini,Italian,Madrid,Mythology (Roman mythology)
Q29384647,93,第七章,Bacchanal,Bacchanal,Nicolas Poussin,drawing,1629,,,13.3 cm,20.6 cm,Metropolitan Museum of Art,Metropolitan Museum of Art,Bacchanal MET 1998.225.jpg,,,,,,,,185,Cardinal Richelieu,,,French,,Mythology (Roman mythology)
Q3632505,94,第十五章,Bacchus,Bacchus,Jacopo Sansovino,statue,1515,Italy,,146 cm,,Bargello National Museum,Bargello National Museum,Bacchus by Jacopo Sansovino.jpg,,,,,,,,362,Filippo Farsetti,,,Italian,Florence,Mythology
Q1206860,97,第二章,Bacchus and Ariadne,Bacchus and Ariadne,Titian,painting,1520,United Kingdom,Republic of Venice,176.5 cm,191 cm,National Gallery,National Gallery,Titian Bacchus and Ariadne.jpg,Bacchus and Ariadne,Venetian school|High Renaissance,Venice,Alfonso I d'Este,,,,53,Alfonso I d'Este,,,Italian,London,Mythology (Roman mythology)
Q20881588,98,第七章,Bacchus and Ariadne,Bacchus and Ariadne,Guido Reni,painting,1619,United Kingdom,,,,Los Angeles County Museum of Art,Los Angeles County Museum of Art,Bacchus and Ariadne.jpg,Bacchus and Ariadne,,,,,,1,179,Pope Urban VIII,,,Italian,London,Mythology (Roman mythology)
Q18689344,100,第十章,Bacchus and Ariadne in Pommersfeld,Bacchus and Ariadne,Sebastiano Ricci,painting,1713,Germany,,75.90 cm,63.20 cm,National Gallery,National Gallery,Sebastiano Ricci - Bacchus and Ariadne - Google Art Project.jpg,Bacchus and Ariadne,,,,,,1,293,Lothair Francis of Sch?nborn,,,Italian,Pommersfelden,Mythology (Roman mythology)
Q26699491,102,图版目录,Banquet of Anthony and Cleopatra(1),The Banquet of Cleopatra,Giovanni Battista Tiepolo,painting,1744,France,,46.3 cm,66.7 cm,National Gallery,National Gallery,"Tiepolo - The Banquet of Cleopatra, 1740s.jpg",,,,,,,,XIX,Friedrich August I of Saxony,,,Italian,Paris,History (Ancient history)
Q47004843,103,图版目录,Banquet of Anthony and Cleopatra(2),The Banquet of Cleopatra,Giovanni Battista Tiepolo,painting,1742,Australia,,50.5 cm,69 cm,Musée Cognacq-Jay,Musée Cognacq-Jay,Tiepolo - Banquet de Cléopatre - Musée Cognacq-Jay.jpg,,,,,,,2,"XIX,352",Friedrich August I of Saxony,,,Italian,Melbourne,History (Ancient history)
Q18574628,116,第十章,Beheading of St John the Baptist,The Beheading of St John the Baptist,Giovanni Battista Tiepolo,painting,1732,Sweden,,33 cm,43 cm,Nationalmuseum,Nationalmuseum,The Beheading of St John the Baptist (Giambattista Tiepolo) - Nationalmuseum - 17138.tif,,Rococo,,,,,1,293,Carl Gustaf Tessin,,,Italian,Stockholm,Religious themes (Saints' lives)
Q2439030,121,第四章,Bronze Baldachin of St. Peter's Basilica,Bronze Baldachin of St. Peter's Basilica,Gian Lorenzo Bernini,sculpture|baldachin,1620,Vatican City,,,,,St. Peter's Basilica,"Basílica de San Pedro, Ciudad del Vaticano, 2022-09-17, DD 37-39 HDR.jpg|Baldaquin Bernin Saint-Pierre Vatican.jpg",,Baroque,,,,,,106,Pope Urban VIII,St. Peter's Basilica,,Italian,Rome,Sculpture
Q15378957,122,第二章,Bronze Statue of Urban VIII,Statue of Pope Urban VIII,Gian Lorenzo Bernini,statue,1630,Italy,,,,Palazzo dei Conservatori,Palazzo dei Conservatori|Rome,Memorial Statue of Pope Urban VIII by Bernini.jpg,,Baroque,,,,,,60,Pope Urban VIII,,,Italian,Velletri,Portrait
Q125809381,127,第十五章,Bust of Epicurus,Bust of Epicurus,,bust,,Italy,,,,Museum Palazzo Massimo alle Terme,Museum Palazzo Massimo alle Terme,,,,,,,,,371,Angelo Querini,Casa Soster,,Ancient Greek,Padua,Portrait
Q2928781,131,第七章,Bust of Louis XIV,Bust of Louis XIV,Gian Lorenzo Bernini,bust,1665,France,,105 cm,99 cm,Museum of the History of France,Diana Lounge|Louvre Palace|Tuileries Palace,"Chateau de Versailles, salon de Diane, buste de Louis XIV, Bernin (1665) 03.jpg",,Baroque,,Louis XIV of France,,,,197,Louis XIV of France,,,Italian,Versailles,Sculpture
Q5002075,134,第二章,Bust of Thomas Baker,Bust of Thomas Baker,Gian Lorenzo Bernini,sculpture,1638,United Kingdom,,82 cm,,Victoria and Albert Museum,Victoria and Albert Museum,0 Thomas Baker - Gian Lorenzo Bernini.JPG,,Baroque,,,,,,65,Charles I of England,,,Italian,,Portrait
Q17175813,139,第七章,Caesar restoring Cleopatra to her usurped Throne,Caesar Giving Cleopatra the Throne of Egypt,Pietro da Cortona,painting,1637,,,255 cm,265 cm|266 cm,Museum of Fine Arts of Lyon|Department of Paintings of the Louvre,Museum of Fine Arts of Lyon,César remet Cléopatre sur le tr?ne d'égypte - Pierre de Cortone.jpg,,,,"Louis Phélypeaux, seigneur de La Vrillière",,,1,185,Louis Phélypeaux de La Vrillière,,,Italian,,History (Ancient history)
Q2935136,141,图版目录,Camillo Massimi,Portrait of Cardinal Camillo Massimi,Diego Velázquez,painting,1650,Spain,,75.9 cm,61.0 cm,Kingston Lacy|National Trust,Kingston Lacy,Camillo Massimo by Diego Velázquez.jpg,Carlo Camillo II Massimo,,,,,,2,"XIII,116",Camillo Massimi,,Kingston Lacy,Spanish,Madrid,Portrait
Q18572435,142,第七章,Camillus handing the Schoolmaster of the Falerii to his Pupils,Camille Delivers the Schoolmaster of Falerii to His Pupils,Nicolas Poussin,painting,1637,United Kingdom,,252 cm,265 cm,Department of Paintings of the Louvre,Room 716|Galerie dorée de la Banque de France,Camille livre le ma?tre d'école de Faléries à ses écoliers - Nicolas Poussin - Louvre.jpg,,,,"Louis Phélypeaux, seigneur de La Vrillière",,,1,185,Louis Phélypeaux de La Vrillière,,,French,Birmingham,History (Ancient history)
Q118984608,145,图版目录,Cardinal Antonio Barberini,Cardinal Antonio Barberini,Carlo Maratta,painting,1660,United Kingdom,,214 cm,140 cm,Museum of the Order of St John,Museum of the Order of St John,,,,,,,,1,XII,Antonio Barberini,,Alnwick Castle,Italian,Alnwick,Portrait
Q118877581,146,图版目录,Cardinal Bentivoglio,Cardinal Bentivoglio,Anthony van Dyck,painting,,Italy,,,,Chiswick House,Chiswick House,,,,,,,,1,XII,Guido Bentivoglio,,,Flemish,Florence,Portrait
Q116374056,149,图版目录,Cardinal Scipione Borghese,Cardinal Scipione Borghese,Pietro Bernini,bust,,Italy,,,,Metropolitan Museum of Art,,Cardinal Scipione Borghese (1577–1633) MET DP249585.jpg,,,,,,,1,XII,Scipione Borghese,,,Italian,Rome,Portrait
Q123358078,152,图版目录,Carlo Lodoli,Portrait of the architectural theorist Carlo Lodoli,Alessandro Longhi,painting,,Italy,,,,Gallerie dell'Accademia,,Carlo Lodoli by Alessandro Longhi.jpg,,,,,,,,XVIII,Carlo Lodoli,,,Italian,Venice,Portrait
Q54647365,158,第六章,Ceiling Fresco in the Church of the Gesù,Triumph of the Name of Jesus,Giovanni Battista Gaulli,painting,1679,Italy,,,,Church of the Gesù,Church of the Gesù,G.B.Gaulli-Triumph of the Name of Jesus.jpg,,,,,,,,157,Society of Jesus,Church of the Gesù,,Italian,Rome,Painting
Q26700487,159,第七章,Ceiling fresco of Palazzo Riccardi,Apotheosis of the Medici,Luca Giordano,painting,1682,Italy,,139 cm,65.2 cm,National Gallery,National Gallery,,,,,,,,,197,"John Cecil, 5th Earl of Exeter",Palazzo Medici Riccardi,,Italian,Florence,Fable
Q11747763,168,第四章,Cephalus and Procris reunited by Diana,Landscape with Cephalus and Procris reunited by Diana,Claude Lorrain,painting,1645,,,102 cm,132 cm,National Gallery,National Gallery,Landscape with Cephalus and Procris reunited by Diana.jpg,,,,,,,1,95,Vincenzo Giustiniani,,,French,,Mythology (Roman mythology)
Q28113784,181,,Christ in the Garden of Olives,Christ on the Mount of Olives,Antonio da Correggio,painting,1662,,,40 cm,27 cm,Mauritshuis|Cultural Heritage Agency of the Netherlands Art Collection,Mauritshuis,Christ on the Mount of Olives after Correggio Mauritshuis 302.jpg|Naar Correggio - Christ on the Mount of Olives - 302 - Mauritshuis.jpg,Agony in the Garden,,,,,,1,227,Stefano Conti,,,,,
Q1192577,182,第六章,Church of Sant'Agnese in Agone,Sant'Agnese in Agone,Francesco Borromini,church building,1650,Italy,,,,,Ponte,Sant'Agnese in Agone (Rome) esterno.jpg,,,,,Carlo Rainaldi|Francesco Borromini,baroque architecture,,152,House of Pamphili,S. Agnese,,Italian,Rome,Architecture
Q1354667,183,第六章,Church of Sant'Andrea al Quirinale,Church of Sant'Andrea al Quirinale,Gian Lorenzo Bernini,Jesuit church|church building,1660,Italy,,,,,Monti,Sant'Andrea al Quirinale.jpg,,,,,Gian Lorenzo Bernini,baroque architecture,,159,Camillo Pamphili,S. Andrea,,Italian,Rome,Architecture
Q124102335,186,第十四章,Cleopatra,Cleopatra showing Octavius the bust of Julius Caesar,Pompeo Batoni,painting,,,,,,,,"Cleopatra showing Octavius the bust of Julius Caesar, Pompeo Batoni.jpg",,,,,,,1,357,Frederick II of Prussia,,,Italian,,History (Ancient history)
Q7772874,190,第七章,Constantine,The Vision of Constantine,Gian Lorenzo Bernini,sculpture,1670,Italy,,,,,St. Peter's Basilica,"Gianlorenzo bernini, costantino, 1670, 02.jpg",Constantine the Great,Baroque,,,,,,198,Pope Alexander VII,,,Italian,Rome,Sculpture
Q20083777,201,第二章,Crucifixion,Crucifixion,Anthony van Dyck,painting,1630,,,109 cm,124 cm,Palais des Beaux-Arts de Lille,Palais des Beaux-Arts de Lille,Lille PdBA van Dick christ croix.jpg,Crucifixion of Jesus,Flemish Baroque painting,,,,,3,"15,91,49",Guido Bentivoglio,,,Flemish,,Religious themes (Biblical stories)
Q766487,210,第二章,David,David,Gian Lorenzo Bernini,sculpture,1624,Italy,,170 cm,,Galleria Borghese,Galleria Borghese,"Bernini's David 02.jpg|David by Bernini, 1623-1624, Villa Borghese, Rome.jpg",David,Baroque sculpture,,Scipione Borghese,,,5,"19,26,30,257,335",Maffeo Barberini,,,Italian,,Religious themes (Biblical stories)
Q12899375,215,图版目录,Death of Cleopatra,The Death of Cleopatra,Guido Cagnacci,painting,1659,Austria,,1400 mm,1593 mm,Kunsthistorisches Museum,Kunsthistorisches Museum,"Guido Cagnacci, called Guido Canlassi - The Death of Cleopatra - Google Art Project.jpg|Guido Cagnacci, , Kunsthistorisches Museum Wien, Gem?ldegalerie - Selbstmord der Kleopatra - GG 260 - Kunsthistorisches Museum.jpg",death of Cleopatra,,,,,,3,"XIII,185,49",Archduke Leopold Wilhelm of Austria,,,Italian,Vienna,History (Ancient history)
Q597114,219,第五章,Death of the Virgin,Death of the Virgin,Caravaggio,painting,1603,France,,369 cm,245 cm,Department of Paintings of the Louvre,Room 712,Death of the Virgin-Caravaggio (1606).jpg,Death of the Virgin Mary,Baroque,,Laerzio Cherubini,,,1,125,"Ferdinando Carlo Gonzaga, Duke of Mantua and Montferrat",,,Italian,Paris,Religious themes (Biblical stories)
Q50986222,221,第八章,Deborah and Barak,Barak before Deborah,Francesco Solimena,painting,,,,155 cm,129 cm,"Museum of Fine Arts, Budapest","Museum of Fine Arts, Budapest",,,,,,,,1,214,Girolamo Durazzo,,Baglioni family,Italian,,Religious themes (Biblical stories)
Q2500226,229,第二章,Deposition,The Deposition,Raphael,painting,1507,Italy,,174.5 cm,178.5 cm,Galleria Borghese|Department of Paintings of the Louvre,Galleria Borghese|San Francesco al Prato,"Raffaello, pala baglioni, deposizione.jpg",Descent from the Cross,High Renaissance,,,,,1,27,Baglioni family,Baglioni Chapel,,Italian,Rome,Religious themes (Biblical stories)
Q116912713,233,图版目录,Detail from Fair at Poggio a Caiano,The Fair at Poggio a Caiano,Giuseppe Maria Crespi,painting,1709,Italy,,116.7 cm,196.3 cm,Uffizi Gallery,Uffizi Gallery,,,,,,,,3,"XIV,92,238",House of Medici,,,Italian,Florence,Daily life (Genre painting)
Q976734,234,图版目录,Detail from fresco on ceiling of staircase in Residenz,Ceiling fresco in the staircase of the Würzburg Residence,Giovanni Battista Tiepolo,fresco,1752,Germany,,1900 cm,3050 cm,,Würzburg Residence|Würzburg Residence with the Court Gardens and Residence Square,Giovanni Battista Tiepolo - Apollo and the Continents - WGA22323.jpg,,Rococo,,,,,1,XV,Karl Philipp von Greifenclau zu Vollraths,Würzburg Residence,,Italian,Würzburg,Fable
Q19660357,236,第十一章,di S. Marta,The Vigilia di Santa Marta,Canaletto,painting,1760,,,119 cm,187 cm,Gem?ldegalerie,Gem?ldegalerie,"Giovanni Antonio Canal, il Canaletto - La Vigilia di Santa Marta - WGA03964.jpg",,,,,,,1,316,Sigismund Streit,,,Italian,,Daily life (Genre painting)
Q104445112,239,第九章,Diana and Actaeon at Bagnoli,Diana and Actaeon at Bagnoli,Michel Dorigny,painting,1637,Italy,,228 cm,209 cm,Musée des Beaux-Arts de la ville de Paris|Dutuit collection|Petit Palais,Petit Palais,Michel Dorigny - Diane et Actéon - PDUT1184 - Musée des Beaux-Arts de la ville de Paris.jpg|Diane et Acteon-Michel Dorigny.jpg,Diana and Actaeon,,,,,,,250,Widmann Family,,,French,Bagnoli di Sopra,Mythology (Roman mythology)
Q28093447,242,图版目录,Dido and Aeneas,The Royal Hunt of Dido and Aeneas,Francesco Solimena,painting,1712,United States of America|Italy,Kingdom of Naples,303 cm,321 cm,"Museum of Fine Arts, Houston","Museum of Fine Arts, Houston|Gallery of Aeneid",Francesco Solimena - the Royal Hunt of Dido and Aeneas - Google Art Project.jpg|Francesco Solimena - The Royal Hunt of Dido and Aeneas - 2000.92 - Museum of Fine Arts.jpg,Aeneid,Neapolitan school of painting,Naples,Raimondo Buonaccorsi,,,1,XIV,Raimondo Buonaccorsi,,,Italian,Macerata,Mythology (Roman mythology)
Q75194631,244,第五章,Diogenes,Diogenes Searching for an Honest Man,Giovanni Benedetto Castiglione,etching print,1640,,,21.2 cm,30.2 cm,National Gallery of Art,,"Giovanni Benedetto Castiglione, Diogenes Searching for an Honest Man, 1640-1647, NGA 98192.jpg",,,,,,,1,124,Niccolò Simonelli,Palazzo Barberini,,Italian,,History (Ancient history)
Q113753132,246,第五章,Divine Love,Divine Love Conquering Earthly Love,Giovanni Baglione,literary work,,,,,,,,Giovanni Baglione - The Divine Eros Defeats the Earthly Eros - Google Art Project.jpg,,,,,,,1,127,,,,Italian,,Religious themes (Religious allegory)
Q19930515,256,第十章,Duke of Devonshire,Imaginary Tomb of the Duke of Devonshire,Sebastiano Ricci,painting,1725,United Kingdom,,217.8 cm,138.4 cm,Barber Institute of Fine Arts,Barber Institute of Fine Arts,Sebastiano Ricci and Marco Ricci - Imaginary Tomb of the First Duke of Devonshire.jpg,,,,,,,,289,Owen McSwinny,,,Italian,Birmingham,Portrait
Q474024,259,第五章,Earthly Love,Amor Vincit Omnia,Caravaggio,painting,1601,Germany,,156.5 cm,113.3 cm,Gem?ldegalerie|Giustiniani Collection,"Italienische, franz?sische, spanische Malerei, Saal XIV",Caravaggio - Cupid as Victor - Google Art Project.jpg,Cupid,Baroque painting,Rome,Vincenzo Giustiniani,,,1,127,,,,Italian,Berlin,Religious themes (Religious allegory)
Q1333433,260,第六章,Ecstasy of Saint Teresa,Ecstasy of Saint Teresa,Gian Lorenzo Bernini,group of sculptures,1647,Italy,,350 cm,,Santa Maria della Vittoria,Santa Maria della Vittoria|Cornaro chapel,Ecstasy of Saint Teresa September 2015-2a.jpg,,Baroque,,,,,1,147,House of Cornaro,Santa Maria della Vittoria,,Italian,Rome,Religious themes
Q19898046,263,第二章,Emperor Henry IV Kneeling Before Pope Gregory VII,Emperor Henry IV Kneeling Before Pope Gregory VII,Gian Lorenzo Bernini,tombstone,1644,Italy,,,,,,Tomb of Countess Matilda of Tuscany by Gian Lorenzo Bernini.JPG,,,,Urban VIII,,,,64,Pope Urban VIII,St. Peter's Basilica,,Italian,Vatican City,History (Ancient history)
Q19574562,264,第六章,Enchanted Castle,Landscape with Psyche Outside the Palace of Cupid,Claude Lorrain,painting,1664,UK,,87.1 cm,151.3 cm,National Gallery,National Gallery,Psyché devant le palais de l’Amour - Claude Gellée.jpg,,,,Lorenzo Onofrio Colonna,,,1,156,Lorenzo Onofrio Colonna,,,French,London,Landscape
Q5977784,271,第十章,"Entry of the Comte de Gergy, the French ambassador",Arrival of the French Ambassador in Venice,Canaletto,painting,1727,Russia,,181 cm,259.5 cm,Hermitage Museum,Hermitage Museum,"Canal, Giovanni Antonio - Reception of the French Ambassador in Venice - Hermitage.jpg",,,Italy,,,,1,278,,Hermitage Museum,,Italian,St. Petersburg,History (Contemporary history)
Q115105709,274,第十一章,Equestrian Statue of Field Marshal Schulenburg,"Statue of Schulenburg, Kerkyra",Antonio Corradini,portrait statue,1716,Greece,,,,,Corfu,"Корфу, Керкира - panoramio (22).jpg|Corfu, Greece - panoramio (55).jpg",,,,,,,,309,Johann Matthias von der Schulenburg,,,Italian,,Sculpture
Q3497625,276,第七章,Equestrian Statue of Louis XIV,Equestrian Statue of Louis XIV,Gian Lorenzo Bernini|Fran?ois Girardon,sculpture,1677,France,,376 cm,,,Versailles Orangerie,"Louis XIV sous les traits de Marcus Curtius, Le Bernin, modifiée par Girardon - DSC 0856.JPG",Louis XIV of France,Baroque,,,,,,198,Louis Le Vau,Palace of Versailles,,Italian,Versailles,Sculpture
Q20087469,306,图版目录,Fortune,Allegory of Fortune,Salvator Rosa,painting,1658,United Kingdom,,2007 mm,1330 mm,J. Paul Getty Museum|Getty Center,Getty Center,"Salvator Rosa (Italian) - Allegory of Fortune - Google Art Project.jpg|An Allegory of Fortune by Salvator Rosa, Getty Center.JPG",,,,,,,2,"XIII.152,143",Duke of Beaufort,collection privée,,Italian,,Symbolism
Q29350431,311,,Fountain of the Four Rivers in the Piazza Navona,"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",Gian Lorenzo Bernini,drawing,,,,,,Royal Collection,,,,,,,,,1,191,Marquis del Carpio,,,,,
Q27970986,331,第八章,Galatea and Tritons,Triumph of Galatea,Luca Giordano,painting,1675,,,206 cm,306 cm,Hermitage Museum,Hermitage Museum,Luca Giordano - The Triumph of Galatea - WGA9006.jpg,,,Italy,,,,1,213,Del Rosso brothers,,,Italian,,Mythology (Ancient Greek mythology)
