Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label,Verification_Status
Adoration of the Magi,Q122664454,,,Adoration of the Magi,
Adriaen van der Werff,Q368053,,,Adriaen van der Werff,
Adriatic Sea,Q13924,,,Adriatic Sea,
Adrien Maurice de Noailles,Q376707,,,Adrien Maurice de Noailles,
Aedes Barberina ad Quirinalem,,,,,
Aeneas,Q82732,Q20000656,,Aeneas,
Aeneid,Q60220,,,Aeneid,
Agamemnon,Q128176,Q514891,,Agamemnon,
Agnolo Galli,Q127691377,Q363296,,Agnolo Gaddi,
Agony in the Garden,Q5967673,,,Agony in the Garden,
Agostino Barelli,Q395578,,,Agostino Barelli,
Agostino Chigi,Q395635,,,Agostino Chigi,
Agostino Chigi (Prince of Farnese),Q395635,,,Agostino Chigi,
Agostino Ciampelli,Q1061864,,,Agostino Ciampelli,
Agostino Mascardi,Q3606791,,,Agostino Mascardi,
Agostino Masucci,Q395680,,,Agostino Masucci,
Agostino Mitelli,Q1427142,,,Agostino Mitelli,
Agostino Sagredo,Q3606820,,,Agostino Sagredo,
Agostino Tassi,Q395741,,,Agostino Tassi,
Albergo del Moretto,,,,,
Albert Charles Sewter,Q18934833,,,A. C. Sewter,
Albert Ilg,Q86432,,,Albert Ilg,
Alberto Cametti,Q5601360,,,Alberto Cametti,
Alberto Vecchi,Q131758432,,,Alberto Vecchi,
Albrecht Dürer,Q5580,,,Albrecht Dürer,
Aldo De Rinaldis,Q51529772,,,Aldo De Rinaldis,
Aldo Ravà,Q105102298,,,Aldo Ravà,
Alessandro Albani,Q540338,,,Alessandro Albani,
Alessandro Algardi,Q336798,Q26111373,,Alessandro Algardi,
Alessandro Baudi di Vesme,Q52157623,,,Alessandro Baudi di Vesme,
Alessandro Bettagno,Q59527613,,,Alessandro Bettagno,
Alessandro Borgia,Q3609880,Q2197044,,Alessandro Borgia,
Alessandro Farnese (Cardinal),Q554961,,,Alessandro Farnese,
Alessandro Farnese (Duke of Parma),Q554961,,,Alessandro Farnese,
Alessandro Galilei,Q176742,,,Alessandro Galilei,
Alessandro Gherardini,Q327785,,,Alessandro Gherardini,
Alessandro Longhi,Q1855242,,,Alessandro Longhi,
Alessandro Luzio,Q3610091,,,Alessandro Luzio,
Alessandro Magnasco,Q516941,,,Alessandro Magnasco,
Alessandro Marabottini,Q19753755,,,Alessandro Marabottini,
Alessandro Marchesini,Q3460024,,,Alessandro Marchesini,
Alessandro Orsini,Q2832804,Q11904881,,Alessandro Orsini,
Alessandro Peretti di Montalto,Q82659,,,Alessandro Peretti di Montalto,
Alessandro Saluzzi,Q18507717,,,Alessandro Salucci,
Alessandro Scarlatti,Q183087,,,Alessandro Scarlatti,
Alessandro Sforza,Q953878,Q2832818,,Alessandro Sforza,
Alessandro Turchi,Q507279,,,Alessandro Turchi,
Alessandro Varotari,Q1727824,,,Alessandro Varotari,
Alessandro Varotari (Padovanino),Q1727824,,,Alessandro Varotari,
Alessandro Vassalli,Q19973664,,,Alessandro Mastalli,
Alessandro Vittrice,Q4716445,,,Alessandro Vittrici,
Alessandro Vittrici,Q4716445,,,Alessandro Vittrici,
Alessandro Zen,Q3610383,,,Alessandro Zenatello,
Alessandro de' Medici (Duke of Florence),Q108433354,,,Alessandro de' Medici,
"Alexander Hamilton, 10th Duke of Hamilton",Q336657,,,"Alexander Hamilton, 10th Duke of Hamilton",
Alexander III (Pope),Q223874,,,Alexander III,
Alexander Sauli,Q1341237,,,Alexander Sauli,
Alexander VII,Q127254,,,Alexander VII,
Alexander VIII,Q101294,,,Alexander VIII,
Alexander the Great,Q8409,,,Alexander the Great,
Alfonso E. Pérez Sánchez,Q1186153,,,Alfonso Pérez Sánchez,
Alfonso Gesualdo,Q1373399,,,Alfonso Gesualdo,
Alfonso I d'Este,Q188346,,,Alfonso I d'Este,
Alfred Sensier,Q2835445,,,Alfred Sensier,
Alfredo Bardella,Q2646352,,,Alfredo Lardelli,
Alice Binion,Q98137345,,,Alice Hinton-Bateup,
Allan Hume,Q455438,,,Allan Hume,
Allegory of Clemency,,,,,
Allegory of Coral fishing,,,,,
Allegory of Divine Providence and Barberini Power,Q4731387,,,Allegory of Divine Providence and Barberini Power,
Allegory of Divine Wisdom,Q111821593,Q26699586,,Allegory of Divine Wisdom,
Allegory of Fortune,Q20087469,,,Allegory of Fortune,
Allegory of Rome,Q108758158,,,Allegory of Rome,
Allegory of Venice,Q50947952,,,Allegory of Venice,
Allegory of the Arts,Q27974834,,,Allegory of the Arts,
Allegory of the Education of the Crown Prince,,,,,
Almorò Albrizzi,Q55225031,,,Almorò Albrizzi,
Almorò Pisani,,,,,
Aloys Thomas Raimund von Harrach,Q24211,,,Aloys Thomas Raimund,
Aloysius Gonzaga,Q310307,,,Aloysius Gonzaga,
Alps,Q1286,,,Alps,
Altar Paintings (San Canciano),,,,,
Altar of Friendship,,,,,
Altar of Tranquility and Rural Life,,,,,
Altar of Wealth and Apollo,,,,,
Altarpiece for Chiesa Nuova,Q3842690,,,,
Altarpiece for Santa Maria dei Cappuccini,Q18573062,,,,
Altarpiece for St. Sebastian,Q65508996,,Q65508996,,
Altarpiece for the Augustinian Church,Q56558993,,Q56558993,,
Royal Chapel of the Treasure of St. Januarius,Q3931105,,,,
Alte Pinakothek,Q154568,,,Alte Pinakothek,
Altero Matteoli,Q438845,,,Altero Matteoli,
Altieri (Family),Q21449562,,,Altieri,
Alvise Mocenigo,Q3613470,,,Alvise Mocenigo,
Alvise Pisani,Q449469,,,Alvise Pisani,
Amadeo Svajer,Q3613921,,,Amedeo Svajer,
Amalfi,Q80563,,,Amalfi,
Amalia Mezzetti,Q116770583,,,Amalia Mezzetti,
Ambrogio Mazenta,,,,,
Ambroise Dubois,Q2415583,,,Ambroise Dubois,
Amico Ricci,Q3614269,,,Amico Ricci,
Amor Vincit Omnia,Q474024,,,Amor Vincit Omnia,
Amsterdam,Q727,,,Amsterdam,
Anatole de Montaiglon,Q2845613,,,Anatole de Montaiglon,
Andrea Brustolon,Q3615560,,,Andrea Brustolon,
Andrea Camassei,Q3615565,,,Andrea Camassei,
Andrea Carlone,Q3106993,,,Andrea Carlone,
Andrea Celesti,Q1065524,,,Andrea Celesti,
Andrea Doria,Q156521,Q108451660,,Andrea Doria,
Andrea Ferreri,Q18217670,,,Andrea Ferreri,
Andrea Gerini,Q44635166,,,Andrea Gerini,
Andrea Giacomo Podestà,Q4755099,,,Andrea Giacomo Podestà,
Andrea Giustiniani,Q106395490,,,Andrea Giustiniani,
Andrea Locatelli,Q494275,,,Andrea Locatelli,
Andrea Mantegna,Q5681,,,Andrea Mantegna,
Andrea Memmo,Q1052776,,,Andrea Memmo,
Andrea Ottini,Q493487,,,Andrea Boattini,
Andrea Palladio,Q177692,,,Andrea Palladio,
Andrea Podestà,Q3615952,,,Andrea Podestà,
Andrea Pozzo,Q380103,,,Andrea Pozzo,
Andrea Procaccini,Q2846401,,,Andrea Procaccini,
Andrea Querini,Q62056063,,,Andrea Querini,
Andrea Sacchi,Q495008,,,Andrea Sacchi,
Andrea Schiavone,Q495060,,,Andrea Schiavone,
Andrea Stazio,Q47543685,,,Andrea Stašková,
Andrea Tessier,Q23011967,,,Andrea Tessier,
Andrea Toresani,Q4755304,,,Andrea Toresani,
Andrea Torresani,Q4755304,,,Andrea Toresani,
Andrea Tron,Q110224729,Q110352115,,Andrea Tron,
Andrea Vaccaro,Q2707224,,,Andrea Vaccaro,
Andrea Zucchi,Q30250990,,,Andrea Zucchi,
Andrea del Rosso,Q2846433,,,Andrea Del Rosario,
Andrea del Sarto,Q5571,,,Andrea del Sarto,
Andreas Scherber,Q500372,,,Andreas Scherber,
Andreina Griseri,Q93253370,,,Andreina Griseri,
Andrew Fountaine,Q4756994,Q75244499,,Andrew Fountaine,
Andromache weeping before Aeneas（Giovanni Gioseffo dal Sole）,,,,,
André Félibien,Q518705,,,André Félibien,
Andrés Marzo,Q4760227,,,Andrés Marzo,
Angel with the Superscription,Q15181138,Q29026912,,Angel with the Superscription,
Angelica Grill,Q3460926,,,"Angelica (village), New York",
Angelica Griè,Q796479,,,Angélica Rivera,
Angelo Borzelli,Q61472867,,,Angelo Borzelli,
Angelo Calogerà,Q3616914,,,Angelo Calogerà,
Angelo Caroselli,Q1414382,,,Angelo Caroselli,
Angelo Cesi,Q28109298,,,Angelo Cesi,
Angelo Contarini,Q55226769,,,Angelo Contarini,
Angelo Crespi,Q3616942,Q114122885,,Angelo Crespi,
Angelo Giori,Q536015,,,Angelo Giori,
Angelo Maria Querini,Q536170,,,Angelo Maria Querini,
Angelo Michele Colonna,Q2312606,,,Angelo Michele Colonna,
Angelo Pinetti,Q125962639,,,Angelo Pinetti,
Angelo Querini,Q536447,,,Angelo Querini,
Angelo Solerti,Q3617231,,,Angelo Solerti,
Angelo Trevisani,Q536726,,,Angelo Trevisani,
Angels carrying the Instruments of the Passion,Q20567586,,,,
Anglesey Abbey,Q3021583,,,Anglesey Abbey,
Aniello Falcone,Q546528,,,Aniello Falcone,
Animals and Figures in the Flemish Style,Q27725748,,,Animals,
Ann Sutherland Harris,Q18934849,,,Ann Sutherland Harris,
Anna Banti,Q470147,,,Anna Banti,
Anna Colonna,Q4766932,,,Anna Colonna,
Anna Maria Luisa de' Medici,Q233181,,,Anna Maria Luisa de' Medici,
Annamaria Gabrielli,,,,,
Annan Gallery,,,,,
Anne Claude de Caylus,Q2734012,,,"Anne Claude Philippe, Comte de Caylus",
Anne Claude de Caylus (Comte de Caylus),Q2734012,,,Anne Claude de Caylus,
Anne Marie d'Orléans,Q230873,,,Anne Marie d'Orléans,
Anne of Austria,Q151209,,,Anne of Austria,
"Anne, Queen of Great Britain",Q119702,,,Anne of Great Britain,
Anne-Marie du Boccage,Q2850913,,,Anne-Marie du Boccage,
Annibale Albani,Q566836,,,Annibale Albani,
Annibale Carracci,Q7824,,,Annibale Carracci,
Annibale Gonzaga,Q566861,,,Annibale Gonzaga,
Annibale Laparelli,,,,,
Annunciation,Q135642182,,,Annunciation,
Anselmo Costadoni,Q4770614,,,Anselmo Costadoni,
Antenor,Q571969,Q745125,,Antenor,
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Q336002,,,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",Q335112,,,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Q333294,,,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",
Anthony Blunt,Q508392,Q75639217,,Anthony Blunt,
Anthony Morris Clark,Q19753768,,,Anthony M. Clark,
Anthony Radcliffe,Q59529289,,,Anthony Radcliffe,
Anthony van Dyck,Q150679,,,Anthony van Dyck,
Anti-papal satire (Alexander VII),,,,,
Antichiesetta (San Marco),,,,,
Antichità di Palazzi,,,,,
Antinous,Q171876,,,Antinous,
Antoine Coypel,Q585926,,,Antoine Coypel,
Antoine Dumesnil,Q2853900,,,Antoine Dumesnil,
Antoine Pesne,Q203758,,,Antoine Pesne,
Antoine Seilern,Q586987,,,Antoine Seilern,
Antoine-Joseph Dezallier d'Argenville,Q585422,,,Dezallier d'Argenville,
Anton Domenico Gabbiani,Q1083096,,,Anton Domenico Gabbiani,
"Anton Florian, Prince of Liechtenstein",Q589374,,,"Anton Florian, Prince of Liechtenstein",
Anton Francesco Farsetti,,,,,
Anton Francesco Goli,Q778529,,,Antonio Francesco Gori,
Anton Maria Zanetti (the Elder),Q18507790,,,Anton Maria Zanetti,
Anton Maria Zanetti the Elder,Q944948,,,Antonio Maria Zanetti,
Anton Maria Zanetti the Younger,Q18507790,,,Anton Maria Zanetti,
Anton Neumayr,Q94896724,,,Anton Neumayr,
Anton Raphael Mengs,Q76718,,,Anton Raphael Mengs,
Antonello da Messina,Q5594,,,Antonello da Messina,
Antonia Spadafora,Q108935752,,,Antonia Spadafora,
Antonino Bertolotti,Q5574490,,,Antonino Bertolotti,
"Antonino Maresca, Duca di Serracapriola",Q2857159,,,,
Antonino Santangelo,Q124986217,,,Antonino Santangelo,
Antonio Abbondi (Scarpagnino),Q98672650,,,Antonio Abbondio,
Antonio Baldinucci,Q647434,,,Anthony Baldinucci,
Antonio Balestra,Q386500,,,Antonio Balestra,
Antonio Barbaro,Q114006282,,,Antonio Barbaro,
Antonio Barberini,Q599744,,,Antonio Barberini,
Antonio Barberini (the Elder),Q599744,,,Antonio Barberini,
Antonio Barberini (the Younger),Q599744,,,Antonio Barberini,
Antonio Battistella,Q61472533,Q599831,,Antonio Battistella,
Antonio Beccari,Q64779121,,,Antonio Beccari,
Antonio Bellucci,Q302062,,,Antonio Bellucci,
Antonio Beni,Q3619246,,,Antonio Beni,
Antonio Canova,Q5547,,,Antonio Canova,
Antonio Cappello,Q15731838,Q16527426,,Antonio Cappello,
Antonio Corradini,Q601707,,,Antonio Corradini,
Antonio Dardani,Q2857256,,,Antonio Dardani,
Antonio Del Grande,Q3619519,,,Antonio Del Grande,
Antonio Ermolao Paoletti,Q3619549,,,Antonio Ermolao Paoletti,
Antonio Francesco Gori,Q778529,,,Antonio Francesco Gori,
Antonio Franchi,Q602053,,,Antonio Franchi,
Antonio Gai,Q15378563,,,Antonio Gai,
Antonio Genovesi,Q602201,,,Antonio Genovesi,
Antonio Gherardi,Q531430,,,Antonio Gherardi,
Antonio Giussani,Q104662012,,,Antonio Giussani,
Antonio Grimani,Q65548253,,,Antonio Grimani,
Antonio Joli,Q2404265,,,Antonio Joli,
Antonio Lombardo,Q602863,Q30611830,,Antonio Lombardo,
Antonio Longo,Q18352661,,,Antonio Longo,
Antonio Loredan,Q106473817,,,Antonio Loredan,
Antonio Lorenzini,Q4776748,,,Antonio Lorenzini,
Antonio Maria Antoniazzi,Q3619823,,,Antonio Maria Antoniazzi,
Antonio Maria Marini,Q3619844,,,Antonio Maria Marini,
Antonio Maria Vassallo,Q2857352,,,Antonio Maria Vassallo,
Antonio Maria Visconti,,,,,
Antonio Maria Zanetti (the Younger),Q944948,,,Antonio Maria Zanetti,
Antonio Molinari,Q603707,,,Antonio Molinari,
Antonio Morassi,Q19997480,,,Antonio Morassi,
Antonio Palomino,Q604011,,,Antonio Palomino,
Antonio Paluello,Q3619994,,,Antonio Palella,
Antonio Petito,Q3620034,,,Antonio Petito,
Antonio Ruffo,Q88949215,Q108765904,,Antonio Ruffo,
Antonio Schinella Conti (Abate Conti),Q2087202,,,Antonio Schinella Conti,
Antonio Triva,Q461670,,,Antonio Triva,
Antonio Vallisneri,Q2662898,,,Antonio Vallisneri,
Antonio Verrio,Q2305594,,,Antonio Verrio,
Antonio Visentini,Q605690,,,Antonio Visentini,
Antonio Zanchi,Q605785,,,Antonio Zanchi,
Antonio Zatta,Q3313574,,,Antonio Zatta,
Antonio Zucchi,Q374111,,,Antonio Zucchi,
Antonio da Venezia,Q103904895,,,Antonio da Venezia,
Antonio degli Effetti,,,,,
Antonio del Rosso,Q1081979,,,Antonio De Rosso,
Apelles,Q216822,,,Apelles,
Apollo,Q37340,Q665812,,Apollo,
Apollo and Daphne,Q945850,,,Apollo and Daphne,
Apollo and the Muses,Q60479765,,,Apollo and the Muses,
Apollo conducting Frederick Barbarossa's bride,Q26706747,,,,
Apollo flaying Marsyas,Q67203478,Q97185664,,Apollo Flaying Marsyas,
Apostolic Chamber (Camera Apostolica),Q620030,,,Apostolic Camera,
Apostolic Palace,Q145093,,,Apostolic Palace,
Apostolo Zeno,Q349507,,,Apostolo Zeno,
Apotheosis of Aeneas,Q20539911,,,Apotheosis of Aeneas,
Apotheosis of the Medici,Q26700487,,,Apotheosis of the Medici,
Apotheosis of the Pisani Family,,,,,
Arcangelo Corelli,Q164475,,,Arcangelo Corelli,
Archbasilica of Saint John Lateran,Q84090,,,Archbasilica of St. John Lateran,
Archbishop of Tarsus,Q155961,,,,
Archduke Leopold Wilhelm of Austria,Q437295,,,Archduke Leopold Wilhelm of Austria,
Archiepiscopal Palace,Q19060438,,,Archiepiscopal palace,
Archiginnasio of Bologna,Q1476981,,,Archiginnasio of Bologna,
Archives Nationales (France),Q182542,,,Archives nationales,
Archivio Comunale,Q53255862,,,Archivio comunale Amelia,
Archivio Comunale di Treviso,,,,,
Archivio Mediceo del Principato,,,,,
Archivio Storico Capitolino,Q3621643,,,Archivio storico capitolino,
Archivio Storico per le Province Napoletane,Q27715484,,,Archivio storico per le province napoletane,
Archivio del Governatorato di Roma,,,,,
Archivio della Compagnia di Gesù,,,,,
Archivio di Stato,Q50945239,,,State Archives of Prato,
Archivio di Stato di Venezia,Q2324776,,,State Archives of Venice,
Archivio di Stato di Venezia (Sezione Notarile),,,,,
Archivio di Stato di Venezia (Stampe),Q2324776,,,,
Argus Panoptes,Q189821,,,Argus Panoptes,
Ariadne being woken by Love,Q1206860,,,,
Ariccia,Q241744,,,Ariccia,
Aristotle,Q868,Q84473023,,Aristotle,
Aristotle with a Bust of Homer,Q2404992,,,Aristotle with a Bust of Homer,
Arlington Street,Q67532188,,,Arlington Street,
Armand Baschet,Q2861762,,,Armand Baschet,
Armenian College (Rome/Venice),Q4069721,,,Armenian College,
Arnauld Brejon de Lavergnée,Q27499745,,,Arnauld Brejon de Lavergnée,
Arnold Hauser,Q365852,Q695303,,Arnold Hauser,
Arrighini (Family/Artist),Q101034892,,,Arrighini,
Arrival of the French Ambassador in Venice,Q5977784,,,Arrival of the French Ambassador in Venice,
Art Critics (Roman),Q4164507,,,Art critic,
Art Institute of Chicago,Q239303,,,Art Institute of Chicago,
Art dealers,Q28091835,,,Art dealers,
Art exhibitions,Q108200573,,,Art Exhibitions Bureau,
Art patronage in 17th-century Munich,,,,,
Arte dei Salumieri,,,,,
Artemisia Gentileschi,Q212657,,,Artemisia Gentileschi,
Artist's position in society (Concept),,,,,
Artistic temperament (Concept),Q7714590,,,The Artistic Temperament,
Arts Graphiques de la Cité (AGRACI),Q16237132,,,,
Arturo Jahn Rusconi,Q93429126,,,Arturo Jahn Rusconi,
Ascanio Filomarino,Q2556618,,,Ascanio Filomarino,
Ascanius Shooting the Stag of Sylvia,Q4803790,,,Ascanius Shooting the Stag of Sylvia,
Asclepius,Q83223,,,Asclepius,
Ascoli Piceno,Q6624,,,Ascoli Piceno,
Ashmolean Museum,Q636400,,,Ashmolean Museum,
Assumption of the Virgin,Q117379114,Q1899740,,Assumption of the Virgin,
Asti,Q6122,,,Asti,
Attila the Hun,Q4818461,,,Attila the Hun,
Augustin Lehmann,Q2871607,,,Augustin Lehmann,
Augustinian Monastery Altarpiece,,,,,
Augustinian church,Q693869,,,Augustinian Church,
Augustinian convent,Q3001664,,,Augustinian convent,
Augusto Bazzoni,Q43256028,,,Augusto Bazzoni,
Augusto Pierantoni,Q769588,,,Augusto Pierantoni,
Augustus,Q1405,,,Augustus,
Augustus II the Strong,Q53437,,,Augustus II the Strong,
Augustus III of Poland,Q53438,,,Augustus III of Poland,
Aurelio Gotti,Q16529961,,,Aurelio Gotti,
Aurelio Lepre,Q16262732,,,Aurelio Lepre,
Aurelio Rezzonico,,,,,
Aurora,Q108741948,Q1066178,,Aurora,
Austrian National Library,Q304037,,,Austrian National Library,
Avignon,Q6397,,,Avignon,
Avviso,Q4829575,,,Avviso,
Azzo d'Este (Marquis),Q2875309,,,Azzo X d'Este,
Babylon,Q5684,,,Babylon,
Bacchanal,Q29384647,Q111648805,,Bacchanal,
Bacchanalia,Q331341,,,Bacchanalia,
Bacchus,Q645312,,,Bacchus,
Bacchus and Ariadne,Q1206860,,,Bacchus and Ariadne,
Baccio Bandinelli,Q358348,,,Baccio Bandinelli,
Baccio Ciarpi,Q5608903,,,Baccio Ciarpi,
Badminton House from Badminton Park,Q40453567,,,Badminton House from Badminton Park,
Baglioni Chapel,Q3657320,,,Baglioni Chapel,
Baglioni Collection,,,,,
Bagnoli,Q799950,,,Bagnoli,
Baldassare Franceschini (Il Volterrano),Q2403504,,,Baldassare Franceschini,
Baldassare Longhena,Q316297,,,Baldassarre Longhena,
Balthasar Neumann,Q61349,,,Johann Balthasar Neumann,
Balthasar Permoser,Q494782,,,Balthasar Permoser,
Balthasar de Monconys,Q2262911,,,Balthasar de Monconys,
Bamboccianti,Q2344569,,,Bamboccianti,
Bandinello Sauli,Q2259012,,,Bandinello Sauli,
Banque de France,Q116205795,,,Banque de France,
"Banqueting House, Whitehall",Q110029438,,,"Banqueting House, Whitehall",
Barak before Deborah,Q50986222,,,Barak before Deborah,
Barbara Mazza,Q124847240,Q116784390,,Barbara Mazza,
Barber Institute of Fine Arts,Q4859590,,,Barber Institute of Fine Arts,
Barberini (Family),Q64873683,,,Barberini,
Barberini Chapel (Sant'Andrea della Valle),,,,,
Barberini Library,,,,,
Barnabites,Q620456,,,Barnabites,
Barnabotti,Q2884644,,,Barnabotti,
Bartolomeo Bassante,Q809486,,,Bartolomeo Bassante,
Bartolomeo Letterini,Q4865512,,,Bartolomeo Letterini,
Bartolomeo Montagna,Q809507,,,Bartolomeo Montagna,
Bartolomeo Nazari,Q465240,,,Bartolomeo Nazari,
Bartolomeo Passante,Q809486,,,Bartolomeo Bassante,
Bartolomeo Schedoni,Q629419,,,Bartolomeo Schedoni,
Bartolomeo Vivarini,Q456971,,,Bartolomeo Vivarini,
Basilica della Santa Casa,Q3674052,,,Basilica della Santa Casa di Loreto,
Basilica di Sant'Andrea (Mantua),Q2886984,,,Basilica di Sant'Andrea,
Basilica di Sant'Antonino (Sorrento/Piacenza),Q1670729,,,Basilica di Sant'Antonino,
Basilica di Santa Maria Maggiore,Q186282,Q77245219,,basilica di Santa Maria Maggiore,
Basilica di Santa Maria dei Servi,Q1021897,,,basilica di Santa Maria dei Servi,
Basilica of Saint Anthony of Padua,Q810139,,,Basilica of Saint Anthony of Padua,
Basilica of Saint Francis (Assisi),Q672894,,,Basilica of Saint Francis,
Basilica of Saint Paul Outside the Walls,Q231699,,,Basilica of Saint Paul outside the Walls,
Basilica of Saints John and Paul,Q1586946,,,Basilica of Saints John and Paul on the Caelian Hill,
Basilica of San Clemente,Q385910,,,Basilica of San Clemente,
Basilica of San Lorenzo (Florence),Q810080,,,Basilica of San Lorenzo,
Basilica of San Vitale (Ravenna/Rome),Q721817,,,Basilica of San Vitale,
Basilica of Santa Croce (Florence),Q51177,,,Basilica of Santa Croce,
Basilica of Santa Maria Novella,Q51175,,,Basilica of Santa Maria Novella,
Basilica of Santa Sabina,,,,,
Basilica of the Holy Trinity,Q1062114,,,Basilica of the Holy Trinity,
Basilicas,Q4846867,,,basilica,
Bathsheba,Q272277,,,Bathsheba,
Bathsheba Bathing,Q19863039,,,Bathsheba Bathing,
Batteria di Cucina,Q104537262,,,,
Battistella,Q18500733,,,Battistella,
Battistello Caracciolo,Q2519261,,,Battistello Caracciolo,
Battle of White Mountain,Q4373,,,Battle of White Mountain,
Bavarian State Painting Collections (Bayerische Staatsgemäldesammlungen),Q812285,,,Bavarian State Painting Collections,
Beccari (Dr.),Q21450819,,,Beccari,
Beggar holding a Rosary,,,,,
Bell Towers for St. Peter's Basilica,,,,,
Belvoir Castle,Q816295,,,Belvoir Castle,
Benedetto Croce,Q192348,,,Benedetto Croce,
Benedetto Gennari II,Q1648946,,,Benedetto Gennari II,
Benedetto Giustiniani,Q68904526,,,Benedetto Giustiniani,
Benedetto Luti,Q816847,,,Benedetto Luti,
Benedetto Menzini,Q3638090,,,Benedetto Menzini,
Benedict Nicolson,Q320152,,,Benedict Nicolson,
Benedictines,Q131132,,,Benedictines,
Benjamin Styles,Q4889210,,,Benjamin Schlesinger,
Benoît Audran the Elder,Q818100,,,Benoît Audran the Elder,
Bensberg Castle,Q153847,,,Bensberg Castle,
Bentvueghels,Q514377,,,Bentvueghels,
Benvenuto Cellini,Q190116,,,Benvenuto Cellini,
Beretta,Q324782,,,Beretta,
Bergamasque Community,,,,,
Bergamo Cathedral,Q1081902,,,Bergamo Cathedral,
Berlinghiero Gessi,Q2897287,,,Berlinghiero Gessi,
Bernard Aikema,Q62415539,,,Bernard Aikema,
Bernard Le Bovier de Fontenelle,Q310309,,,Bernard Le Bovier de Fontenelle,
Bernard Picart,Q559929,,,Bernard Picart,
Bernardino Baccinelli,Q822863,,,Bernardine Baccinelli,
Bernardino Castelli,Q3638702,,,Bernardino Castelli,
Bernardino Feliciangeli,Q3638707,,,Bernardino Feliciangeli,
Bernardino Gagliardi,Q4893845,,,Bernardino Gagliardi,
Bernardino Lorca,Q2898901,,,Bernardino Lunati,
Bernardino Mei,Q472391,,,Bernardino Mei,
Bernardino Spada,Q822934,,,Bernardino Spada,
Bernardo Bellotto,Q164688,,,Bernardo Bellotto,
Bernardo Bizoni,Q103980500,,,Bernardo Bizoni,
Bernardo Cavallino,Q822982,,,Bernardo Cavallino,
Bernardo De Dominici,Q1152363,,,Bernardo de' Dominici,
Bernardo Sansone Sgrilli,Q55915804,,,Bernardo Sansone Sgrilli,
