原始 CSV 行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
79,Caterina Barbarigo,Caterina Barbarigo,-,人名,威尼斯贵妇与赞助人。哈斯克尔在分析威尼斯沙龙赞助时提及。/ Venetian noblewoman and patron in salon culture.,DBI; Google
80,Ceiling Frescoes (Palazzo Altieri),Palazzo Altieri Ceilings,-,作品,"卡尔洛·马拉塔等人的巅峰之作。/ Ceiling frescoes by Maratta in Palazzo Altieri, Rome.",原书 第6章; RKD
81,Ceiling Frescoes (Quirinal Palace),Quirinal Palace Ceilings,-,作品,兰弗兰科等人的大型装饰计划。/ Major decoration programs in the Quirinal by Lanfranco.,原书 第5章; RKD
82,Ceiling fresco (Augustinian Church),St. Augustine in Glory,-,作品,通常指罗马圣奥古斯丁教堂由 兰弗兰科 创作的天顶画。/ Ceiling fresco by Lanfranco for the Augustinians.,原书 第5章; RKD
83,Ceiling of Palazzo Doria Pamphilj,Palazzo Doria Pamphilj Ceiling,-,作品,彼得罗·达·科尔托纳 的名作。/ Ceiling fresco by Pietro da Cortona in Palazzo Doria.,原书 第7章; RKD
84,Ceremonies of the Grand Duke,Ceremonies of the Grand Duke,-,活动,哈斯克尔讨论托斯卡纳宫廷赞助与仪式的章节。/ Court ceremonies in Tuscany reflecting patronage power.,原书 第8章
85,Chapel of St. Lawrence,Cappella di San Lorenzo,-,地点,位于都灵或罗马，哈斯克尔分析特定圣徒赞助。/ Chapel dedicated to St. Lawrence; discussed in Turin/Rome.,原书 (Saints)
86,Chapel of St. Stanislaus Kostka,Cappella di San Stanislao Kostka,-,地点,罗马圣安德烈奎里纳莱，哈斯克尔讨论耶酥会赞助。/ Located in Sant'Andrea al Quirinale; Jesuit patronage.,原书 第6章; Google
87,Chapels of Santa Maria Maggiore,Paolina and Sistine Chapels,-,地点,罗马圣母大殿内的竞争性赞助案例。/ Competitive patronage in Santa Maria Maggiore.,原书 p.124
88,Charles Gordon-Lennox ... Richmond,"Charles Lennox, 3rd Duke of Richmond",Q336494,人名,18世纪英国大收藏家。/ 3rd Duke of Richmond; major 18th-c. British grand tourist.,BM; Wikidata
89a,Charles I ... / Charles II?,Charles I of England,Q81506,人名,[拆分] 英国国王，全书研究意大利绘画外流的关键。/ King of England; major international collector.,拆分准则; Wikidata
89b,Charles I ... / Charles II?,Charles II of England,Q122553,人名,[拆分] 英国国王，哈斯克尔讨论品味延续的对象。/ King of England; discussed regarding taste continuity.,拆分准则; Wikidata
90,Charles-François de Saint-Saulieu,Charles-François de Saint-Saulieu,-,人名,18世纪法国外交官及赞助人。/ 18th-c. French diplomat and patron active in Italy.,Gallica; Google
91,"Christian Louis I, Duke of Mecklenburg",Christian Ludwig I,Q551871,人名,哈斯克尔讨论北欧王室赞助时的案例。/ Duke of Mecklenburg-Schwerin; courtly patron.,Wikidata; Google
92,Church of San Sebastiano (Venice),"San Sebastiano, Venice",Q1229047,地点,全书讨论委罗内塞及17世纪延续性赞助的核心地。/ Center for Veronese and 17th-c. Venetian studies.,原书 p.260; Wikidata
93,Churches of Religious Orders,Patronage of Religious Orders,-,概念,哈斯克尔全书核心：不同修会（耶酥会、方济各会）的品味差异。/ Patronage patterns of different religious orders.,全书核心主题
94,Cincinnatus Summoned from the Plough,Cincinnatus Called from the Plough,-,作品,提埃坡罗或 皮埃特罗·达·科尔托纳 的名作。/ Heroic subject painted by Tiepolo or Cortona.,原书 (Heroism); RKD
95,Cincinnatus summoned from the Plough,Cincinnatus Called from the Plough,-,作品,重复项，同上行，体现了不同赞助周期中的版本差异。/ Duplicate; version study in different patronage cycles.,原书 (Heroism); RKD
96a,Coggio Pittoni,Francesco Pittoni,Q5479532,人名,[定性] 哈斯克尔常提及的“科焦（老）”皮托尼。/ Older generation of the Pittoni family of painters.,原书 p.265; DBI
96b,Coggio Pittoni,Giambattista Pittoni,Q651139,人名,[延伸] 与上行相关的18世纪名家。/ The famous 18th-c. Venetian master Giambattista Pittoni.,原书 p.265; Getty
97,Coggio Pittoni (Artist?),Coggio Pittoni,-,人名,指代皮托尼家族中的某位不太确定的早期艺术家成员。/ Refers to a less-certain early member of the Pittoni family.,原书 p.265
98,Collegio di Siena,"Collegio Tolomei, Siena",-,机构,哈斯克尔分析省级教育机构对艺术品订制的章节。/ Sienese college cited for educational art commissions.,原书 p.231
99,Congregazione dei Virtuosi al Pantheon,Congregazione dei Virtuosi al Pantheon,Q3686866,机构,罗马古老的艺术同业会。哈斯克尔以此讨论非学院派的赞助社交。/ Ancient artistic brotherhood in Rome; discussed regarding social circles.,原书 p.124; Wikidata
