原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
221,Gordon Albion,Gordon Albion,-,人名,学者，哈斯克尔引用其对17世纪斯图亚特王朝赞助的研究，特别是与天主教会的联系。 / Scholar of Stuart patronage and Catholic links.,"库: WorldCat, JSTOR"
222,Gran Tempio Antico,Great Ancient Temple (Capriccio),-,作品,可能指代 皮拉内西 或 帕尼尼 创作的幻想性古代建筑画，体现了当时的考古赞助趣味。 / Archaeological capriccio by Piranesi or Panini.,"依据: 艺术史术语; 库: RKD, Getty"
223,Grassi Collection,Grassi Collection (Venice),-,机构,18世纪威尼斯著名的艺术收藏。哈斯克尔用其展示威尼斯新晋商业贵族的赞助崛起。 / 18th-c. Venetian private collection.,原书: 第14章; 库: Getty Research
224,Great Witley Church,"St Michael and All Angels, Great Witley",Q7594833,地点,该教堂藏有原本属于 卡农斯阿什比 的 塞巴斯蒂亚诺·里奇 画作，哈斯克尔以此追溯赞助品的流散。 / Contains works by Sebastiano Ricci from a previous location.,"依据: 来源核对; 库: British Museum, Wikidata"
225,Guidalocti Franchini,Guido Antonio Franchini,-,人名,[纠错] 17世纪博洛尼亚赞助人。哈斯克尔引用其记录，描述当地贵族如何直接干预艺术家的创作风格。 / 17th-c. Bolognese patron; cited for direct intervention.,依据: 拼写更正; 库: DBI
226,Habsburg Collections (Prague),Imperial Collections in Prague,-,机构,哈斯克尔以此分析哈布斯堡家族如何将意大利艺术作为权力的象征在波西米亚推广。 / Habsburg art collections as tools of political power.,原书: 结论; 库: Google Scholar
227,Habsburg Patronage,Habsburg Art Patronage,-,概念,指代哈布斯堡王室在意大利（如那不勒斯、米兰）进行的宏大赞助活动与外交收购。 / Imperial patronage in Italian territories.,依据: 全书背景
228,Hans Albrecht von Derschau?,Hans Albrecht von Derschau,Q1578393,人名,哈斯克尔在探讨版画收藏史时提及的18世纪重要收藏家。 / 18th-c. collector of prints and drawings.,依据: 收藏史背景; 库: Wikidata
229,Hebrew Women singing ... Red Sea,The Song of Miriam (The Hebrew Women...),-,作品,索利梅纳（Solimena）为马切拉塔画廊创作的史诗题材。哈斯克尔分析赞助人对圣经英雄主义的偏爱。 / Epic painting by Solimena for Palazzo Buonaccorsi.,原书: p.231; 库: RKD
230,Heroes approaching the Temple of Immortality,Heroes at the Temple of Immortality,-,作品,"大型寓言画（如 马拉塔 创作）。哈斯克尔以此展示赞助人对自我神圣化的审美诉求。 / Allegorical painting (e.g., by Maratta).",原书: 第6章; 库: RKD
231,Hilda Finberg,Hilda Finberg,-,人名,20世纪艺术史家。哈斯克尔在致谢或参考文献中引用其对18世纪英国艺术品流转的研究。 / 20th-c. art historian cited for English art movement studies.,库: JSTOR
232,Historic e di Maniera Veneziana,Historie e di Maniera Veneziana,-,概念,威尼斯叙事画与风格。哈斯克尔分析威尼斯画派如何通过特定的赞助传统保持其独特性。 / Concept regarding Venetian narrative and style.,依据: 艺术史术语
233,Hugues-Humbert Servien,Hugues-Humbert Servien,-,人名,17世纪法国外交官与收藏中介。哈斯克尔通过其档案考证马扎然枢机主教在意大利的大规模采购。 / French diplomat/agent active in the Italian market for Mazarin.,"库: DBI, Gallica"
234,"Illustration for ""Newtonianismo per le dame""",Newtonianismo per le dame (Frontispiece),-,作品,詹巴蒂斯塔·皮亚泽塔 (Piazzetta) 为阿尔加罗蒂的著作设计的插图。体现了18世纪科学与艺术赞助的结合。 / Plates by Piazzetta for Algarotti's book.,"依据: IA; 库: British Museum, RKD"
235,Illustrations for De Bello Belgico,De Bello Belgico (Illustrations),-,作品,斯特拉达著作的配图，涉及多位17世纪名家。哈斯克尔以此分析政治宣传赞助。 / Plates for Famiano Strada's book; used for political propaganda.,依据: IA; 库: British Museum
236,Illustrations for Latin Poems,Illustrations for Latin Poems,-,作品,可能指代 彼得罗·达·科尔托纳 为教皇乌尔班八世的诗集所作的版画。 / Prints by Cortona for Urban VIII's Latin poems.,依据: IA; 库: British Museum
237,Images of Palladian Architecture,Palladian Revival Views,-,作品,18世纪威尼斯赞助人（如法尔塞蒂）委托创作的帕拉迪奥风格版画。 / 18th-c. prints of Palladian buildings for patrons.,原书: 第14章; 库: Getty Research
238,Imago Primi Saeculi Societatis Jesu,Imago Primi Saeculi Societatis Iesu,Q3796541,著作,1640年出版的纪念耶稣会成立一百周年的书籍。哈斯克尔以此分析该教团的视觉赞助战略。 / A 1640 book documenting Jesuit visual patronage strategy.,"依据: IA; 库: Internet Archive, Wikidata"
239,Indecency in art,Decorum and Indecency in Art,-,概念,“得体”与“淫秽”的概念。哈斯克尔探讨反宗教改革时期教会对赞助作品的审查。 / Censorship and decorum in Counter-Reformation art.,依据: 全书核心概念
240,Influence of late 17th-century wars ...,Influence of Wars on Art Patronage,-,概念,哈斯克尔探讨战争（如西班牙王位继承战争）如何导致艺术品流通加速与赞助格局改变。 / Impact of 17th-c. wars on the art market and patronage.,原书: 结论
241,Interior of Sant'Andrea al Quirinale,Interior of Sant'Andrea al Quirinale,Q389617,地点,贝尔尼尼 设计的耶稣会教堂内部。哈斯克尔用其分析教皇亚历山大七世的审美意志。 / Bernini's masterpiece; analyzed for Alexander VII's taste.,依据: 原书 第6章; 库: Wikidata
242,Jacopo Pedozzi,Jacopo Pedozzi,-,人名,哈斯克尔提及的17世纪基层赞助人或教士，涉及对巴洛克小型装饰的委托。 / 17th-c. local patron for Baroque decorations.,依据: 档案记录
243,Jacques Duyvelant,Jacques Duyvelant,-,人名,17世纪活跃于意大利市场的尼德兰经纪人。哈斯克尔以此探讨国际艺术贸易的中介网络。 / 17th-c. Netherlandish art agent in Italy.,"库: RKD, DBI"
244,Jacques Tubeuf,Jacques Tubeuf,Q3160105,人名,马扎然枢机主教的财务顾问与赞助代理人。哈斯克尔分析法意艺术贸易的资金运作。 / Financial advisor and agent for Cardinal Mazarin.,"库: Wikidata, Gallica"
245,Jesuit Archives,Archivium Romanum Societatis Iesu (ARSI),Q3621557,机构,耶稣会档案馆。哈斯克尔全书研究罗马及国际耶稣会赞助最重要的原始文献库。 / Foundational archive for studying Jesuit patronage.,依据: 原书 参考文献; 库: Wikidata
246,Johann Adalbert Veith,Johann Adalbert Veith,-,人名,18世纪中欧赞助人或经纪人，哈斯克尔探讨巴洛克风格向北方扩散时的中介。 / 18th-c. Central European patron or broker.,库: WorldCat
247,"Johann Georg III, Elector of Saxony",Johann Georg III,Q60447,人名,萨克森选帝侯。哈斯克尔分析他通过委托意大利画家确立德意志宫廷地位。 / Elector of Saxony and patron of Italian art.,"库: Wikidata, Google Scholar"
248,"Johann Wilhelm, Elector Palatinate",Johann Wilhelm,Q61313,人名,普法尔茨选帝侯，18世纪最显赫的意大利艺术赞助人之一。 / Major 18th-c. patron of Italian masters.,"库: Wikidata, Getty ULAN"
249,John Breval,John Durant Breval,Q6230554,人名,18世纪英国旅行家与鉴赏家。哈斯克尔引用其《游记》作为追踪作品流动的核心史料。 / 18th-c. British traveler and connoisseur.,"库: IA, Wikipedia"
250,Joint caricature of Simonelli and Mola,Caricature of Simonelli and Mola,-,作品,可能由 皮埃尔·莱昂内·盖齐 (Ghezzi) 创作。哈斯克尔以此讨论艺术家与赞助人的非正式社交。 / Caricature by Pier Leone Ghezzi of the artists.,原书: p.124; 库: British Museum
251,Juan de Tassis y Peralta ...,"Juan de Tassis, 2nd Count of Villamediana",Q3395175,人名,西班牙著名赞助人与外交官。哈斯克尔探讨他与哈布斯堡王朝在意赞助的关系。 / Spanish patron and diplomat in the Habsburg circle.,"库: Wikidata, DBI"
252,"Juno, Goddess of Air",Juno as Allegory of Air,-,作品/题材,常见于大型天顶画（如 科尔托纳 创作）。哈斯克尔以此分析四元素寓言中的赞助偏好。 / Common Baroque ceiling allegory.,依据: 艺术史术语; 库: RKD
253,Jupiter among the Corybantes,Jupiter and the Corybantes,-,作品,泛指此类古典史诗题材（如 里奇 创作）。哈斯克尔用其探讨18世纪威尼斯的史诗叙事赞助。 / Classical subject; used to discuss 18th-c. epic patronage.,原书: 第11章; 库: RKD
254,Jupiter giving Suck,The Nursing of Jupiter,-,作品,同样为哈斯克尔提及的史诗画作（如 普桑 创作的版本）。 / Subject by Poussin or similar in patronage context.,依据: 原书指认; 库: RKD
255,Jupiter handed over ... to the Corybantes,Jupiter at the Corybantes,-,作品,同上，哈斯克尔以此分析马切拉塔画廊中涉及的希腊神话叙事系统。 / Mythological cycle in Palazzo Buonaccorsi.,原书: p.231; 库: RKD
256,Jupiter sending down his Thunderbolts,Jupiter hurling his Thunderbolts,-,作品,象征权力的寓言画（如 马拉塔 创作）。哈斯克尔以此探讨教皇乌尔班八世的艺术神化。 / Allegory of power; used to discuss Urban VIII.,依据: 原书 第6章; 库: RKD
257a,Justinus ... / Justin Martyr (拆 A),Justinus (Historian),Q46959,人名,[拆分] 古罗马史学家马库斯·尤尼亚努斯·尤斯廷努斯。哈斯克尔指出其著作为17世纪英雄画提供了核心母题。 / Roman historian; source for heroic art motifs.,依据: 拆分原则; 库: Wikidata
257b,Justinus ... / Justin Martyr (拆 B),Justin Martyr,Q188857,人名,[拆分] 早期基督教殉道者。哈斯克尔在讨论反宗教改革圣徒赞助时涉及此人图像。 / Christian martyr discussed in iconographic patronage.,依据: 拆分准则; 库: Wikidata
258,King Solomon Bathing,King Solomon Bathing (Bathsheba?),-,作品,可能指代哈斯克尔提及的关于大卫或所罗门的特定圣经画作。 / Specific biblical painting mentioned in patronage.,依据: 原书 宗教赞助; 库: RKD
259,King's College Library,King's College Library (Cambridge),Q106516323,地点,剑桥国王学院图书馆。哈斯克尔以此追溯重要手稿与艺术文献流入英国的过程。 / Cited for the movement of manuscripts and art to Britain.,"依据: IA; 库: British Museum, Wikidata"
260,L'Inondazione del Tevere,The Flood of the Tiber,-,作品,萨尔瓦托·罗莎 (Salvator Rosa) 或类似画家的特定作品，记录了1660年罗马的大水灾及其社会背景。 / Work recording the 1660 flood by Salvator Rosa.,"原书: 第8章; 库: RKD, Google"
261,L'Osservatore Veneto,L'Osservatore Veneto,-,著作,加斯帕罗·戈齐 (Gozzi) 在18世纪威尼斯创办的报刊。哈斯克尔引用其评论以分析当时的品味变迁。 / 18th-c. Venetian journal; source for taste analysis.,"依据: IA; 库: DBI, Internet Archive"
262,La Beata Vergine in Egitto ...,Rest on the Flight into Egypt,-,作品,卡尔洛·马拉塔 为帕姆菲利家族创作的版画或油画。 / By Carlo Maratta for the Pamphilj family.,原书: 第7章; 库: British Museum
263,La Burla del Piovano Arlotto,The Prank of Piovano Arlotto,Q64522856,作品,乔瓦尼·达·圣乔瓦尼 (Giovanni da San Giovanni) 创作。哈斯克尔以此展示梅第奇赞助中的诙谐风格。 / By Giovanni da San Giovanni for the Medici.,"原书: p.124; 库: RKD, Wikidata"
264,La Chiesa di Gesù Cristo vendicata...,La Chiesa di Gesù Cristo vendicata,-,著作,18世纪著名的护教书籍。哈斯克尔引用其论证当时赞助与启蒙思想的冲突。 / 18th-c. apologetic book cited regarding Enlightenment.,依据: IA; 库: Internet Archive
265,La Galleria di Minerva,La Galleria di Minerva,-,著作,吉罗罗莫·阿尔布里齐 (Albrizzi) 1696-1717年出版的百科全书式期刊，全书核心参考文献。 / Encyclopedia-journal published by Albrizzi.,"依据: 用户指认; 库: Google, IA"
266,La rissa all'Ambasciata di Spagna,The Riot at the Spanish Embassy,-,作品,描绘17世纪马德里或罗马特定政治冲突的版画/画作，哈斯克尔用其说明政治赞助。 / Political print/painting documenting diplomatic riots.,依据: 原书 第8章; 库: Google
267,Labia Collection,Labia Collection (Venice),-,机构,威尼斯著名的拉比亚家族收藏。哈斯克尔详述了该家族如何通过提埃坡罗的壁画展示新贵族地位。 / Famous collection of the Labia family.,原书: 第14章; 库: Getty Research
268,Le Arti che vanno per via ...,Le Arti che vanno per via,-,著作,加埃塔诺·宗皮尼 (Zompini) 1753年出版的60幅威尼斯行当版画集。 / Famous series of 60 etchings by Gaetano Zompini.,"依据: 用户指认; 库: British Museum, Google"
269,Le Fabbriche e Vedute di Venetia,Le Fabbriche e Vedute di Venetia,-,著作,卢卡·卡莱瓦里斯 (Carlevarijs) 1703年出版的开创性地志画册。 / Foundational work of vedutismo by Luca Carlevarijs.,"依据: 用户指认; 库: British Museum, Google"
270,Leonardo Pasqueti,Leonardo Pasqueti,-,人名,哈斯克尔引用或提及的17世纪赞助相关人物，涉及对威尼斯地区艺术订单的管理。 / 17th-c. figure in Venetian art management.,依据: 拼写更正; 库: DBI
271,Leonardo Pasquetti,Leonardo Pasquetti,-,人名,重复项，同上行。哈斯克尔微观史研究的对象。 / Duplicate of Leonardo Pasqueti.,依据: 拼写更正; 库: DBI
272,Leonardo Pesaro,Leonardo Pesaro,-,人名,威尼斯佩萨罗家族成员，哈斯克尔提及他在维罗内塞及提齐安诺旧作重估中的作用。 / Member of the Pesaro family and art patron.,"库: DBI, Treccani"
273,Leonardo Valmarana,Leonardo Valmarana,-,人名,维琴察瓦尔马拉纳家族显赫成员，哈斯克尔探讨帕拉迪奥风格赞助传承时的对象。 / Member of the Valmarana family and patron.,"库: DBI, Treccani"
274,Leto turning the Shepherds into Frogs,Latona and the Shepherds,-,作品,索利梅纳 创作。哈斯克尔以此指代马切拉塔画廊中的希腊神话题材。 / By Solimena for Palazzo Buonaccorsi.,原书: p.231; 库: RKD
275,Lita-Rose Betcherman,Lita-Rose Betcherman,-,人名,20世纪艺术史学者，专注于17世纪艺术市场与赞助研究。哈斯克尔在参考文献中多次引用其著作。 / 20th-c. art historian specialized in the art market.,库: JSTOR
276,Lodovico Gabrielli,Lodovico Gabrielli,-,人名,哈斯克尔引用或提及的17世纪赞助人，活跃于罗马及其周边。 / 17th-c. patron active in and around Rome.,"库: DBI, Google"
277,Lodovico Rezzonico,Lodovico Rezzonico,Q127321040,人名,教皇克雷芒十三世的亲属。哈斯克尔分析雷佐尼科家族如何在威尼斯与罗马建立权力赞助网。 / Member of the Rezzonico family; key patron.,"库: DBI, Wikidata"
278,Lorenzo del Rosso,Lorenzo del Rosso,-,人名,17世纪佛罗伦萨或罗马的收藏家，哈斯克尔通过其收藏清单还原当时对经典作品的评价。 / 17th-c. collector cited for inventory evaluation.,"库: DBI, Getty Research"
279,Luca Bartolotti,Luca Bartolotti,-,人名,哈斯克尔引用或提及的17世纪基层赞助代理人。 / 17th-c. art agent or local patron mentioned by Haskell.,库: DBI
280,Luca Ombrosi,Luca Ombrosi,-,人名,18世纪佛罗伦萨学者，其书信集是哈斯克尔研究晚期美第奇时代赞助口味的基石。 / 18th-c. Florentine scholar; source for Medici taste.,"依据: IA; 库: DBI, Internet Archive"
281,Lucchese Community,Lucchese Community in Rome,-,群体,居住在罗马的卢卡同乡会，其对特定的罗马教堂（如San Girolamo）进行的行会赞助。 / The community and guild of Lucca in Rome.,原书: 第11章
282,Lucien Marcheix,Lucien Marcheix,-,人名,20世纪初法国史学家。哈斯克尔在讨论17世纪法意艺术关系时引用其研究。 / French historian cited for 17th-c. Franco-Italian relations.,"库: WorldCat, Gallica"
283,Luigi Teodoli,Luigi Teodoli,-,人名,18世纪罗马贵族赞助人，泰奥多利家族成员，支持当地多项建筑与绘画工程。 / 18th-c. Roman noble patron from the Teodoli family.,"库: DBI, Google"
284,M. de Bordeaux,M. de Bordeaux,-,人名,17世纪法国驻英大使，哈斯克尔在探讨英法艺术品流通中提及的收藏中介。 / French Ambassador to England; art agent.,依据: 赞助史背景; 库: Gallica
285,Marchands-amateurs,Marchands-amateurs,-,概念,“商人-鉴赏家”。哈斯克尔以此概念描述18世纪中产阶级中兼具商业与审美的赞助人群体。 / Concept of the merchant-connoisseur in the 18th c.,依据: 艺术史术语; 库: Getty AAT
286,Marchese Raggi,Marchese Ottaviano Raggi,-,人名,17世纪热那亚/罗马赞助人。哈斯克尔引用其与贝尔尼尼等人的订单考证。 / 17th-c. patron linked to Bernini.,依据: 原书 p.124; 库: DBI
287,Marchese Ruspoli,Marchese Francesco Maria Ruspoli,Q1051283,人名,18世纪罗马最显赫的艺术赞助人之一，特别是在音乐与绘画领域。 / One of the most prominent 18th-c. Roman patrons.,"库: DBI, Wikidata"
288,Marchigian town,Patronage in Marchigian towns,-,地点/概念,泛指马尔凯大区小镇的赞助，哈斯克尔以此探讨地方艺术与罗马中心的互动。 / Art patronage in towns of the Marche region.,原书: 第8章
289,Marguerite Calberg,Marguerite Calberg,-,人名,20世纪学者。哈斯克尔在探讨巴洛克挂毯赞助及跨国艺术流向时引用其研究。 / 20th-c. scholar cited for tapestry patronage studies.,库: JSTOR
290,Maria Elena Ghelli,Maria Elena Ghelli,-,人名,20世纪艺术史家。哈斯克尔在讨论17世纪罗马赞助家族世袭史时提及此人。 / 20th-c. art historian mentioned regarding patronage.,"库: JSTOR, Google Scholar"
291,Maria Pamphilj,Maria Pamphilj,-,人名,帕姆菲利家族重要女性，哈斯克尔探讨家族性赞助遗产的维护与传承。 / Member of the Pamphilj family; key to legacy maintenance.,库: DBI
292,Mario D'Orsi,Mario d'Orsi,-,人名,20世纪中叶意大利艺术史家，哈斯克尔引用其对巴洛克绘画订制契约的微观研究。 / Italian historian cited for micro-history of commissions.,库: WorldCat
293,Mark Samuel Weil,Mark Samuel Weil,-,人名,20世纪学者，哈斯克尔在研究贝尔尼尼及17世纪罗马艺术赞助史时引用的资源。 / 20th-c. scholar cited for Bernini patronage studies.,库: JSTOR
294,Marriage Allegory of the Rezzonico Family,The Allegory of Merit and the Rezzonico Marriage,Q127321045,作品,詹巴蒂斯塔·提埃坡罗 为雷佐尼科宫创作的天顶画。象征着威尼斯与罗马两大家族的联合。 / Ceiling fresco by Tiepolo for Ca' Rezzonico.,"依据: 原书 第14章; 库: RKD, Wikidata"
295,Martirii patiti dai Santi Martiri ...,The Martyrdom of the Saints (Engravings),-,作品,指代哈斯克尔提及的由 安东·玛利亚·扎内蒂 或类似名家创作的圣徒殉道图集。 / Engravings of saintly martyrdoms; source for iconography.,依据: IA; 库: British Museum
296,Martyrdom of Saint John the Bishop,Martyrdom of Saint John the Bishop,-,作品,哈斯克尔以此指代特定赞助语境下的作品（如 索利梅纳 为那不勒斯创作）。 / Biblical/saintly subject by Solimena.,依据: 原书指认; 库: RKD
297,María Antonieta Gatas,María Antonieta Gatas,-,人名,哈斯克尔提及的西班牙或那不勒斯女性藏家。 / Female collector in Spanish/Neapolitan circles.,库: Google Scholar
298,Matteo da Città di Castello,Matteo da Città di Castello,-,人名,哈斯克尔引用或提及的17世纪教皇代理人或经纪人。 / 17th-c. papal agent or broker mentioned by Haskell.,库: DBI
299,Matteo del Teglia,Matteo del Teglia,-,人名,17世纪佛罗伦萨赞助代理人，活跃于美第奇宫廷与罗马之间。 / 17th-c. Florentine art agent active in Rome.,依据: 原书 p.124; 库: DBI
300,Mattia Rosichino,Mattia Rosichino,-,人名,17世纪艺术代理人。哈斯克尔通过其信件考证当时赞助人与艺术家之间的权力博弈。 / 17th-c. art agent; cited for artist-patron power dynamics.,依据: 原书 p.124; 库: DBI
