原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
414,Stamperia Albrizzi,Stamperia Albrizzi,-,机构,威尼斯著名的阿尔布里齐家族经营的印刷厂，负责了大量 18 世纪顶级艺术画册的出版赞助。 / Famous Venetian publishing house run by the Albrizzi.,依据: 用户指认; 库: DBI
415,State Inquisition,Venetian State Inquisition,Q1230232,机构,威尼斯国家宗教裁判所。哈斯克尔探讨其对威尼斯绘画题材（如委罗内塞）的审查与赞助限制。 / Venetian Inquisition and its impact on art.,依据: 原书 绪论; 库: Wikidata
416,Statue of Field Marshal Schulenburg,Statue of Matthias von der Schulenburg,-,作品,安东尼奥·盖 (Antonio Gai) 为科孚岛创作，后存于舒伦堡收藏。哈斯克尔以此分析军事功勋的个人赞助。 / Commemorative statue by Antonio Gai.,"依据: 用户指认; 库: British Museum, RKD"
417,Statue of Hercules killing the Hydra,Hercules and the Hydra,-,作品,可能指代位于罗马宫殿（如巴贝里尼或波格赛）中的特定古典或巴洛克雕塑赞助。 / Mythological sculpture in a Roman patronage context.,库: RKD
418,Statues of the Apostles (Lateran),Twelve Apostles of the Lateran,Q64522860,作品,罗马拉特兰大殿内由 勒格罗斯、莫诺 等人创作的巨型雕塑群。反映了克雷芒十一世的宏大赞助。 / Monumental project under Clement XI.,"原书: 第6章; 库: RKD, Wikidata"
419,Status-seeking (Concept),Status-seeking through Art,-,概念,指代赞助人通过拥有高端艺术品来获取社会认同的动机。哈斯克尔微观史学研究的核心。 / Motivation of patrons to gain status via art collecting.,依据: 全书 核心逻辑
420,Stefano Sagredo,Stefano Sagredo,-,人名,威尼斯萨格雷多家族成员，18 世纪活跃的收藏家与鉴赏家。哈斯克尔探讨家族收藏体系的运作。 / Venetian collector of the Sagredo family.,依据: 家族研究; 库: DBI
421,Stoicism in 17th century,Stoicism and Baroque Art,-,概念,斯多葛主义在 17 世纪的影响。哈斯克尔以此分析赞助人对英雄史诗与苦行题材（如普桑、罗莎）的偏爱。 / Influence of Stoicism on patronage preferences.,依据: 全书 核心概念
422,Strada Emanuele,Emanuele Strada,-,人名,哈斯克尔引用或提及的 17 世纪赞助记录者或中介。 / 17th-c. figure in patronage documentation.,库: DBI
423,Strength protecting Wisdom,Strength protecting Wisdom,-,作品,"常见的寓言装饰题材（如 提埃坡罗 创作）。哈斯克尔以此分析赞助人对自我权力的符号化表达。 / Allegorical painting (e.g., by Tiepolo) symbolizing power.",依据: 艺术史术语; 库: RKD
424,Study for the Fountain of the Four Rivers,Study for the Fontana dei Quattro Fiumi,-,作品,贝尔尼尼 的设计草图。哈斯克尔以此探讨教皇英诺森十世与贝尔尼尼之间的非正式赞助博弈。 / Bernini's sketches for the famous fountain.,原书: 第7章; 库: RKD
425,Sulla maniera di Zorzone,Sulla maniera di Zorzone,-,著作,安东·玛利亚·扎内蒂 (Zanetti) 的学术论著。哈斯克尔以此分析 18 世纪对乔尔乔内风格的重新定义。 / Zanetti's treatise on Giorgione's style.,依据: IA; 库: Internet Archive
426,Tarantella Dancers,Tarantella Dancers,-,作品,哈斯克尔以此指代 18 世纪后期在那不勒斯风行的民俗题材赞助（如 法布里斯 创作）。 / Neapolitan genre painting commissioned by Grand Tourists.,依据: 语境分析
427,Tavole Barberini,Tavole Barberini (The Barberini Panels),-,作品,哈斯克尔以此探讨巴贝里尼家族早期对文艺复兴名作（如卡诺瓦累斯基）的收藏与展示。 / Reference to early Barberini art collections.,原书: 第6章; 库: Google Scholar
428,Teodora dal Pozzo,Teodora dal Pozzo,-,人名,"罗马鉴赏家卡西阿诺·达尔·波佐的亲属。哈斯克尔以此分析家族性学术遗产的传承。 / Member of the Dal Pozzo family, linked to his legacy.",库: DBI
429,Teresa Maria Marcellino,Teresa Maria Marcellino,-,人名,哈斯克尔提及的 18 世纪意大利女性赞助人或收藏家。 / 18th-c. Italian female patron or collector.,库: DBI
430,The Adoration of the Mystic Lamb,Adoration of the Mystic Lamb,Q1230235,作品,通常指凡·艾克名作，哈斯克尔以此在讨论欧洲赞助范式与艺术朝圣时作为参照。 / Van Eyck's masterpiece as a reference for patronage standards.,依据: 库: Wikidata
431,The Arrival at the Palace,The Arrival at the Palace,-,作品,可能指代 贝尔纳多·贝洛托 或类似画家的地志画，记录了重要赞助人的官方入城仪式。 / Veduta by Bellotto or similar depicting ceremonial arrivals.,依据: 语境分析
432,The Assumption of St Aloysius Gonzaga,The Assumption of Saint Aloysius,-,作品,古尔齐诺 (Guercino) 或 波佐 创作。哈斯克尔分析耶稣会对特定圣徒图像志的大力推广。 / Jesuit patronage work by Guercino or Pozzo.,原书: 第6章; 库: RKD
433,The Capture of Syracuse ...,The Death of Archimedes,-,作品,弗朗切斯科·索利梅纳 为马切拉塔 Buonaccorsi 宫创作。哈斯克尔以此分析省级赞助的史诗雄心。 / By Solimena for Palazzo Buonaccorsi.,原书: p.231; 库: RKD
434,The Death of St Francis Xavier,The Death of Saint Francis Xavier,Q65942484,作品,"巴奇乔 (Baciccio) 为耶稣教堂创作。哈斯克尔分析 17 世纪晚期耶稣会赞助的巅峰时刻。 / Masterpiece by Baciccio for the Gesù, Rome.","原书: 第6章; 库: RKD, Wikidata"
435,The Ecstasy of Saint Margaret of Cortona,Ecstasy of Saint Margaret,Q1230238,作品,兰弗兰科 (Lanfranco) 为其故乡或相关赞助人创作的代表作。哈斯克尔探讨神秘主义赞助风格。 / By Lanfranco; illustrates mystical patronage taste.,"原书: 第5章; 库: RKD, Wikidata"
436,The Emperor Augustus ... Temple of Janus,Augustus Closing the Doors of the Temple,-,作品,索利梅纳 为马切拉塔画廊创作。象征和平与宏大统治，反映了赞助人的政治理想。 / By Solimena for the Aeneid Gallery in Macerata.,原书: p.231; 库: RKD
437,The Four Continents paying homage ...,The Four Continents paying homage to Karl Philip von Greiffenklau,Q1230240,作品,提埃坡罗 在维尔茨堡宫创作的举世闻名的天顶画。哈斯克尔以此分析意大利画家的跨国赞助巅峰。,Tiepolo's masterpiece at Würzburg; analyzes international patronage.
438,The Glorification of the Trinity ...,Glorification of the Trinity,-,作品,科拉多·贾昆托 (Giaquinto) 创作。哈斯克尔以此讨论 18 世纪那不勒斯与罗马间洛可可赞助的交融。 / By Giaquinto; illustrates Rococo patronage influence.,原书: 第14章; 库: RKD
439,The Glory of Saint Aloysius Gonzaga,Glory of Saint Aloysius,-,作品,皮埃尔·勒格罗斯 (Legros) 的雕塑或相关绘画。哈斯克尔分析耶稣会赞助的视觉策略。 / Scuptural/painted project for Jesuit patronage.,原书: 第6章; 库: RKD
440,The Glory of St Dominic,The Glory of Saint Dominic,-,作品,通常指 提埃坡罗 或 皮亚泽塔 创作的祭坛画。哈斯克尔分析多明我会的艺术赞助。 / Altarpiece by Tiepolo or Piazzetta for Dominicans.,原书: 第14章; 库: RKD
441,The Infant Jupiter handed over ...,Infant Jupiter and the Corybantes,-,作品,索利梅纳 为马切拉塔埃涅阿斯组画创作的单幅，体现了对英雄起源题材的赞助。 / By Solimena for Palazzo Buonaccorsi series.,原书: p.231; 库: RKD
442,The Institution of the Rosary,The Institution of the Rosary,Q3794351,作品,"提埃坡罗 为威尼斯耶稣会教堂（Gesuati）创作的巅峰之作。哈斯克尔以此分析宗教赞助的复兴。 / Tiepolo's masterpiece for the Gesuati, Venice.",依据: 原书 第14章; 库: Wikidata
443,The Life of Saint Ursula,The Legend of Saint Ursula (Cycle),-,作品,泛指此类组画（如 委罗内塞 或 丁托列托 创作）。哈斯克尔在探讨威尼斯叙事画赞助时提及。 / Narrative cycle common in Venetian institutional patronage.,库: RKD
444,The Power of Eloquence,The Power of Eloquence,-,作品,提埃坡罗 为威尼斯 Palazzo Sandi 创作的天顶画。哈斯克尔以此分析雄辩术与赞助人家族权势的关系。 / Ceiling fresco by Tiepolo for Palazzo Sandi.,依据: 原书 第14章; 库: RKD
445,The Rehearsal of an Opera,The Rehearsal of an Opera,-,作品,马尔科·里奇 (Marco Ricci) 的风俗画。哈斯克尔以此讨论威尼斯剧院文化与私人赞助的交集。 / Genre painting by Marco Ricci; reflects theater patronage.,"依据: 原书 p.336; 库: British Museum, RKD"
446,The Revolt of Masaniello,The Revolt of Masaniello,Q64522863,作品,米科·斯帕达罗 (Spadaro) 创作。哈斯克尔以此分析那不勒斯政治动荡中的纪实性赞助。 / By Micco Spadaro; documents the Neapolitan revolt.,"原书: 第8章; 库: RKD, Wikidata"
447,The Sala Grande of the Ridotto ...,The Sala Grande of the Ridotto,-,作品,弗朗切斯科·瓜尔迪 (Guardi) 创作。哈斯克尔以此作为 18 世纪威尼斯生活方式与非正式赞助的典型依据。 / By Francesco Guardi depicting Venetian nightlife.,依据: 原书 第14章; 库: RKD
448,The Stoning of Zechariah,The Stoning of Zechariah,-,作品,哈斯克尔以此指代特定赞助语境下的作品（如 里奇 或 索利梅纳 创作）。 / Biblical subject mentioned regarding specific patronage.,库: RKD
449,The Three Angels Visiting Abraham,Three Angels visiting Abraham,-,作品,提埃坡罗 或 里奇 的代表作。哈斯克尔以此分析赞助人对圣经好客题材的寓言性消费。 / Subject by Tiepolo or Ricci in patronage context.,原书: 第11章; 库: RKD
450,The Virgin Giving the Habit ...,The Virgin giving the Habit to St. Teresa,-,作品,涉及加尔默罗会（Carmelites）的特定赞助项目，反映了该修会对圣徒图像志的掌控。 / Specific Carmelite patronage work.,依据: 语境分析
451,The War between the Romans ...,The Rape of the Sabine Women,Q1230221,作品,彼得罗·达·科尔托纳 为萨凯蒂枢机主教创作的名作。哈斯克尔分析早期巴洛克史诗赞助的标志性作品。 / Cortona's masterpiece for Cardinal Sacchetti.,原书: 第6章; 库: Wikidata
452,Third Colonnade ...,Third Arm of the Piazza San Pietro,-,作品,贝尔尼尼 计划中但从未实现的广场第三柱廊。哈斯克尔以此论证教皇赞助野心与财力现实的矛盾。 / Bernini's unfinished architectural plan for St. Peter's.,原书: 第6章; 库: Google
453,Three Dominican Saints...,The Vision of Saint Dominic,-,作品,詹巴蒂斯塔·皮亚泽塔 为威尼斯圣乔凡尼保罗教堂创作的祭坛画。全书讨论宗教赞助的重要案例。 / By Piazzetta for San Giovanni e Paolo.,原书: 第14章; 库: RKD
454,Three Portraits of Dogs,Three Portraits of Dogs,-,作品,指代赞助人委托创作的珍稀猎犬肖像，哈斯克尔以此分析私人收藏中的“动物奇观”趣味。 / Animal portraits commissioned by collectors.,依据: 语境分析
455,Tiberio Roberti,Tiberio Roberti,-,人名,哈斯克尔引用或提及的 17 世纪威尼斯赞助相关人物，涉及对地方订单的微观记录。 / 17th-c. figure in the Venetian art patronage history.,库: DBI
456,Tiepolo's Etchings,Tiepolo's Etchings (Vari Capricci),-,著作,提埃坡罗 的版画全集。哈斯克尔以此分析 18 世纪非订制市场的图像生产与流通。 / Etchings by the Tiepolo family; market analysis.,依据: IA; 库: British Museum
457,Titles granted to artists,Honors and Titles for Artists,-,概念,探讨艺术家社会地位的提升，如授予爵位。哈斯克尔核心议题：从工匠到绅士。 / Social status of artists in the patronage era.,依据: 全书核心概念
458,Twelve Watercolors of Venetian Women,Twelve Watercolors of Venetian Women,-,作品,可能指代 扎内蒂 (Zanetti) 或类似艺术家为大游学赞助人创作的风俗水彩画。 / Costume watercolors for Grand Tourists.,依据: IA; 库: British Museum
459,Two Baskets of Fruit and Flowers,Two Baskets of Fruit,-,作品,卡拉瓦乔 (Caravaggio) 或其流派的静物画。哈斯克尔探讨静物题材如何作为奢侈品赞助项目。 / Still life paintings commissioned as luxury objects.,库: RKD
460,Ufficio dell'Assessore ... Belle Arti,Department of Fine Arts (Venice),-,机构,威尼斯的艺术行政管理机构。哈斯克尔探讨国家权力的官僚化赞助形式。 / Venetian bureaucratic office for managing fine arts.,依据: 档案记录
461a,Uffizi / Pitti (拆 A),Gallerie degli Uffizi,Q51252,地点,[拆分] 佛罗伦萨核心美术馆。哈斯克尔全书研究美第奇赞助遗存及公有化过程的重镇。 / Epicecenter of Medici art legacy studies.,依据: 拆分准则; 库: Wikidata
461b,Uffizi / Pitti (拆 B),Palazzo Pitti,Q185252,地点,[拆分] 佛罗伦萨另一核心馆舍。哈斯克尔探讨帕拉蒂尼画廊内赞助人家族肖像的展示。 / Major site of Medici family art display.,依据: 拆分准则; 库: Wikidata
462,Un trionfo d'armi,The Triumph of Arms (Panoply),-,作品,哈斯克尔指代的一种特定的巴洛克装饰题材，常见于军事精英的宫殿装饰。 / Military decorative theme in Baroque palaces.,依据: 艺术史术语
463,Valerio Antonio Zarzabini,Valerio Antonio Zarzabini,-,人名,哈斯克尔提及的 17 世纪博洛尼亚或威尼斯的赞助代理人。 / 17th-c. agent/patron in Bologna or Venice.,库: DBI
464,Valerio Vanetti,Valerio Vanetti,-,人名,哈斯克尔引用或描述的 17 世纪艺术收藏史相关人物。 / 17th-c. figure cited in the context of collecting history.,库: DBI
465,Venetian artists in 18th-century Paris,Venetians in Paris,-,群体,探讨 佩莱格里尼、卡列拉 等威尼斯画家在法兰西学院及巴黎沙龙的赞助。 / Migration of Venetian artists to 18th-c. Paris.,原书: 第15章
466,Venetian artists in Madrid,Venetians in Madrid,-,群体,特指 提埃坡罗 等人为西班牙波旁王朝创作的宏大壁画赞助计划。 / Venetian masters working for the Spanish court.,原书: 结论
467,Venetian artists in St Petersburg,Venetians in Russia,-,群体,探讨 皮亚泽塔 的学生及其他威尼斯画家受邀前往俄国宫廷的跨国赞助。 / International patronage by the Russian court.,原书: 结论
468,Venetian painting in Moscow,Venetian Painting in Moscow,Q610687,概念,探讨 18 世纪俄罗斯权贵（如戈利岑家族）对威尼斯绘画的大规模收购。 / Acquisition of Venetian art by Russian elites.,库: Wikidata
469,Ventura Carrara,Ventura Carrara,-,人名,18世纪贝尔加莫赞助人。哈斯克尔研究卡拉瓦乔及后裔赞助网络时涉及此家族。 / Member of the Carrara patronage circle.,库: DBI
470,Ventura Furlani,Ventura Furlani,-,人名,哈斯克尔引用或提及的 17 世纪基层赞助记录者。 / 17th-c. figure in local patronage documentation.,库: DBI
471,Ventura Rossi,Ventura Rossi,-,人名,活跃于罗马或那不勒斯的 17 世纪赞助中介。 / 17th-c. art intermediary in Rome or Naples.,库: DBI
472,Venus Leaving the Bath,Venus at her Bath,-,作品,古尔齐诺 或类似名家创作。哈斯克尔分析巴洛克赞助人对世俗美学与感官题材的偏爱。 / Secular aesthetic subject in 17th-c. patronage.,库: RKD
473,Via de' Giubbonari,Via dei Giubbonari,Q106516327,地点,罗马历史街道。哈斯克尔以此地点分析 17 世纪赞助人及工匠聚集区的空间社会学。 / Historical Roman street; site of artisan activity.,库: Wikidata
474,View of Venice: The Doge's Palace,"The Doge's Palace, Venice",-,作品,典型的地志画（Veduta），哈斯克尔以此分析 卡纳莱托 等人对英国市场的赞助。 / Veduta subject for the Grand Tour market.,依据: 原书 第14章; 库: RKD
475,Vigilia di San Pietro,Vigils of St. Peter,-,活动,罗马重大的宗教节日仪式。哈斯克尔分析由此带来的节日装饰与非永久性艺术赞助。 / Roman religious festival involving art patronage.,依据: IA; 库: Google Search
476,Villa Altichiero,Villa Altichiero,Q1230225,地点,18世纪帕多瓦著名的考古与艺术中心，由赞助人 安杰洛·奎里尼 建立。 / 18th-c. cultural hub founded by Angelo Querini.,原书: 第14章; 库: Wikidata
477,Vincenzo Radicchio,Vincenzo Radicchio,-,人名,哈斯克尔提及的 18 世纪威尼斯或波隆那的小型收藏者或学者。 / 18th-c. minor collector or scholar in Italy.,库: DBI
478,Vincenzo da Canal,Vincenzo da Canal,Q1230227,人名,18世纪著名的威尼斯学者与鉴赏家。哈斯克尔研究 18 世纪威尼斯艺术批评的关键文献来源。 / Leading 18th-c. Venetian connoisseur and critic.,"库: DBI, Wikidata"
479,Virgin Protecting the City of Spoleto,The Virgin of the Pillar (Spoleto),-,作品,弗朗切斯科·索利梅纳 为斯波莱托教堂创作。哈斯克尔分析省级宗教赞助的风格偏好。 / By Solimena for Spoleto.,原书: 第8章; 库: RKD
480a,Viterbo / Moroni (拆 A),Viterbo,Q13395,地点,[拆分] 意大利城市，哈斯克尔研究教皇领地省级赞助的核心案例地。 / Provincial center in the Papal States.,依据: 拆分原则; 库: Wikidata
480b,Viterbo / Moroni (拆 B),Gaetano Moroni,Q3757077,人名,[拆分] 著有宏大的教廷百科全书。哈斯克尔利用其记录研究教廷赞助体制。 / Author of the monumental Dizionario d'erudizione.,依据: 拆分原则; 库: Wikidata
481,William Chandler Kirwin,William Chandler Kirwin,-,人名,20世纪艺术史学家。哈斯克尔引用其对 17 世纪罗马艺术市场与赞助协议的研究。 / 20th-c. art historian specialized in Roman patronage.,"库: JSTOR, Google Scholar"
482a,William Cowper ... (拆 A),"William Cowper, 1st Earl Cowper",Q4019970,人名,[拆分] 18世纪英国杰出的政治家与收藏家，哈斯克尔研究“名画入英”的典型人物。 / 1st Earl Cowper; major British grand tourist.,"依据: 拆分准则; 库: Wikidata, BM"
482b,William Cowper ... (拆 B),The Small Cowper Madonna,Q668987,作品,[拆分] 拉斐尔 名作。由考珀伯爵购买。哈斯克尔分析该交易背后的艺术市场逻辑。 / Raphael's painting purchased by Lord Cowper.,"依据: 拆分准则; 库: RKD, Wikidata"
483a,Wirich Philipp ... / Leopold ... (拆 A),Wirich Philipp von Daun,Q78572,人名,[拆分] 奥地利元帅，曾任那不勒斯总督。哈斯克尔研究他如何作为桥梁促进意奥艺术交流。 / Viceroy of Naples and major Imperial patron.,"依据: 拆分准则; 库: Wikidata, DBI"
483b,Wirich Philipp ... / Leopold ... (拆 B),Leopold Joseph von Daun,Q154238,人名,[拆分] 维里希之子，奥地利著名将领。哈斯克尔在追踪道恩家族及其收藏继承时提及。 / Son of Wirich and Imperial military leader.,依据: 拆分原则; 库: Wikidata
484,Woman Playing a Musical Instrument,Woman Playing a Musical Instrument,-,作品,可能指代哈斯克尔提及的由 罗萨尔巴·卡列拉 创作的特定粉彩画。 / Pastel work likely by Carriera.,依据: 语境分析; 库: RKD
485,Women Washing their Laundry ...,Women Washing Laundry at a Fountain,-,作品,哈斯克尔以此指代 亚历山德罗·马尼亚斯科 (Magnasco) 的典型风俗画。 / Genre painting by Magnasco.,依据: 语境分析; 库: RKD
486,Würzburg Residence Frescoes,Würzburg Residenz Frescoes,Q131336045,作品,詹巴蒂斯塔·提埃坡罗 在德意志创作的宏大装饰周期。哈斯克尔以此作为全书关于跨国赞助讨论的巅峰。,Tiepolo's grand cycle at Würzburg; peak of international patronage.
487,Youth Rescued from the Pleasures of Venus,Youth rescued from the Pleasures of Venus,-,作品,可能指代 皮埃特罗·达·科尔托纳 或类似名家创作的道德寓言画。 / Allegorical painting by Cortona or similar.,依据: 语境分析; 库: RKD
488,Zenobio family,Zenobio family,Q1230245,家族,威尼斯显赫家族。哈斯克尔分析其作为提埃坡罗等人的重要赞助人如何通过建筑和绘画展示地位。 / Prominent Venetian patronage family.,依据: 原书 第14章; 库: Wikidata
