Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,and Count of Monterey,,171
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,frescoes in Naples cathedral,,171
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,Hunt of Diana,,27
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,payments,,13
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,tribune of S. Andrea della Valle,,72
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,work in S. Carlo ai Catinari,,76n
Dominicans,E74 Group,Venice,,,,,"270, 271, 272"
"Dominici, Bernardo de",E21 Person,,,,,,207
"Doni, Giovanni Battista",E21 Person,,,,,,"133, 134"
"Dorigny, Louis",E21 Person,,Paris/Verona,法国画家，活跃于意大利,,,"201, 250, 251, 268, 270"
"Dorigny, Louis",E21 Person,,Paris/Verona,法国画家，活跃于意大利,work for Manin,,268
"Douglas, Hamilton, Marquis of",E21 Person,,,,,,375n
Dresden,E53 Place,,Dresden,萨克森首府，重要艺术中心,,,"294, 295"
"Dubois, Ambrose",E21 Person,,,,,,173
"Dughet, Gaspard (Gaspard Poussin)",E21 Person,,,,,,"12, 67, 113, 137, 143, 155"
"Dughet, Jean",E21 Person,,,,,,57n
"Dupuy, Christophe",E21 Person,,,,,,108
"Duquesnoy, François",E21 Person,,Rome,活跃于罗马的佛兰芒雕塑家,,,"36, 104, 176, 179"
"Durazzo, Marchese Girolamo",E22 Man-Made Object,,,,,,213
"Dürer, Albrecht",E21 Person,,,,,,"98, 211"
Dusseldorf,E53 Place,,Dusseldorf,德国城市，选帝侯驻地,,,"281, 282, 283, 284"
Dutch artists,E74 Group,Rome,Rome,活跃于罗马的荷兰艺术家群体 (Bentvueghels),,,20
"Duyvelant, Jacques",E21 Person,,,,,,206
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,,,"48, 49, 64, 84, 91, 177, 222, 262, 279, 283, 398"
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,Crucifixion,,49
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,paintings of St Ignatius and St Francis Xavier,,64
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,portrait of Cardinal Bentivoglio,,49
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,St Sebastian,,206
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,Susanna and the Elders,,206
"Dyck, Sir Anthony Van",E21 Person,,London/Antwerp,佛兰芒肖像大师,triple portrait of Charles I,,"37, 179"
