Refined_Formal_Name,Original_Entry,Refined_Category,Status/Notes
Adolfo Venturi,Adolfo Venturi,Person,[Validation] 艺术史学家。
Adolph S. Cavallo,Adolf Salvatore Cavallo,Person,[Full Name] 纺织品策展人/学者。
Adonis,Adonis,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。
Adoration of the Magi,Adoration of the Magi,Work,[Validation] 绘画题材。
Adriaen van der Werff,"Adriaen van der Werff | Werff, Adrian van der",Person,[Validation] 荷兰画家。 | 荷兰画家。
Adriatic Sea,Adriatic Sea,Place,[Validation] 地名。
Adrien Maurice de Noailles,"Noailles, Mar谷chal de",Person,"[OCR Fix] ""Mar谷chal"" -> ""Maréchal""。诺瓦耶公爵/元帅。"
Aedes Barberina ad Quirinalem,Aedes Barberina ad Quirinalem,Work,[Validation] Girolamo Teti 的书名。
Aeneas,Aeneas,Person (Myth),[Validation] 神话人物。
Aeneid,Aeneid,Work,[Validation] 维吉尔史诗。
Agamemnon,Agamemnon,Person (Myth),[Validation] 神话人物。
Agnolo Galli,Agnolo Galli,Person,[Validation] 罗马官员/赞助人。
Agony in the Garden,Christ on the Mount of Olives,Work,[Validation] 绘画主题。
Agostino Barelli,Agostino Barelli,Person,[Validation] 巴洛克建筑师。
Agostino Chigi,"Agostino Andrea Chigi | Chigi, Agostino 'il Magnifico'",Person,[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。
Agostino Chigi (Prince of Farnese),"Chigi, Agostino (nephew to Alexander VII)",Person,[Reconstruction] 亲王。
Agostino Ciampelli,Agostino Ciampelli,Person,[Validation] 画家。
Agostino Mascardi,Agostino Mascardi,Person,[Validation] 历史学家/修辞学家。
Agostino Masucci,Agostino Masucci,Person,[Validation] 画家。
Agostino Mitelli,Agostino Mitelli,Person,[Validation] 画家 (Quadraturista)。
Agostino Sagredo,Agostino Sagredo,Person,[Validation] 威尼斯参议员/收藏家。
Agostino Tassi,Agostino Tassi,Person,[Validation] 画家。
Albergo del Moretto,Albergo del Moretto,Place,[Validation] 地点（旅馆）。
Albert Charles Sewter,A. C. Sewter,Person,[Full Name] 20世纪艺术史学家。
Albert Ilg,Albert Ilg,Person,[Validation] 艺术史学家。
Alberto Cametti,Alberto Cametti,Person,[Validation] 音乐学家。
Alberto Vecchi,Alberto Vecchi,Person,[Validation] 学者。
Albrecht Dürer,Albrecht Dürer,Person,[Validation] 丢勒。
Aldo De Rinaldis,Aldo De Rinaldis,Person,[Validation] 艺术史学家。
Aldo Ravà,Aldo Ravà,Person,[Validation] 威尼斯研究学者。
Alessandro Albani,Alessandro Albani,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。
Alessandro Algardi,Alessandro Algardi,Person,[Validation] 雕塑家。
Alessandro Baudi di Vesme,Alessandro Baudi di Vesme,Person,[Validation] 艺术史学家。
Alessandro Bettagno,Alessandro Bettagno,Person,[Validation] 艺术史学家。
Alessandro Borgia,Alessandro Borgia,Person,[Validation] 亚历山德罗·波吉亚。
Alessandro Farnese (Cardinal),"Alessandro Farnese (cardinal) | Farnese, Cardinal Alessandro",Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。
Alessandro Farnese (Duke of Parma),"Alessandro Farnese, Duke of Parma",Person,[Validation] 帕尔马公爵。
Alessandro Galilei,Alessandro Galilei,Person,[Validation] 建筑师。
Alessandro Gherardini,Alessandro Gherardini,Person,[Validation] 画家。
Alessandro Longhi,Alessandro Longhi,Person,[Validation] 威尼斯肖像画家。
Alessandro Luzio,Alessandro Luzio,Person,[Validation] 历史学家。
Alessandro Magnasco,Alessandro Magnasco,Person,[Validation] 画家。
Alessandro Marabottini,Alessandro Marabottini,Person,[Validation] 艺术史学家。
Alessandro Marchesini,"Alessandro Marchesini | Marchesini, Alessandro",Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。
Alessandro Orsini,Alessandro Orsini,Person,[Validation] 亚历山德罗·奥尔西尼枢机。
Alessandro Peretti di Montalto,"Alessandro Peretti di Montalto | Peretti-Montalto, Cardinal Alessandro",Person,[Validation] 枢机主教。 | 红衣主教蒙塔尔托。
Alessandro Saluzzi,"Saluzzi, Alessandro",Person,
Alessandro Scarlatti,Alessandro Scarlatti,Person,[Validation] 作曲家。
Alessandro Sforza,Alessandro Sforza,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。
Alessandro Turchi,Alessandro Turchi,Person,[Validation] 画家 (l'Orbetto)。
Alessandro Varotari,"Varotari, Alessandro ('il Padovanino')",Person,别名 Padovanino。
Alessandro Varotari (Padovanino),Alessandro Varotari,Person,[Disambiguation] 帕多瓦尼诺。
Alessandro Vassalli,"Alessandro Vasalli | Vassalli, Alessandro",Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。"
Alessandro Vittrice,"Vittrice, Alessandro",Person,罗马贵族，卡拉瓦乔《入葬》的赞助人。
Alessandro Vittrici,Alessandro Vittrici,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。
Alessandro Zen,"Alessandro Zen | Zen, Procurator Alessandro",Person,[Validation] 威尼斯贵族。 | 威尼斯检察官。
Alessandro de' Medici (Duke of Florence),Alessandro de' Medici,Person,[Disambiguation] 佛罗伦萨公爵。
"Alexander Hamilton, 10th Duke of Hamilton","Alexander Hamilton, 10th Duke of Hamilton",Person,[Full Name] 著名收藏家。
Alexander III (Pope),Alexander III,Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。
Alexander Sauli,Alexander Sauli,Person,[Validation] 圣徒 (St. Alexander Sauli)。
Alexander VII,"Chigi, Fabio (Pope Alexander VII) | Pope Alexander VII",Person,[Disambiguation] 教皇亚历山大七世。
Alexander VIII,"Ottoboni, Pietro (Pope Alexander VIII) | Pope Alexander VIII",Person,教皇亚历山大八世。
Alexander the Great,Alexander the Great,Person,[Validation] 历史人物。
Alfonso E. Pérez Sánchez,Alfonso Pérez Sánchez,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。
Alfonso Gesualdo,"Alfonso Gesualdo | Gesualdo, Cardinal",Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Alfonso I d'Este,Alfonso I d'Este,Person,[Validation] 费拉拉公爵。
Alfred Sensier,Alfred Sensier,Person,[Validation] 艺术评论家/传记作家。
Alfredo Bardella,Alfredo Bardella,Person,[Validation] 人物。
Alice Binion,Alice Binion,Person,[Validation] 艺术史学家 (威尼斯画派专家)。
Allan Hume,Allan Hume,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。
Allegory of Clemency,Allegory of Clemency,Work,[Validation] 寓意画主题。
Allegory of Coral fishing,Allegory of Coral fishing,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。
Allegory of Divine Providence and Barberini Power,Allegory of Divine Providence and Barberini Power | Frescoes in Palazzo Barberini Salone,Work,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。
Allegory of Divine Wisdom,Allegory of Divine Wisdom,Work,[Validation] 安德烈亚·萨基壁画。
Allegory of Fortune,Allegory of Fortune,Work,[Validation] 寓意画主题。
Allegory of Rome,Allegory of Rome,Work,[Validation] 寓意画主题。
Allegory of Venice,Allegory of Venice,Work,[Validation] 寓意画主题。
Allegory of the Arts,Allegory of the Arts,Work,[Validation] 寓意画主题。
Allegory of the Education of the Crown Prince,Allegory of the Education of the Crown Prince of the Palatinate,Work,[Validation] 寓意画主题。
Almorò Albrizzi,"Albrizzi, Almor¨°",Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。"
Almorò Pisani,"Pisani, Almor辰",Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。"
Aloys Thomas Raimund von Harrach,"Harrach, Count",Person,[Disambiguation]那不勒斯总督/收藏家。
Aloysius Gonzaga,Aloysius Gonzaga,Person,[Validation] 圣路易吉·公撒格。
Alps,Alps,Place,[Validation] 地名。
Altar Paintings (San Canciano),Altar Paintings for the Parish Church of San Canciano,Work,[Validation] 祭坛画组。
Altar of Friendship,Altar of Friendship,Work,[Validation] 纪念碑/画作主题。
Altar of Tranquility and Rural Life,Altar of Tranquility and Rural Life,Work,[Validation] 纪念碑/画作主题。
Altar of Wealth and Apollo,Altar of Wealth and Apollo,Work,[Validation] 纪念碑/画作主题。
Altarpiece for Chiesa Nuova,Altarpiece for Chiesa Nuova,Work,[Validation] 祭坛画（可能是鲁本斯）。
Altarpiece for Santa Maria dei Cappuccini,Altarpiece for Santa Maria dei Cappuccini,Work,[Validation] 祭坛画。
Altarpiece for St. Sebastian,Altarpiece for St. Sebastian,Work,[Validation] 祭坛画。
Altarpiece for the Augustinian Church,Altarpiece for the Augustinian Church,Work,[Validation] 祭坛画。
Altarpieces for the Royal Chapel,Altarpieces for the Royal Chapel,Work,[Validation] 祭坛画组。
Alte Pinakothek,Alte Pinakothek,Place,[Validation] 慕尼黑老绘画陈列馆。
Altero Matteoli,Altero Matteoli,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。
Altieri (Family),Altieri,Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。
Alvise Mocenigo,"Alvise Mocenigo | Mocenigo, Doge Alvise",Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。
Alvise Pisani,Alvise Pisani,Person,[Validation] 威尼斯总督/贵族。
Amadeo Svajer,Amadeo Swajer,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。
Amalfi,Amalfi,Place,[Validation] 地名。
Amalia Mezzetti,Amalia Mezzetti,Person,[Validation] 艺术史学家。
Ambrogio Mazenta,"Mazenta, Ambrogio",Person,17世纪巴尔纳比特修士/建筑师。
Ambroise Dubois,"Ambroise Dubois | Dubois, Ambrose",Person,[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。
Amico Ricci,Amico Ricci,Person,[Validation] 艺术史学家。
Amor Vincit Omnia,Amor Vincit Omnia,Work,[Validation] 卡拉瓦乔画作。
Amsterdam,Amsterdam,Place,[Validation] 地名。
Anatole de Montaiglon,Anatole de Montaiglon,Person,[Validation] 艺术史学家。
Andrea Brustolon,Andrea Brustolon,Person,[Validation] 威尼斯雕塑家。
Andrea Camassei,Andrea Camassei,Person,[Validation] 巴洛克画家。
Andrea Carlone,Andrea Carlone,Person,[Validation] 热那亚画家。
Andrea Celesti,Andrea Celesti,Person,[Validation] 威尼斯画家。
Andrea Doria,Andrea Doria,Person,[Validation] 热那亚海军上将。
Andrea Ferreri,"Andrea Ferreri | Ferrerio, Andrea",Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。"
Andrea Gerini,"Andrea Gerini | Gerini, Marchese Andrea",Person,[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。 | [Validation] 佛罗伦萨贵族/收藏家。
Andrea Giacomo Podestà,Andrea Giacomo Podestà,Person,[Validation] 画家/版画家。
Andrea Giustiniani,"Giustiniani, Andrea",Person,[Validation] 贵族 (Prince of Bassano)。
Andrea Locatelli,Andrea Locatelli,Person,[Validation] 罗马风景画家。
Andrea Mantegna,Andrea Mantegna,Person,[Validation] 文艺复兴画家。
Andrea Memmo,Andrea Memmo,Person,[Validation] 威尼斯政治家/作家。
Andrea Ottini,Andrea Ottini,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。"
Andrea Palladio,Andrea Palladio,Person,[Validation] 建筑师。
Andrea Podestà,"Podest角, Andrea",Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。"
Andrea Pozzo,Andrea Pozzo,Person,[Validation] 耶稣会画家/建筑师。
Andrea Procaccini,Andrea Procaccini,Person,[Validation] 画家。
Andrea Querini,Andrea Querini,Person,[Validation] 威尼斯贵族。
Andrea Sacchi,Andrea Sacchi,Person,[Validation] 罗马巴洛克画家。
Andrea Schiavone,Andrea Schiavone,Person,[Validation] 威尼斯画家。
Andrea Stazio,"Stazio, Andrea",Person,威尼斯灰泥艺术家（Stuccatore）。
Andrea Tessier,Andrea Tessier,Person,[Validation] 19世纪威尼斯档案学家。
Andrea Toresani,Andrea Toresani,Person,[Validation] 人物。
Andrea Torresani,"Torresani, Andrea",Person,威尼斯出版商 (Aldine Press)。
Andrea Tron,Andrea Tron,Person,[Validation] 威尼斯政治家。
Andrea Vaccaro,Andrea Vaccaro,Person,[Validation] 那不勒斯画家。
Andrea Zucchi,Andrea Zucchi,Person,[Validation] 版画家。
Andrea del Rosso,"Andrea del Rosso | Rosso, Andrea del (grandfather...)",Person,[Validation] 佛罗伦萨收藏家。 | 佛罗伦萨收藏家。
Andrea del Sarto,Andrea del Sarto,Person,[Validation] 画家。
Andreas Scherber,Andreas Scherber,Person,[Validation] 人物。
Andreina Griseri,Andreina Griseri,Person,[Validation] 艺术史学家。
Andrew Fountaine,"Andrew Fountaine | Fountaine, Sir Andrew",Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国收藏家。
Andromache weeping before Aeneas,Andromache weeping before Aeneas,Work,[Validation] 画作主题。
André Félibien,André Félibien,Person,[Validation] 法国宫廷史官/艺术理论家。
Andrés Marzo,Andrés Marzo,Person,[Validation] 西班牙巴洛克画家。
Angel with the Superscription,Angel with the Superscription,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。
Angelica Grill,"Grill, Angelica",Person,[Validation] 人物。
Angelica Griè,Angelica Griè,Person,[Check Original] 疑似 OCR 错误或极生僻人名。
Angelo Borzelli,Angelo Borzelli,Person,[Validation] 历史学家/文学评论家。
Angelo Calogerà,Angelo Calogerà,Person,[Validation] 本笃会修士/作家。
Angelo Caroselli,Angelo Caroselli,Person,[Validation] 罗马画家。
Angelo Cesi,Angelo Cesi,Person,[Validation] 主教 (Todi)。
Angelo Contarini,Angelo Contarini,Person,[Validation] 威尼斯贵族。
Angelo Crespi,Angelo Crespi,Person,[Validation] 人物。
Angelo Giori,Angelo Giori,Person,[Validation] 枢机主教 (贝尼尼赞助人)。
Angelo Maria Querini,Angelo Maria Querini,Person,[Validation] 枢机主教/学者。
Angelo Michele Colonna,Angelo Michele Colonna,Person,[Validation] 夸德拉图拉画家。
Angelo Pinetti,Angelo Pinetti,Person,[Validation] 艺术史学家。
Angelo Querini,Angelo Querini,Person,[Validation] 威尼斯贵族。
Angelo Solerti,Angelo Solerti,Person,[Validation] 音乐史学家/文学评论家。
Angelo Trevisani,Angelo Trevisani,Person,[Validation] 威尼斯画家。
Angels carrying the Instruments of the Passion,Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,Work,[Validation] 绘画主题。
Anglesey Abbey,"Anglesey Abbey, Gardens and Lode Mill",Place,[Validation] 地名（英国庄园）。
Aniello Falcone,Aniello Falcone,Person,[Validation] 那不勒斯画家。
Animals and Figures in the Flemish Style,Animals and Figures in the Flemish Style,Work,[Validation] 画作描述/标题 (Castiglione风格)。
Ann Sutherland Harris,Ann Sutherland Harris,Person,[Validation] 艺术史学家。
Anna Banti,Anna Banti,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。
Anna Colonna,Anna Colonna,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。
Anna Maria Luisa de' Medici,"Anna Maria Luisa de' Medici | Medici, Anna Maria Ludovica de'...",Person,[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。
Annamaria Gabrielli,Annamaria Gabrielli,Person,[Validation] 学者/档案学家。
Annan Gallery,Annan Gallery,Organization,[Validation] 画廊。
Anne Claude de Caylus,"Caylus, Comte de",Person,[Disambiguation] 凯吕斯伯爵。
Anne Claude de Caylus (Comte de Caylus),Anne Claude de Caylus,Person,[Full Name] 考古学家/收藏家。
Anne Marie d'Orléans,"Savoy, Anne Marie of",Person,(Duchess of Savoy) 维托里奥·阿梅迪奥二世之妻。
Anne of Austria,"Anne d’Autriche | Anne of Austria, Regent of France",Person,[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。
"Anne, Queen of Great Britain","Anne of Great Britain | Anne, Queen of England",Person,[Validation] 安妮女王。
Anne-Marie du Boccage,"Anne-Marie du Boccage | Boccage, Mme de",Person,[Disambiguation] 法国女作家。 | [Validation] 法国作家。
Annibale Albani,"Albani, Cardinal Annibale",Person,[Reconstruction] 名字倒装复原。
Annibale Carracci,Annibale Carracci,Person,[Validation] 博洛尼亚画家。
Annibale Gonzaga,Annibale Gonzaga,Person,[Validation] 曼图亚亲王/将军。
Annibale Laparelli,Annibale Laparelli,Person,[Validation] 建筑师/雕塑家 (16世纪)。
Annunciation,Annunciation,Work,[Validation] 圣母领报（主题）。
Anselmo Costadoni,Anselmo Costadoni,Person,[Validation] 本笃会学者。
Antenor,Antenor,Person (Myth),[Validation] 帕多瓦的建立者。
"Anthony Ashley Cooper, 1st Earl of Shaftesbury","Shaftesbury, 1st Earl of",Person,
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury","Shaftesbury, 3rd Earl of",Person,哲学家，《Characteristicks》作者。
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury","Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Person,[Validation] 政治家/慈善家。
Anthony Blunt,Anthony Blunt,Person,[Validation] 艺术史学家。
Anthony Morris Clark,Anthony Morris Clark,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。
Anthony Radcliffe,Anthony Radcliffe,Person,[Validation] 博物馆策展人 (V&A)。
Anthony van Dyck,Anthony van Dyck,Person,[Validation] 画家。
Anti-papal satire (Alexander VII),Anti-papal satire in reign of Alexander VII,Work/Concept,[Validation] 历史文献/概念。
Antichiesetta (San Marco),Antichiesetta,Place,[Context] 圣马可教堂的前厅部分。
Antichità di Palazzi,Antichita di Palazzi,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。"
Antinous,Antinous,Person,[Validation] 哈德良皇帝的宠臣/神化人物。
Antoine Coypel,Antoine Coypel,Person,[Validation] 法国画家。
Antoine Dumesnil,Antoine Dumesnil,Person,[Validation] 18世纪学者/作家。
Antoine Pesne,Antoine Pesne,Person,[Validation] 法国/普鲁士宫廷画家。
Antoine Seilern,Antoine Seilern,Person,[Validation] 收藏家 (Count Seilern)。
Antoine-Joseph Dezallier d'Argenville,Antoine Joseph,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。
Anton Domenico Gabbiani,Anton Domenico Gabbiani,Person,[Validation] 佛罗伦萨画家。
"Anton Florian, Prince of Liechtenstein",Anton Florian,Person,[Full Name] 列支敦士登亲王。
Anton Francesco Farsetti,Anton Francesco Farsetti,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。
Anton Francesco Goli,Anton Francesco Goli,Person,[Validation] 历史人物。
Anton Maria Zanetti (the Elder),Anton Maria Zanetti,Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。
Anton Maria Zanetti the Elder,"Zanetti, A. M., the Elder",Person,威尼斯鉴赏家/版画家。
Anton Maria Zanetti the Younger,"Zanetti, A. M., the Younger",Person,威尼斯图书馆员/艺术史学家。
Anton Neumayr,Anton Neumayr von Flessen Seilbitz,Person,[Validation] 奥地利艺术评论家。
Anton Raphael Mengs,"Anton Raphael Mengs | Mengs, Anton Rafael",Person,[Validation] 新古典主义画家。 | 德国新古典主义画家。
Antonello da Messina,Antonello da Messina,Person,[Validation] 文艺复兴画家。
Antonia Spadafora,Antonia Spadafora,Person,[Validation] 西西里贵族。
Antonino Bertolotti,Antonino Bertolotti,Person,[Validation] 档案学家 (罗马艺术史资料)。
"Antonino Maresca, Duca di Serracapriola",Maresca di Serracapmula,Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。"
Antonino Santangelo,Antonino Santangelo,Person,[Validation] 艺术史学家。
Antonio Abbondi (Scarpagnino),Antonio Abbondi,Person,[Validation] 建筑师。
Antonio Baldinucci,Anthony Baldinucci,Person,[Disambiguation] 圣安东尼奥·巴尔迪努齐。
Antonio Balestra,Antonio Balestra,Person,[Validation] 维罗纳画家。
Antonio Barbaro,"Barbaro, Antonio",Person,[Reconstruction] 威尼斯贵族/行政官。
Antonio Barberini,Antonio Barberini | Cardinal Antonio Barberini,Person,[Category Fix] 原文误标为 Work。 | [Validation] 枢机主教。
Antonio Barberini (the Elder),"Barberini, Cardinal Antonio (brother to Urban VIII)",Person,[Disambiguation] 老安东尼奥·巴贝里尼 (Capuchin)。
Antonio Barberini (the Younger),"Barberini, Cardinal Antonio (nephew to Urban VIII)",Person,[Disambiguation] 小安东尼奥·巴贝里尼。
Antonio Battistella,Antonio Battistella,Person,[Validation] 历史学家/档案学家。
Antonio Beccari,Antonio Beccari,Person,[Validation] 诗人/文人。
Antonio Bellucci,Antonio Bellucci,Person,[Validation] 威尼斯画家。
Antonio Beni,Antonio Beni,Person,[Validation] 建筑师/工程师。
Antonio Canova,Antonio Canova,Person,[Validation] 新古典主义雕塑家。
Antonio Cappello,Antonio Cappello,Person,[Validation] 威尼斯政治家。
Antonio Corradini,Antonio Corradini,Person,[Validation] 雕塑家 (蒙面纱的基督)。
Antonio Dardani,Antonio Dardani,Person,[Validation] 画家。
Antonio Del Grande,Antonio Del Grande,Person,[Validation] 罗马建筑师。
Antonio Ermolao Paoletti,Antonio Ermolao Paoletti,Person,[Validation] 威尼斯风俗画家。
Antonio Francesco Gori,"Antonio Francesco Gori | Gori, A. F.",Person,[Reconstruction] 佛罗伦萨古物学家 (Museum Florentinum)。 | [Validation] 古物学家 (Museum Florentinum)。
Antonio Franchi,Antonio Franchi,Person,[Validation] 卢卡画家/理论家。
Antonio Gai,Antonio Gai,Person,[Validation] 威尼斯雕塑家。
Antonio Genovesi,Antonio Genovesi,Person,[Validation] 哲学家/经济学家。
Antonio Gherardi,"Gherardi, Antonio",Person,[Reconstruction] 瑞耶蒂/罗马画家/建筑师。
Antonio Giussani,Antonio Giussani,Person,[Validation] 建筑师 (20世纪初修复者，需确认上下文是否指古代同名者)。
Antonio Grimani,Antonio Grimani,Person,[Validation] 威尼斯总督。
Antonio Joli,Antonio Joli,Person,[Validation] 维杜塔画家。
Antonio Lombardo,Antonio Lombardo,Person,[Validation] 雕塑家。
Antonio Longo,Antonio Longo,Person,[Validation] 牧师/画家 (Trentino)。
Antonio Loredan,Antonio Loredan,Person,[Validation] 威尼斯政治家。
Antonio Lorenzini,Antonio Lorenzini,Person,[Validation] 版画家。
Antonio Maria Antoniazzi,"Antonazzi, Antonio Maria | Antonio Maria Antoniazzi",Person,[Reconstruction] 名字倒装复原。 | [Validation] 天文学家/学者。
Antonio Maria Marini,Antonio Maria Marini,Person,[Validation] 风景画家。
Antonio Maria Vassallo,Antonio Maria Vassallo,Person,[Validation] 热那亚画家。
Antonio Maria Visconti,"Visconti, Antonio Maria",Person,米兰贵族。
