原始名称 (CSV),英文正式名称 (Formal Name),实体类型,判断依据与参考数据库,Description_CN,Description_EN,Matched_QID,Matched_Label,Matched_Desc,Match_Score,Match_Method
Altar of Wealth and Apollo,Altar of Wealth,作品,原书 第12章,寓言性装饰，通常出现在分析商业精英赞助动机的章节。,Allegorical decoration regarding commercial elite patronage.,,,,,Failed (Relaxed)
Altarpiece for Chiesa Nuova,Madonna della Vallicella,作品,原书 第3章; RKD,鲁本斯为罗马新教堂创作。哈斯克尔分析国际画家在罗马的竞争。,"Rubens' famous altarpiece for Chiesa Nuova, Rome.",Q3842690,Madonna della Vallicella,painting by Peter Paul Rubens,0.7,Smart Match (Formal Name)
Altarpiece for Santa Maria dei Cappuccini,St. Anthony of Padua,作品,原书 第4章; RKD,古尔齐诺为卡普奇尼教堂创作。探讨方济各会赞助风格。,Altarpiece by Guercino for the Capuchin church.,Q18573062,St. Anthony of Padua,painting by Stefano di Giovanni Sassetta,0.7,Smart Match (Formal Name)
Altarpiece for St. Sebastian,Martyrdom of Saint Sebastian,作品,原书 (Venice); RKD,泛指威尼斯圣塞巴斯蒂安教堂祭坛画（主画由 委罗内塞 创作）。,"Altarpiece in San Sebastiano, Venice, by Veronese.",Q65508996,martyrdom of Saint Sebastian,event and artistic theme,0.7,Smart Match (Formal Name)
Altarpiece for the Augustinian Church,Saint Nicholas of Tolentino,作品,原书 第5章; RKD,哈斯克尔提及的奥斯定会赞助作品，多由 科尔托纳 创作。,"Specific Augustinian patronage work, likely by Cortona.",Q56558993,Saint Nicholas of Tolentino,painting by Giovanni Battista Moroni,0.7,Smart Match (Formal Name)
Altarpieces for the Royal Chapel,Royal Chapel Altarpieces,作品,原书 (Court Patronage),"指代都灵或那不勒斯皇家礼拜堂的组画。/ Refers to works in Royal Chapels (e.g., Turin",Naples).,,,,,Failed (Relaxed)
Ambrogio Mazenta,Ambrogio Mazenta,人名,DBI; Wikidata,17世纪意大利建筑师与评论家，曾获得达芬奇手稿。,17th-c. architect and critic linked to Leonardo's MSS.,,,,,Failed (Relaxed)
Andromache weeping before Aeneas,Andromache weeping before Aeneas,作品,RKD; Google,达尔·索莱（Dal Sole）为马切拉塔埃涅阿斯组画创作的单幅。,By Gian Gioseffo Dal Sole for Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Angels carrying the Instruments of the Passion,Angels with the Instruments of the Passion,作品,原书 第6章; Wikidata,贝尔尼尼为圣安杰洛桥设计。教皇克雷芒九世的宏大赞助工程。,Bernini's angels for Ponte Sant'Angelo.,Q20567586,Angels with the Instruments of the Passion,"painting by Unidentified artist, Flemish, first half 16th century (MFA, 42.282b)",0.8,Smart Match (Formal Name)
Annamaria Gabrielli,Anna Maria Gabrielli,人名,DBI; Google,17世纪罗马著名赞助人。,Prominent 17th-c. Roman noblewoman and patron.,,,,,Failed (Relaxed)
Annan Gallery,Annan Gallery,机构,BM (Galleries),19世纪格拉斯哥画廊，哈斯克尔研究意大利绘画流向英国时提及。,19th-c. Glasgow gallery cited for art movement.,,,,,Failed (Relaxed)
Annibale Laparelli,Annibale Laparelli,人名,原书 第4章; DBI,17世纪收藏代理人。哈斯克尔通过其账簿进行微观史学研究。,17th-c. agent; cited for his ledger evidence.,,,,,Failed (Relaxed)
Anti-papal satire (Alexander VII),Anti-papal Satire,著作/概念,原书 第6章; BNF,针对亚历山大七世的讽刺画，展现了官方赞助外的敌意倾向。,Satirical prints against Pope Alexander VII.,,,,,Failed (Relaxed)
Antichiesetta (San Marco),Antichiesetta of the Palazzo Ducale,地点,原书 p.260,威尼斯总督府内，分析提齐安诺等人的非公共赞助。,The vestibule in the Doge's Palace near San Marco.,,,,,Failed (Relaxed)
Antichità di Palazzi,Le antichità di palazzi di Roma,著作,原书 p.159; IA,G.B. Falda 等人出版的罗马宫殿版画集。,Print series on Roman palaces by Falda or Rossi.,,,,,Failed (Relaxed)
Anton Francesco Farsetti,Anton Francesco Farsetti,人名,原书 第14章; DBI,威尼斯显赫赞助人，建立了著名的法尔塞蒂收藏。,Prominent Venetian patron (1705-1791).,,,,,Failed (Relaxed)
Antonino Maresca ... Serracapriola,Antonino Maresca,人名,原书 p.372; DBI,那不勒斯外交官，在卡诺瓦早期赞助中扮演关键角色。,Neapolitan diplomat and patron of Canova.,Q2857159,Antonino Maresca,,0.7,Smart Match (Formal Name)
Antonio Maria Visconti,Antonio Maria Visconti,人名,原书 p.124; DBI,17世纪贵族赞助人，哈斯克尔引用其档案揭示赞助社交网。,17th-c. noble patron; cited for patronage networks.,,,,,Failed (Relaxed)
Antonio degli Effetti,Antonio degli Effetti,人名,原书 p.124; Google,17世纪罗马博学者，其《画室研究》是核心参考文献。,17th-c. Roman scholar; author of Studiolo di pittura.,,,,,Failed (Relaxed)
Apollo ... Frederick Barbarossa's bride,The Marriage of Frederick Barbarossa,作品,原书 第14章; RKD,提埃坡罗在维尔茨堡宫的壁画杰作。,Fresco by Giambattista Tiepolo at Würzburg Residenz.,Q26706747,The Marriage of Frederick Barbarossa,painting by Giovanni Domenico Tiepolo,0.8,Smart Match (Formal Name)
Apotheosis of the Pisani Family,Apotheosis of the Pisani Family,作品,原书 第14章; Wikidata,提埃坡罗为斯特拉皮萨尼别墅创作的巨幅天顶画。,"Ceiling fresco by Tiepolo at Villa Pisani, Stra.",,,,,Failed (Relaxed)
Archbishop of Tarsus,Giulio Rospigliosi (Clement IX),人名,原书 第6章; DBI,即后来的教皇克雷芒九世，普桑和贝尔尼尼的关键赞助人。,Later Pope Clement IX; key patron of Poussin and Bernini.,Q155961,Clement IX,"pope from 1667, lived 1600-1669",0.4439024390243902,Relaxed Match (Name without Parens)
Archivio Comunale di Treviso,Archivio Comunale di Treviso,机构,原书 参考文献,哈斯克尔引用其文书考证威尼斯属地的订单细节。,Cited for documenting art commissions in Treviso.,,,,,Failed (Relaxed)
Archivio Mediceo del Principato,Archivio Mediceo del Principato,机构,原书 参考文献; Google,佛罗伦萨档案馆中美第奇家族的核心外交与艺术文书。,The core Medici archive section in Florence.,,,,,Failed (Relaxed)
Archivio del Governatorato di Roma,Archivio del Governatorato di Roma,机构,原书 参考文献,哈斯克尔研究罗马城市管理与赞助法规的重要来源。,Archive regarding Roman urban governance and patronage.,,,,,Failed (Relaxed)
Archivio della Compagnia di Gesù,Archivium Romanum Societatis Iesu,机构,原书 参考文献; Google,耶酥会档案馆，研究耶稣教堂装饰的核心库。,"The Jesuit archives (ARSI), central to studying the Gesù.",,,,,Failed (Relaxed)
Archivio di Stato di Venezia (Notarile),Archivio di Stato di Venezia,机构,原书 参考文献,哈斯克尔考证威尼斯赞助人遗嘱与合同的核心地。,Venice State Archives; cited for wills and contracts.,Q2324776,State Archives of Venice,state archive in Italy,0.4307692307692308,Relaxed Match (Formal Name)
Archivio di Stato di Venezia (Stampe),Archivio di Stato di Venezia (Stampe),机构,原书 参考文献,哈斯克尔研究威尼斯版画赞助与流向的特定档案。,Section for prints in the Venice State Archives.,Q2324776,State Archives of Venice,state archive in Italy,0.3967213114754098,Relaxed Match (Name without Parens)
Ariadne being woken by Love,Bacchus and Ariadne,作品,原书 p.265; RKD,塞巴斯蒂亚诺·里奇为契斯里内利家族创作。,Work by Sebastiano Ricci for the Chislinelli family.,Q1206860,Bacchus and Ariadne,painting by Titian,0.7,Smart Match (Formal Name)
Art patronage in 17th-century Munich,Art patronage in Munich,概念,原书 结论,探讨巴伐利亚宫廷对意大利艺术模式的借鉴与竞争。,Discusses Munich court patronage vs. Italian models.,,,,,Failed (Relaxed)
Arte dei Salumieri,Arte dei Salumieri (Guild),机构,原书 第11章; Google,威尼斯猪肉商行会，展示了非精英阶层的赞助模式。,Venetian butchers' guild; shows non-elite patronage.,,,,,Failed (Relaxed)
Artist's position in society (Concept),Artist's position in society,概念,原书 序言/结论,全书探讨的核心主题：艺术家从技工向知识分子的转变。,Core theme: transition from artisan to intellectual.,,,,,Failed (Relaxed)
Arts Graphiques de la Cité (AGRACI),AGRACI,机构,BNF; Google,哈斯克尔引用或使用的法国影像机构，用于巴洛克图像研究。,French photo agency used for Baroque research.,Q16237132,Agracio,Wikimedia disambiguation page,0.4615384615384615,Smart Match (Formal Name)
Augustinian Monastery Altarpiece,Augustinian Monastery Altarpiece,作品,原书 第5章,泛指圣奥古斯丁教堂祭坛画，常涉及 兰弗兰科 创作。,"Refers to altarpieces for Augustinians (e.g., by Lanfranco).",,,,,Failed (Relaxed)
Aurelio Rezzonico,Aurelio Rezzonico,人名,原书 第14章; DBI,克雷芒十三世的兄弟，研究雷佐尼科家族在罗马的权势。,Brother of Clement XIII; key to Rezzonico power.,,,,,Failed (Relaxed)
Baglioni Collection,Baglioni Collection (Venice),机构,原书 p.336; Getty,18世纪威尼斯著名私人收藏，体现了中产阶级的崛起。,Famous 18th-c. Venetian private collection.,,,,,Failed (Relaxed)
Barberini Chapel (Sant'Andrea),Cappella Barberini,地点,原书 第6章; Google,位于圣安德烈圣殿，乌尔班八世早期赞助的起点。,Barberini chapel in Sant'Andrea della Valle.,,,,,Failed (Relaxed)
Barberini Library,Biblioteca Barberina,机构,原书 第6章; Wikidata,17世纪罗马知识生活中心，文化赞助策源地。,Epicenter of Roman intellectual and cultural patronage.,,,,,Failed (Relaxed)
Basilica of Santa Sabina,Basilica of Santa Sabina,地点,原书 p.124; Wikidata,罗马巴西利卡，涉及巴洛克改造中的赞助政治。,Roman Basilica; discussed regarding Baroque remodeling.,,,,,Failed (Relaxed)
Batteria di Cucina,Still Life with Kitchen Utensils,作品,原书 p.336; BM,[定性] 多梅尼科·马焦托为杰里尼侯爵创作的写实静物。,Still life by Domenico Maggiotto for Marchese Gerini.,Q104537262,Still life with kitchen utensils,painting by Jean-Baptiste-Siméon Chardin,0.8999999999999999,Smart Match (Formal Name)
Beggar holding a Rosary,The Old Beggar with a Rosary,作品,原书 第11章; RKD,吉亚科莫·切鲁蒂作品，体现伦巴第写实主义赞助。,"By Giacomo Ceruti, reflects Lombard realism patronage.",,,,,Failed (Relaxed)
Bell Towers for St. Peter's Basilica,Bernini's Campanili,作品,原书 第6章; Wikidata,贝尔尼尼设计的被迫拆除的钟楼，分析赞助挫折。,Bernini's dismantled bell towers for St. Peter's.,,,,,Failed (Relaxed)
Bergamasque Community,Bergamasque Community in Venice,群体,原书 第11章,威尼斯境内的贝尔加莫社群，哈斯克尔研究其行会赞助。,The Bergamasque guild and its patronage in Venice.,,,,,Failed (Relaxed)
Bibliothèque de Montpellier,Bibliothèque de Montpellier,机构,Gallica; Wikidata,哈斯克尔在考证法籍赞助人及其收藏史时引用的资源库。,"Library in Montpellier, cited for provenance studies.",,,,,Failed (Relaxed)
Bishop Harold von Hocheim Investiture,Investiture of Bishop Harold,作品,原书 第14章; RKD,提埃坡罗在维尔茨堡宫的壁画。,Fresco by Giambattista Tiepolo at Würzburg Residenz.,,,,,Failed (Relaxed)
Bonfiglioli Collection,Bonfiglioli Collection (Bologna),机构,原书 第10章; Getty,17世纪博洛尼亚重要收藏，是哈斯克尔分析博洛尼亚赞助的核心。,Major 17th-c. Bolognese collection.,,,,,Failed (Relaxed)
Bonisezio Gozzadini,Bonifazio Gozzadini,人名,原书 p.124; DBI,博洛尼亚贵族，哈斯克尔讨论博洛尼亚与罗马赞助博弈时的对象。,Bolognese aristocrat; cited regarding regional patronage.,Q124754142,Bonifazio Gozzadini,,0.7,Smart Match (Formal Name)
Brutus killing Arruns,Brutus and Arruns,作品,原书 p.231; RKD,索利梅纳为 Buonaccorsi 宫创作的单幅，体现英雄主义赞助。,By Solimena for Palazzo Buonaccorsi series.,,,,,Failed (Relaxed)
Bust of Francis Bacon,Francis Bacon,作品,原书 (British); BM,路易·弗朗索瓦·鲁比利阿克（Roubiliac）创作。,Bust of Francis Bacon by L.F. Roubiliac.,Q154340,Francis Bacon,Irish-born British figurative painter (1909–1992),0.8999999999999999,Smart Match (Formal Name)
Bust of Paolo Renier,Paolo Renier,作品,原书 第16章; RKD,安东尼奥·卡诺瓦早期作品，涉及威尼斯末代赞助人。,Bust of Doge Paolo Renier by Antonio Canova.,Q663054,Paolo Renier,"119th, and penultimate, Doge of Venice",1.0,Smart Match (Formal Name)
Bust of Phocion,Phocion,作品,原书 (Neoclassicism),常见于巴洛克至新古典时期的英雄主义肖像订制。,"Bust of Phocion, a common heroic classical subject.",Q121842052,Phocion,male given name,0.7,Smart Match (Formal Name)
Camillo Carandini,Camillo Carandini,人名,DBI; Google,17世纪赞助人或教皇代理，哈斯克尔引用其文献考证订单。,17th-c. agent or patron cited for art commissions.,,,,,Failed (Relaxed)
Campagna / Girolamo Campagna,Roman Campagna,地点,拆分准则; Wikidata,[拆分] 罗马郊野，哈斯克尔分析风景画赞助的核心地。,"The Roman countryside, central to landscape studies.",Q1030086,Roman Campagna,"low-lying area surrounding Rome, Lazio, Italy",0.8,Smart Match (Formal Name)
Campagna / Girolamo Campagna,Girolamo Campagna,人名,拆分准则; Getty,[拆分] 17世纪重要雕塑家，哈斯克尔探讨风格演变的桥梁。/ Important sculptor in late 16th,early 17th c.,Q281653,Girolamo Campagna,Italian artist (1549-1625),0.7,Smart Match (Formal Name)
Capricci Copiosi di Figure,Capricci di varie figure,著作,IA; Wikidata,雅克·卡洛（Jacques Callot）的版画系列，哈斯克尔引用。,"Print series by Jacques Callot, cited by Haskell.",Q123505579,Capricci di varie figure (36) : Un pêcheur assis,,0.5333333333333333,Relaxed Match (Formal Name)
Cardinal Mazarin in His Gallery,Cardinal Mazarin in His Gallery,作品,原书 (Mazarin); RKD,德拉罗什（Delaroche）作品。哈斯克尔以此探讨马扎然的赞助。,Paul Delaroche's painting of Mazarin's collection.,,,,,Failed (Relaxed)
Caricature of Cassiano dal Pozzo,Caricature of Cassiano dal Pozzo,作品,原书 p.124; Google,可能由 皮埃特罗·达·科尔托纳 创作。展现了鉴赏家的非正式肖像。,Informal caricature of the great collector Cassiano.,,,,,Failed (Relaxed)
Carlo Baccinelli,Carlo Baccinelli,人名,原书 第10章; DBI,哈斯克尔引用或描述的博洛尼亚赞助/收藏相关人物。/ Figure in Bolognese patronage,collecting networks.,,,,,Failed (Relaxed)
Carlo Camillo II Massimi,Cardinal Carlo Camillo Massimi,人名,原书 第6章; DBI,17世纪最重要的赞助人之一，普桑和马拉塔的朋友。,One of the most important 17th-c. patrons; friend of Poussin.,,,,,Failed (Relaxed)
Carlo Cordellina,Carlo Cordellina,人名,原书 第14章; DBI,威尼斯赞助人，委托提埃坡罗创作著名的科尔德利纳别墅壁画。,Venetian patron; commissioned Tiepolo for Villa Cordellina.,,,,,Failed (Relaxed)
Carlo Quarismini,Carlo Quarismini,人名,原书 第11章; DBI,哈斯克尔讨论威尼斯及其腹地艺术流动时提及的收藏者。,Collector mentioned regarding art circulation in Venice.,,,,,Failed (Relaxed)
Carro della Notte,Il Carro della Notte (Night Chariot),作品,原书 第4章; RKD,马切洛·普罗文扎莱或 古尔齐诺 为波格赛家族创作。,"Chariot of Night, fresco for the Borghese or Ludovisi.",,,,,Failed (Relaxed)
Caterina Barbarigo,Caterina Barbarigo,人名,DBI; Google,威尼斯贵妇与赞助人。哈斯克尔在分析威尼斯沙龙赞助时提及。,Venetian noblewoman and patron in salon culture.,,,,,Failed (Relaxed)
Ceiling Frescoes (Palazzo Altieri),Palazzo Altieri Ceilings,作品,原书 第6章; RKD,卡尔洛·马拉塔等人的巅峰之作。,"Ceiling frescoes by Maratta in Palazzo Altieri, Rome.",,,,,Failed (Relaxed)
Ceiling Frescoes (Quirinal Palace),Quirinal Palace Ceilings,作品,原书 第5章; RKD,兰弗兰科等人的大型装饰计划。,Major decoration programs in the Quirinal by Lanfranco.,,,,,Failed (Relaxed)
Ceiling fresco (Augustinian Church),St. Augustine in Glory,作品,原书 第5章; RKD,通常指罗马圣奥古斯丁教堂由 兰弗兰科 创作的天顶画。,Ceiling fresco by Lanfranco for the Augustinians.,,,,,Failed (Relaxed)
Ceiling of Palazzo Doria Pamphilj,Palazzo Doria Pamphilj Ceiling,作品,原书 第7章; RKD,彼得罗·达·科尔托纳 的名作。,Ceiling fresco by Pietro da Cortona in Palazzo Doria.,,,,,Failed (Relaxed)
Ceremonies of the Grand Duke,Ceremonies of the Grand Duke,活动,原书 第8章,哈斯克尔讨论托斯卡纳宫廷赞助与仪式的章节。,Court ceremonies in Tuscany reflecting patronage power.,,,,,Failed (Relaxed)
Chapel of St. Lawrence,Cappella di San Lorenzo,地点,原书 (Saints),位于都灵或罗马，哈斯克尔分析特定圣徒赞助。/ Chapel dedicated to St. Lawrence; discussed in Turin,Rome.,Q118315671,Cappella di San Lorenzo e di San Bernardo,"chapel in Saint-Pierre, Italy",0.559375,Relaxed Match (Formal Name)
Chapel of St. Stanislaus Kostka,Cappella di San Stanislao Kostka,地点,原书 第6章; Google,罗马圣安德烈奎里纳莱，哈斯克尔讨论耶酥会赞助。,Located in Sant'Andrea al Quirinale; Jesuit patronage.,,,,,Failed (Relaxed)
Chapels of Santa Maria Maggiore,Paolina and Sistine Chapels,地点,原书 p.124,罗马圣母大殿内的竞争性赞助案例。,Competitive patronage in Santa Maria Maggiore.,,,,,Failed (Relaxed)
Charles Gordon-Lennox ... Richmond,"Charles Lennox, 3rd Duke of Richmond",人名,BM; Wikidata,18世纪英国大收藏家。,3rd Duke of Richmond; major 18th-c. British grand tourist.,Q1065334,"Charles Lennox, 3rd Duke of Richmond",British politician and army officer (1735-1806),0.8999999999999999,Smart Match (Formal Name)
Charles I ... / Charles II?,Charles I of England,人名,拆分准则; Wikidata,[拆分] 英国国王，全书研究意大利绘画外流的关键。,King of England; major international collector.,Q81506,Charles I of England,"monarch of the three kingdoms of England, Scotland, and Ireland (1600-1649)",0.8,Smart Match (Formal Name)
Charles I ... / Charles II?,Charles II of England,人名,拆分准则; Wikidata,[拆分] 英国国王，哈斯克尔讨论品味延续的对象。,King of England; discussed regarding taste continuity.,Q122553,Charles II of England,British monarch from 1660 to 1685,0.7,Smart Match (Formal Name)
Charles-François de Saint-Saulieu,Charles-François de Saint-Saulieu,人名,Gallica; Google,18世纪法国外交官及赞助人。,18th-c. French diplomat and patron active in Italy.,,,,,Failed (Relaxed)
"Christian Louis I, Duke of Mecklenburg",Christian Ludwig I,人名,Wikidata; Google,哈斯克尔讨论北欧王室赞助时的案例。,Duke of Mecklenburg-Schwerin; courtly patron.,Q473885,"Christian Louis I, Duke of Mecklenburg",Duke of Mecklenburg-Schwerin,0.8,Smart Match (Formal Name)
Church of San Sebastiano (Venice),"San Sebastiano, Venice",地点,原书 p.260; Wikidata,全书讨论委罗内塞及17世纪延续性赞助的核心地。,Center for Veronese and 17th-c. Venetian studies.,Q588559,San Sebastiano,"16th-century Roman Catholic church in Venice, Italy",0.3888888888888889,Relaxed Match (Formal Name)
Churches of Religious Orders,Patronage of Religious Orders,概念,全书核心主题,哈斯克尔全书核心：不同修会（耶酥会、方济各会）的品味差异。,Patronage patterns of different religious orders.,,,,,Failed (Relaxed)
Cincinnatus Summoned from the Plough,Cincinnatus Called from the Plough,作品,原书 (Heroism); RKD,提埃坡罗或 皮埃特罗·达·科尔托纳 的名作。,Heroic subject painted by Tiepolo or Cortona.,,,,,Failed (Relaxed)
Cincinnatus summoned from the Plough,Cincinnatus Called from the Plough,作品,原书 (Heroism); RKD,重复项，同上行，体现了不同赞助周期中的版本差异。,Duplicate; version study in different patronage cycles.,,,,,Failed (Relaxed)
Coggio Pittoni,Francesco Pittoni,人名,原书 p.265; DBI,[定性] 哈斯克尔常提及的“科焦（老）”皮托尼。,Older generation of the Pittoni family of painters.,Q3081058,Francesco Pittoni,Italian painter (1645-1724),0.8,Smart Match (Formal Name)
Coggio Pittoni,Giambattista Pittoni,人名,原书 p.265; Getty,[延伸] 与上行相关的18世纪名家。,The famous 18th-c. Venetian master Giambattista Pittoni.,Q982011,Giambattista Pittoni,Italian Old Master painter (1687-1767),0.8999999999999999,Smart Match (Formal Name)
Coggio Pittoni (Artist?),Coggio Pittoni,人名,原书 p.265,指代皮托尼家族中的某位不太确定的早期艺术家成员。,Refers to a less-certain early member of the Pittoni family.,,,,,Failed (Relaxed)
Collegio di Siena,"Collegio Tolomei, Siena",机构,原书 p.231,哈斯克尔分析省级教育机构对艺术品订制的章节。,Sienese college cited for educational art commissions.,Q89207506,Collegio Tolomei,Italian high school,0.6102564102564103,Relaxed Match (Formal Name)
Congregazione dei Virtuosi al Pantheon,Congregazione dei Virtuosi al Pantheon,机构,原书 p.124; Wikidata,罗马古老的艺术同业会。哈斯克尔以此讨论非学院派的赞助社交。,Ancient artistic brotherhood in Rome; discussed regarding social circles.,,,,,Failed (Relaxed)
Consiglio del Consorzio,Consiglio del Consorzio di San Giuseppe,机构,"原书: 第11章; 库: Google Scholar, Venice Archives",威尼斯圣乔治·马焦雷教堂相关的艺术委员会。哈斯克尔以此讨论宗教团体对公共艺术的集体赞助。,Art committee in Venice discussed regarding collective religious patronage.,,,,,Failed (Relaxed)
Conte Carpegna,Cardinal Gaspare di Carpegna,人名,"原书: 第6章; 库: DBI, Wikidata",17世纪罗马极具影响力的红衣主教及古物、艺术赞助人。哈斯克尔研究其作为巴洛克晚期品味风向标的作用。,Influential 17th-c. Roman Cardinal and major antiquarian patron.,,,,,Failed (Relaxed)
Conte Cavazza,Gaspare Cavazza,人名,原书: 第14章; 库: DBI,18世纪威尼斯赞助人。哈斯克尔提及他在威尼斯画派（如提埃坡罗）赞助网络中的地位。,18th-c. Venetian patron in Tiepolo's circle.,,,,,Failed (Relaxed)
Copy of Annibale Carracci's Works,Copies after Annibale Carracci,作品,原书: 第4章; 库: RKD,泛指17-18世纪赞助人订制的卡拉奇名作副本。哈斯克尔以此探讨经典大师作品的市场需求。,Replicas of Carracci's works for patrons.,,,,,Failed (Relaxed)
Copy of Raphael's Loggias,Copies of Raphael's Loggie,作品,原书: 第7章; 库: Internet Archive,拉斐尔长廊的临摹件。哈斯克尔通过其在各大家族宫殿中的流行，分析梵蒂冈范式的传播。,Copies of Raphael's Loggie at the Vatican.,,,,,Failed (Relaxed)
Cornelius de Stael,Cornelis de Wael,人名,依据: 拼写错误修复; 库: Getty ULAN,[纠错] 活跃于热那亚和罗马的佛兰德画家，是艺术交流与市场的关键中介。,Flemish painter and agent in Italy.,Q251131,Cornelis de Wael,Flemish painter and engraver (1592-1667),0.8999999999999999,Smart Match (Formal Name)
Count Waldstein,Karl Ernst von Waldstein,人名,依据: 赞助背景; 库: Wikidata,哈斯克尔提及的波西米亚贵族，17世纪末在意大利进行的宏大艺术采购。,Bohemian noble and patron in late 17th-c. Italy.,Q1471491,Karl Ernst von Waldstein,(1661-1713),0.7,Smart Match (Formal Name)
