Index,Row ID,主体 (Subject),谓词 (Predicate),客体 (Object),状态 (Status),依据 (Source),核验逻辑 (Evidence_Logic),_source_file
20,18,"Agucchi, Giovanni Battista",lived_in,Rome,Confirmed,Page 159,[地理级联]: 驻地映射。,01-A 深度解析全量结果表 (1-100行).md
21,19,Peace of Aix-la-Chapelle,established_in,1748,Confirmed,Page 318,[Wiki]: 补全条约年份，标志威尼斯进入长和平期。,01-A 深度解析全量结果表 (1-100行).md
22,20,"Albani, Annibale",has_role_of,Cardinal,Confirmed,Page 166n,[身份固化]: 补全阿尔巴尼家族枢机。,01-A 深度解析全量结果表 (1-100行).md
23,21,"Albani, Francesco",has_role_of,Artist,Confirmed,Page 131,[身份固化]: 识别博洛尼亚画派重要画家。,01-A 深度解析全量结果表 (1-100行).md
24,22,"Albani, Gianfrancesco",has_identity,Clement XI,Confirmed,Page 129,[递归跳转]: 执行教皇身份对齐。,01-A 深度解析全量结果表 (1-100行).md
25,22,Clement XI,has_role_of,Pope,Confirmed,Page 19,[身份固化]: 18 世纪初期教廷赞助核心。,01-A 深度解析全量结果表 (1-100行).md
26,23,"Albergati-Capacelli, Francesco",has_role_of,Patron,Confirmed,Page 336,[身份固化]: 识别博洛尼亚贵族、赞助人。,01-A 深度解析全量结果表 (1-100行).md
27,24,"Albrizzi, Almorò",has_role_of,Patron,Confirmed,Page 334,[身份固化]: 补全 Albrizzi 家族成员。,01-A 深度解析全量结果表 (1-100行).md
28,25,"Albrizzi, Giambattista",has_role_of,Publisher,Confirmed,Page 334,[身份固化]: 识别威尼斯 18 世纪核心出版商。,01-A 深度解析全量结果表 (1-100行).md
29,26,"Albrizzi, Giambattista",published,Works of Bossuet,Confirmed,Page 334,[SENP 构造]: 记录其对博须埃著作的资助。,01-A 深度解析全量结果表 (1-100行).md
3,2,Accademia degli Umoristi,is_located_in,Rome,Confirmed,Page 118,[地理级联]: 映射 17 世纪罗马学术团体场域。,01-A 深度解析全量结果表 (1-100行).md
30,27,"Albrizzi, Giambattista",employed,"Piazzetta, Giovanni Battista",Confirmed,Page 334,[全生命周期]: 记录出版商与画家的长期雇佣关系。,01-A 深度解析全量结果表 (1-100行).md
31,27,"Piazzetta, Giovanni Battista",produced_illustrations_for,Giambattista Albrizzi,Confirmed,Page 335,[WACV]: 细化创作行为：书籍插图绘制。,01-A 深度解析全量结果表 (1-100行).md
32,28,Il Forestiere Illuminato,is_authored_by,"Albrizzi, Giambattista",Confirmed,Page 334,[SENP 构造]: 记录威尼斯著名导览手册的知识产权。,01-A 深度解析全量结果表 (1-100行).md
33,29,"Albrizzi, Giambattista",has_property,Private collection,Confirmed,Page 336,[SENP 剥离]: 映射其个人收藏实体。,01-A 深度解析全量结果表 (1-100行).md
34,30,"Albrizzi, Giambattista",published,Gems in A. M. Zanetti's collection,Confirmed,Page 337,[中介链解构]: 记录出版商对其他收藏家（Zanetti）资产的学术推广。,01-A 深度解析全量结果表 (1-100行).md
35,31,"Aldobrandini, Ippolito",has_identity,Clement VIII,Confirmed,Page 25,[递归跳转]: 执行教皇身份对齐。,01-A 深度解析全量结果表 (1-100行).md
36,32,"Aldobrandini, Pietro",has_role_of,Cardinal-Nephew,Confirmed,Page 25,[身份固化]: 识别 17 世纪初罗马权臣。,01-A 深度解析全量结果表 (1-100行).md
37,33,Titian,is_author_of,Worship of Venus,Confirmed,Page 25,[SENP 构造]: 映射提香名作权属。,01-A 深度解析全量结果表 (1-100行).md
38,33,Titian,is_author_of,The Andrians,Confirmed,Page 160,[二次爆破]: 从 Bacchanal 组画中拆解具体作品实体。,01-A 深度解析全量结果表 (1-100行).md
39,33,"Aldobrandini, Pietro",acquired,Worship of Venus,Confirmed,Page 25,[全生命周期]: 记录作品流转至阿尔多布兰迪尼家族。,01-A 深度解析全量结果表 (1-100行).md
4,3,Accademia dei Lincei,is_located_in,Rome,Confirmed,Page 33,[地理级联]: 伽利略所属科学学会所在地。,01-A 深度解析全量结果表 (1-100行).md
40,36,"Algardi, Alessandro",has_role_of,Sculptor,Confirmed,Page 59,[身份固化]: 17 世纪罗马巴洛克雕塑巨匠。,01-A 深度解析全量结果表 (1-100行).md
41,37,"Algardi, Alessandro",is_author_of,Bust of Olimpia Maidalchini,Confirmed,Page 148,[SENP 剥离]: 补全教皇嫂子的肖像雕塑实体。,01-A 深度解析全量结果表 (1-100行).md
42,38,"Algardi, Alessandro",is_author_of,Bust of Innocent X,Confirmed,Page 148,[SENP 剥离]: 正确映射 Row 38。,01-A 深度解析全量结果表 (1-100行).md
43,39,"Algardi, Alessandro",is_author_of,Hercules,Confirmed,Page 371,[SENP 剥离]: 映射 Row 39。,01-A 深度解析全量结果表 (1-100行).md
44,40,"Mazarin, Jules",invited,"Algardi, Alessandro",Confirmed,Page 182,[递归跳转]: 回溯 CHP-7 p.182。马萨林枢机对意大利大师的国际性招揽。,01-A 深度解析全量结果表 (1-100行).md
45,41,"Algardi, Alessandro",designed,Villa Doria Pamphilj,Confirmed,Page 148,[SENP 构造]: 识别其在建筑学上的赞助产出。,01-A 深度解析全量结果表 (1-100行).md
46,42,"Algarotti, Bonomo",has_role_of,Patron,Confirmed,Page 347,[身份固化]: 识别其为 Algarotti 家族收藏奠基人。,01-A 深度解析全量结果表 (1-100行).md
47,44,"Farsetti, Filippo",paid_allowance_to,"Algarotti, Francesco",Confirmed,Page 363,[WACV]: 记录赞助人对学者的经济支持。,01-A 深度解析全量结果表 (1-100行).md
48,45,"Algarotti, Francesco",has_social_link,Canaletto,Confirmed,Page 347,[WACV]: 确立中介与风景画大师的商业与友谊纽带。,01-A 深度解析全量结果表 (1-100行).md
49,46,"Algarotti, Francesco",commissioned,Views of Grand Canal,Confirmed,Page 357,[SENP 构造]: 映射 Row 46。记录极具理论价值的“帕拉迪奥式幻想”委任。,01-A 深度解析全量结果表 (1-100行).md
5,4,Accademia del Disegno,is_located_in,Florence,Confirmed,Page 241,[地理级联]: 佛罗伦萨绘画学院。,01-A 深度解析全量结果表 (1-100行).md
50,46,Views of Grand Canal,reflects,Palladian architecture,Confirmed,Page 357,[二次爆破]: 剥离画作中隐含的建筑理论属性。,01-A 深度解析全量结果表 (1-100行).md
51,47,"Algarotti, Francesco",agent_for,"Brühl, Heinrich von",Confirmed,Page 353,[中介链解构]: 映射其为萨克森权臣采买画作的职能。,01-A 深度解析全量结果表 (1-100行).md
52,48,"Algarotti, Francesco",has_social_link,"Conti, Antonio",Confirmed,Page 319,[WACV]: 记录威尼斯启蒙学者圈的社交网络。,01-A 深度解析全量结果表 (1-100行).md
53,49,"Algarotti, Francesco",has_social_link,Frederick the Great,Confirmed,Page 349,[WACV]: 确立其作为普鲁士国王艺术品味顾问的最高层级关联。,01-A 深度解析全量结果表 (1-100行).md
54,50,"Algarotti, Francesco",influenced_by,"Lodoli, Carlo",Confirmed,Page 321,[WACV]: 记录其建筑功能主义思想的来源。,01-A 深度解析全量结果表 (1-100行).md
55,51,"Algarotti, Francesco",promoted,Neo-Palladianism,Confirmed,Page 356,[WACV]: 记录其作为 18 世纪帕拉迪奥复兴运动推广者的属性。,01-A 深度解析全量结果表 (1-100行).md
56,53,"Algarotti, Francesco",has_social_link,"Piazzetta, Giovanni Battista",Confirmed,Page 355,[WACV]: 记录与皮亚泽塔的赞助互动。,01-A 深度解析全量结果表 (1-100行).md
57,55,"Algarotti, Francesco",shared_influence_with,"Tiepolo, Giambattista",Confirmed,Page 354,[WACV]: 映射 Row 55。记录顶级画家与理论家的双向知识渗透。,01-A 深度解析全量结果表 (1-100行).md
58,56,"Algarotti, Francesco",personal_commission_to,"Tiepolo, Giambattista",Confirmed,Page 354,[全生命周期]: 映射 Row 56。记录非官方代理的私人订单。,01-A 深度解析全量结果表 (1-100行).md
59,57,Portrait of Francesco Algarotti,has_author,"Tiepolo, Giambattista",Confirmed,Page 359,[SENP 构造]: 映射 Row 57。补全提埃坡罗为其创作的肖像实体。,01-A 深度解析全量结果表 (1-100行).md
6,5,Accademia di Pittura e Scultura,is_located_in,Venice,Confirmed,Page 329,[地理级联]: 18 世纪威尼斯官方学院。,01-A 深度解析全量结果表 (1-100行).md
60,57,Portrait of Francesco Algarotti,has_status,Unfinished,Confirmed,Page 359,[二次爆破]: 剥离并固化作品的未完成状态。,01-A 深度解析全量结果表 (1-100行).md
61,58,"Algarotti, Francesco",appraised,Venetian artists,Confirmed,Page 350,[WACV]: 记录其作为艺术批评家对本土画派的定性评价。,01-A 深度解析全量结果表 (1-100行).md
62,59,"Algarotti, Francesco",bequeathed_property,"Pitt, William (the Elder)",Confirmed,Page 356,[全生命周期]: 记录其遗赠给英国首相的艺术路径。,01-A 深度解析全量结果表 (1-100行).md
63,60,"Algarotti, Francesco",commissioned,Architectural fantasies,Confirmed,Page 357,[SENP 构造]: 映射 Row 60。记录其对“建筑幻想画”体裁的特殊贡献。,01-A 深度解析全量结果表 (1-100行).md
64,60,"Pesci, Pietro",is_author_of,Architectural fantasies,Confirmed,Page 357,[二次爆破]: 拆解具体受托画家 A。,01-A 深度解析全量结果表 (1-100行).md
65,60,"Tesi, Mauro",is_author_of,Architectural fantasies,Confirmed,Page 357,[二次爆破]: 拆解具体受托画家 B。,01-A 深度解析全量结果表 (1-100行).md
66,61,"Algarotti, Francesco",experienced_internal_conflict,Fantasy vs Neo-classicism,Confirmed,Page 354,[WACV]: 深度捕捉赞助品味在巴洛克幻想与启蒙理性间的张力。,01-A 深度解析全量结果表 (1-100行).md
67,62,Algarotti Collection,experienced_event,Dispersal,Confirmed,Page 361,[全生命周期]: 映射 Row 62。记录藏品在 18 世纪末的流转状态。,01-A 深度解析全量结果表 (1-100行).md
68,64,"Algarotti, Francesco",has_property,Eclectic tastes,Confirmed,Page 354,[WACV]: 定性其收藏体系的广博属性。,01-A 深度解析全量结果表 (1-100行).md
69,67,"Algarotti, Francesco",lived_in,Berlin,Confirmed,Page 349,[地理级联]: 记录其在普鲁士宫廷服务的驻地。,01-A 深度解析全量结果表 (1-100行).md
7,6,Accademia di Pittura e Scultura,hosted,Art exhibitions,Confirmed,Page 331,[WACV]: 记录学院作为公共展示平台的职能。,01-A 深度解析全量结果表 (1-100行).md
70,67,Berlin,is_located_in,Germany,Confirmed,Cascade,[地理级联]: 国家级补全。,01-A 深度解析全量结果表 (1-100行).md
71,71,Frederick the Great,erected_monument_to,"Algarotti, Francesco",Confirmed,Page 360,[全生命周期]: 记录普鲁士国王对其顾问的终极致敬。,01-A 深度解析全量结果表 (1-100行).md
72,71,Monument to Algarotti,is_located_in,Pisa,Confirmed,Grounding,[地理映射]: 补全纪念碑所在的地理坐标。,01-A 深度解析全量结果表 (1-100行).md
73,72,Newtonianismo per le Dame,is_authored_by,"Algarotti, Francesco",Confirmed,Page 349,[SENP 构造]: 映射其划时代的科普/艺术理论著作。,01-A 深度解析全量结果表 (1-100行).md
74,73,"Algarotti, Francesco",created_plan_for,Dresden Gallery,Confirmed,Page 350,[全生命周期]: 映射 Row 73。记录其对萨克森宫廷画廊的顶级规划职能。,01-A 深度解析全量结果表 (1-100行).md
75,74,"Algarotti, Francesco",commissioned,Works by living artists,Confirmed,Page 350,[全生命周期]: 映射 Row 74。记录其为德累斯顿采买当代艺术的动作。,01-A 深度解析全量结果表 (1-100行).md
76,74,"Tiepolo, Giambattista",created_work_for,Dresden Gallery,Confirmed,Page 351,[WACV]: 递归补全 Row 74 涉及的具体委任艺术家 A。,01-A 深度解析全量结果表 (1-100行).md
77,74,"Piazzetta, Giovanni Battista",created_work_for,Dresden Gallery,Confirmed,Page 351,[WACV]: 递归补全具体受托艺术家 B。,01-A 深度解析全量结果表 (1-100行).md
78,75,Augustus III,acquired_property,Art collections via Algarotti,Confirmed,Page 349,[中介链解构]: 映射 Row 75。确立波兰国王/萨克森选帝侯的顶级订单链。,01-A 深度解析全量结果表 (1-100行).md
79,75,Sistine Madonna,acquired_by,Augustus III,Confirmed,Page 298,[全生命周期]: 递归补全 Row 75 涉及的艺术史最重要收购案例（拉斐尔作）。,01-A 深度解析全量结果表 (1-100行).md
8,7,Accademia di S. Luca,is_located_in,Rome,Confirmed,Page 17,[地理级联]: 圣路加学院核心场域。,01-A 深度解析全量结果表 (1-100行).md
80,75,Sistine Madonna,is_housed_at,Gemäldegalerie Alte Meister,Confirmed,Grounding,[地理映射]: 记录名作目前的物理馆藏地。,01-A 深度解析全量结果表 (1-100行).md
81,75,Dresden,is_located_in,Germany,Confirmed,Cascade,[地理级联]: 核心资助场域级联。,01-A 深度解析全量结果表 (1-100行).md
82,84,"Algarotti, Francesco",visited,Venice,Confirmed,Page 352,[地理映射]: 记录 1743-1745 年的关键采买时期。,01-A 深度解析全量结果表 (1-100行).md
83,86,"Allegrini, Francesco",has_role_of,Artist,Confirmed,Page 157,[身份固化]: 映射 Row 86。,01-A 深度解析全量结果表 (1-100行).md
84,88,Alticchiero,corresponds_to,Querini Villa,Confirmed,Page 369,[SENP 构造]: 映射 Row 88。地标与赞助人实体关联。,01-A 深度解析全量结果表 (1-100行).md
85,88,Alticchiero,is_located_in,Padua,Confirmed,Wiki,[地理级联]: 城市级映射。,01-A 深度解析全量结果表 (1-100行).md
86,89,"Altieri, Emilio",has_identity,Clement X,Confirmed,Page 161,[递归跳转]: 补全教皇身份及其家族背景。,01-A 深度解析全量结果表 (1-100行).md
87,92,Altieri Palace,is_located_in,Rome,Confirmed,Page 156,[地理级联]: 建筑位置映射。,01-A 深度解析全量结果表 (1-100行).md
88,96,"Amigoni, Jacopo",has_role_of,Artist,Confirmed,Page 251,[身份固化]: 映射 Row 96。识别国际化的威尼斯画家。,01-A 深度解析全量结果表 (1-100行).md
89,100,Portrait of Farinelli,is_author,"Amigoni, Jacopo",Confirmed,Page 393,[SENP 剥离]: 正确映射 Row 100。客体纯净化。,01-A 深度解析全量结果表 (1-100行).md
9,8,"Barberini, Francesco",has_role_of,Protector of Accademia di S. Luca,Confirmed,Page 17,[身份固化]: 补全枢机主教全名，确立庇护关系。,01-A 深度解析全量结果表 (1-100行).md
90,100,Farinelli,corresponds_to,Carlo Broschi,Confirmed,Grounding,[身份固化]: 补全被描绘的传奇歌唱家真名。,01-A 深度解析全量结果表 (1-100行).md
91,101,Portrait of Sigismund Streit,is_author,"Amigoni, Jacopo",Confirmed,Page 315,[SENP 剥离]: 正确映射 Row 101。,01-A 深度解析全量结果表 (1-100行).md
92,101,"Streit, Sigismund",has_role_of,Patron,Confirmed,Page 315,[身份固化]: 补全赞助人身份，映射德国商人在威尼斯的资助。,01-A 深度解析全量结果表 (1-100行).md
93,104,"Amigoni, Jacopo",worked_in,England,Confirmed,Page 286,[地理级联]: 记录其 1730 年代的跨国职业期。,01-A 深度解析全量结果表 (1-100行).md
94,107,"Angeli, Filippo d'",has_identity,Napoletano,Confirmed,Page 50,[身份固化]: 映射 Row 107。补全画家常用的别名。,01-A 深度解析全量结果表 (1-100行).md
95,112,"Anne, Queen",has_role_of,Patron,Confirmed,Page 196,[身份固化]: 映射 Row 112。识别英国君主赞助者。,01-A 深度解析全量结果表 (1-100行).md
96,113,Anti-papal satire,occurred_under,Alexander VII,Confirmed,Page 153,[WACV]: 映射 Row 113。记录针对教皇亚历山大七世的讽刺文学现象。,01-A 深度解析全量结果表 (1-100行).md
97,116,Society of Arcadia,is_located_in,Rome,Confirmed,Page 19,[地理级联]: 映射 Row 116。核心文学/艺术团体场域。,01-A 深度解析全量结果表 (1-100行).md
98,118,"Ariosto, Ludovico",is_source_of,Orlando Furioso,Confirmed,Page 336,[SENP 构造]: 映射 Row 119。记录视觉艺术的核心叙事源泉。,01-A 深度解析全量结果表 (1-100行).md
99,119,Orlando Furioso,inspired,18th Century Venetian Art,Confirmed,Page 336,[WACV]: 记录文学母体对绘画委任的支撑作用。,01-A 深度解析全量结果表 (1-100行).md
101,114,"Arrighi-Landini, Orazio",has_role_of,Writer,Confirmed,Page 301n,[身份固化]: 识别 18 世纪意大利文学/哲学作者。,01-A 深度解析全量结果表 (101-200行).md
102,115,Tempio della Filosofia,authored_by,"Arrighi-Landini, Orazio",Confirmed,Page 301n,[SENP 剥离]: 著作权映射，实体名纯净化。,01-A 深度解析全量结果表 (101-200行).md
103,116,Arrighini,has_role_of,Patron,Confirmed,Page 194,[身份固化]: 映射 Row 116。补全 18 世纪赞助人实体。,01-A 深度解析全量结果表 (101-200行).md
104,116,Arrighini,lived_in,Venice,Confirmed,Page 194,[地理映射]: 记录其活动核心场域。,01-A 深度解析全量结果表 (101-200行).md
105,117,Art dealers,active_in,Rome,Confirmed,Page 120,[WACV]: 映射 Row 117。记录 17 世纪罗马艺术经纪人群体。,01-A 深度解析全量结果表 (101-200行).md
106,117,Rome,is_located_in,Italy,Confirmed,Cascade,[地理级联]: 溯源至国家。,01-A 深度解析全量结果表 (101-200行).md
107,118,Art dealers,active_in,Venice,Confirmed,Page 265,[WACV]: 映射 Row 118。记录 18 世纪威尼斯市场的流通中枢。,01-A 深度解析全量结果表 (101-200行).md
108,119,Art exhibitions,active_in,Florence,Confirmed,Page 240,[地理映射]: 映射 Row 120。记录佛罗伦萨的公共展览体制。,01-A 深度解析全量结果表 (101-200行).md
109,120,Ferdinand de' Medici (Grand Prince),organized,Art exhibitions in Florence,Confirmed,Page 240,[全生命周期]: 确立美第奇大王子作为展览体系核心组织者的角色。,01-A 深度解析全量结果表 (101-200行).md
110,120,Ferdinand de' Medici (Grand Prince),lived_in,Florence,Confirmed,Cascade,[地理级联]: 驻地映射。,01-A 深度解析全量结果表 (101-200行).md
111,122,Art exhibitions,active_in,Rome,Confirmed,Page 129,[地理级联]: 映射 Row 122。记录罗马展览对绘画趋势的影响力。,01-A 深度解析全量结果表 (101-200行).md
112,124,Pantheon,hosted,Art exhibitions,Confirmed,Page 126,[地理映射]: 映射 Row 124。记录罗马万神殿作为重要艺术展示空间的职能。,01-A 深度解析全量结果表 (101-200行).md
113,124,Pantheon,is_located_in,Rome,Confirmed,Cascade,[地理级联]: 建筑级联。,01-A 深度解析全量结果表 (101-200行).md
114,125,S. Bartolommeo,hosted,Art exhibitions,Confirmed,Page 125,[地理映射]: 映射 Row 125。记录位于罗马的展览场域实体。,01-A 深度解析全量结果表 (101-200行).md
115,126,San Giovanni Decollato,hosted,Art exhibitions,Confirmed,Page 127,[地理映射]: 映射 Row 126。记录罗马重要的传统展览空间。,01-A 深度解析全量结果表 (101-200行).md
116,127,San Salvatore in Lauro,hosted,Art exhibitions,Confirmed,Page 128,[地理映射]: 映射 Row 127。,01-A 深度解析全量结果表 (101-200行).md
117,128,Art exhibitions,active_in,Venice,Confirmed,Page 330,[地理级联]: 映射 Row 128。威尼斯展览体系。,01-A 深度解析全量结果表 (101-200行).md
118,129,Venice Academy,hosted,Art exhibitions,Confirmed,Page 331,[WACV]: 映射 Row 129。记录官方机构的展示职能。,01-A 深度解析全量结果表 (101-200行).md
119,130,Piazza S. Marco,hosted,Art exhibitions,Confirmed,Page 330,[地理映射]: 映射 Row 130。记录威尼斯核心地标的艺术功能。,01-A 深度解析全量结果表 (101-200行).md
120,131,Scuola di San Rocco,hosted,Art exhibitions,Confirmed,Page 240,[地理映射]: 映射 Row 131。记录丁托列托杰作所在地的展览职能。,01-A 深度解析全量结果表 (101-200行).md
121,132,Artistic temperament,is_topic_of,Art History,Confirmed,Page 21,[SENP 构造]: 映射 Row 132。记录“艺术家气质”概念在巴洛克时期的理论成型。,01-A 深度解析全量结果表 (101-200行).md
122,133,Artist's position in society,discussed_by,"Memmo, Andrea",Confirmed,Page 330,[WACV]: 映射 Row 133。记录启蒙时代对艺术家社会地位的理论反思。,01-A 深度解析全量结果表 (101-200行).md
123,134,"Artists, status of",active_in,17th-century Rome,Confirmed,Page 16,[WACV]: 映射 Row 134。记录罗马艺术家的法律与经济地位演变。,01-A 深度解析全量结果表 (101-200行).md
124,135,"Howard, Thomas",has_title,Earl of Arundel,Confirmed,Page 3,[身份固化]: 补全阿伦德尔伯爵的标准姓名与职衔。,01-A 深度解析全量结果表 (101-200行).md
125,135,Earl of Arundel,has_property,Arundel Collection,Confirmed,Page 97,[SENP 构造]: 映射 17 世纪英格兰最重要的艺术收藏实体。,01-A 深度解析全量结果表 (101-200行).md
126,135,Earl of Arundel,visited,Venice,Confirmed,Page 341,[地理级联]: 记录其 1613-1614 年间的关键访问事实。,01-A 深度解析全量结果表 (101-200行).md
127,136,"Assereto, Gioacchino",has_role_of,Artist,Confirmed,Page 197,[身份固化]: 识别热那亚画派重要画家。,01-A 深度解析全量结果表 (101-200行).md
128,137,"Astalli, Camillo",has_role_of,Cardinal-Nephew,Confirmed,Page 148,[身份固化]: 补全其作为英诺森十世“养侄子”的教廷身份。,01-A 深度解析全量结果表 (101-200行).md
129,138,"Audran, Benoit",has_role_of,Artist and Engraver,Confirmed,Page 370,[身份固化]: 识别法国著名雕版大师。,01-A 深度解析全量结果表 (101-200行).md
130,140,Augustus II,patronized,Venetian artists,Confirmed,Page 294,[全生命周期]: 映射 Row 140。记录萨克森选帝侯对威尼斯人才的早期汲取。,01-A 深度解析全量结果表 (101-200行).md
131,140,Augustus II,has_title,King of Poland,Confirmed,Cascade,[身份固化]: 补全君主职衔。,01-A 深度解析全量结果表 (101-200行).md
132,140,Saxony,is_target_for,Venetian art export,Confirmed,Page 278,[SENP 构造]: 记录从威尼斯向德意志的艺术资本流向。,01-A 深度解析全量结果表 (101-200行).md
133,141,Augustus III,shared_influence_with,"Algarotti, Francesco",Confirmed,Page 349,[WACV]: 映射超级条目 Row 141。确立普鲁士国王与理论家间的资助盟约。,01-A 深度解析全量结果表 (101-200行).md
134,141,Augustus III,has_title,Elector of Saxony,Confirmed,Cascade,[身份固化]: 职衔确认。,01-A 深度解析全量结果表 (101-200行).md
135,142,Augustus III,commissioned,"Carriera, Rosalba",Confirmed,Page 295,[全生命周期]: 映射 Row 142。记录对色粉画大师的长期规模化委任。,01-A 深度解析全量结果表 (101-200行).md
136,142,"Carriera, Rosalba",produced,Pastel portraits for Augustus III,Confirmed,Page 295,[WACV]: 细化创作行为。,01-A 深度解析全量结果表 (101-200行).md
137,143,Dresden Gallery,belongs_to,Augustus III,Confirmed,Page 350,[全生命周期]: 映射 Row 143。确立画廊作为君主宏大资助工程的归属。,01-A 深度解析全量结果表 (101-200行).md
138,143,Dresden Gallery,planned_by,"Algarotti, Francesco",Confirmed,Page 351,[中介链解构]: 识别画廊改建与扩容计划的学术推手。,01-A 深度解析全量结果表 (101-200行).md
139,143,Dresden Gallery,is_located_in,Dresden,Confirmed,Cascade,[地理映射]: 建筑位置映射。,01-A 深度解析全量结果表 (101-200行).md
140,143,Dresden,is_located_in,Saxony,Confirmed,Cascade,[地理级联]: 行政区划溯源。,01-A 深度解析全量结果表 (101-200行).md
141,143,Saxony,is_located_in,Germany,Confirmed,Cascade,[地理级联]: 国家级补全。,01-A 深度解析全量结果表 (101-200行).md
142,144,Augustus III,acquired_property,collections of Dukes of Modena,Confirmed,Page 294,[全生命周期]: 映射 Row 144。记录 1745-46 年这一划时代的大宗名画收购事件。,01-A 深度解析全量结果表 (101-200行).md
143,144,Dukes of Modena,ruled_over,Modena,Confirmed,Cascade,[身份固化]: 识别资产的原始主权。,01-A 深度解析全量结果表 (101-200行).md
144,144,Art collection of Modena,transferred_to,Dresden,Confirmed,Page 294,[全生命周期]: 记录资产的物理流转路径。,01-A 深度解析全量结果表 (101-200行).md
145,145,"Azzolini, Decio",has_role_of,Cardinal,Confirmed,Page 128,[身份固化]: 映射最终行 Row 145。补全阿佐里尼枢机身份。,01-A 深度解析全量结果表 (101-200行).md
146,145,"Azzolini, Decio",has_social_link,Christina of Sweden,Confirmed,Grounding,[WACV]: 记录枢机作为克里斯蒂娜女王最核心亲信与收藏代理的关系。,01-A 深度解析全量结果表 (101-200行).md
147,46,"Algarotti, Francesco",was_allowance_from,"Farsetti, Filippo",Confirmed,Page 363,[递归回填]: 映射 Row 44。补充其学术经费来源。,01-A 深度解析全量结果表 (101-200行).md
148,48,"Algarotti, Francesco",shared_ideology_with,"Conti, Antonio",Confirmed,Page 319,[WACV]: 映射 Row 48。确立其在威尼斯学者圈中的思想对位。,01-A 深度解析全量结果表 (101-200行).md
149,50,"Lodoli, Carlo",influenced,"Algarotti, Francesco",Confirmed,Page 321,[递归回填]: 针对 Row 50。记录其建筑功能主义理论对中介品味的影响。,01-A 深度解析全量结果表 (101-200行).md
150,50,functionalism,is_attribute_of,architectural theory of Lodoli,Genre,Page 321,[二次爆破]: 剥离该时期核心的建筑流派属性。,01-A 深度解析全量结果表 (101-200行).md
151,55,"Tiepolo, Giambattista",influenced_by,"Algarotti, Francesco",Confirmed,Page 354,[递归回填]: 映射 Row 55。明确中介对提埃坡罗创作风格的塑造。,01-A 深度解析全量结果表 (101-200行).md
152,57,unfinished portrait of Algarotti,depicts,"Algarotti, Francesco",Confirmed,Page 359,[二次爆破]: 递归补全 Row 57 作品的具体描绘内容。,01-A 深度解析全量结果表 (101-200行).md
153,59,"Pitt, William (the Elder)",was_beneficiary_of,"Algarotti, Francesco",Confirmed,Page 356,[全生命周期]: 记录中介通过遗赠建立的跨国政治联系。,01-A 深度解析全量结果表 (101-200行).md
154,60,architectural fantasies,consists_of,Capricci,Genre,Page 357,[二次爆破]: 映射 Row 60。剥离其作为“奇想画”的体裁属性。,01-A 深度解析全量结果表 (101-200行).md
