Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Francavilla, Pietro",E22 Man-Made Object,,Florence/Paris,佛罗伦萨/法国雕塑家,fountain of Orpheus enchanting the wild beasts,,174
"Franceschini, Baldassare",E53 Place,,Florence,佛罗伦萨画家 (Volterrano),,,"187, 231, 403"
"Franceschini, Baldassare",E53 Place,,Florence,佛罗伦萨画家 (Volterrano),Fame carrying the Name of Louis XIV to the Temple of Immortality,,187
"Franceschini, Baldassare",E53 Place,,Florence,佛罗伦萨画家 (Volterrano),La Burla del Pievano Arlotto,,231
"Franceschini, Marcantonio",E53 Place,,Bologna,博洛尼亚画派画家,,,"192n, 194, 199, 223, 225, 227, 282"
"Franceschini, Marcantonio",E53 Place,,Bologna,博洛尼亚画派画家,letters relating to commission from Stefano Conti,,389
"Franceschini, Marcantonio",E53 Place,,Bologna,博洛尼亚画派画家,Mercury awaking Aeneas,,225n
"Franceschini, Marcantonio",E53 Place,,Bologna,博洛尼亚画派画家,The Three Graces,,282n
"Franceschini, Marcantonio",E53 Place,,Bologna,博洛尼亚画派画家,Venus,,282n
"Franchi, Antonio",E21 Person,,,,,,"227, 231n, 233n"
François I of France,E53 Place,,,,,,170
"Fratta, D. M.",E21 Person,,,,,,290
Frederick III (Holy Roman Emperor),E21 Person,,Vienna,神圣罗马帝国皇帝,,,19n
Frederick IV of Denmark,E21 Person,,Copenhagen,丹麦国王,,,277
"Frederick Augustus I, Elector of Saxony",E21 Person,,,,see under Augustus II of Poland,,
"Frederick Augustus II, Elector of Saxony",E21 Person,,,,see under Augustus III of Poland,,
Frederick the Great,E21 Person,,Berlin/Potsdam,普鲁士国王,,,"295, 211, 349, 360"
Frederick the Great,E21 Person,,Berlin/Potsdam,普鲁士国王,and F. Algarotti,,"349, 356, 357, 360"
French Academy in Rome,E74 Group,,Rome,罗马法兰西学院,,,"189, 257"
French hostility to Italian art in the 17th century,E28 Conceptual Object,,,,,,188
French patronage,E28 Conceptual Object,,Rome,法国在罗马的赞助,,,
French patronage,E28 Conceptual Object,,Rome,法国在罗马的赞助,in 17th century,,"173, 174, 175, 176, 177, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 200"
French patronage,E28 Conceptual Object,,Rome,法国在罗马的赞助,of Venetian artists in 18th century,,"277, 284, 285, 292, 293"
"Frescobaldi, Gerolamo",E21 Person,,,,,,95
"Fumiani, Giannantonio",E21 Person,,Venice,威尼斯画家,,,"227, 232"
"Fumiani, Giannantonio",E21 Person,,Venice,威尼斯画家,and Grand Prince Ferdinand,,234
"Fumiani, Giannantonio",E21 Person,,Venice,威尼斯画家,Christ driving the Jews from the Temple,,195
"Fumiani, Giannantonio",E21 Person,,Venice,威尼斯画家,Stoning of Zechariah,,234
"Furlani, Ventura",E21 Person,,,,,,362
"Furnaletto, Lodovico",E21 Person,,,,,,340
