Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"LeBlon, Jakob Christoffel",E21 Person,,,,,,408
"Le Brun, Charles",E21 Person,,Paris,路易十四的首席画家,,,"62, 189, 195"
"Le Nain, Louis",E21 Person,,,,,,"122, 184"
"Le Vau, Louis",E21 Person,,,,,,187
"Legros, Pierre",E21 Person,,Rome,法国巴洛克雕塑家,,,"92, 93, 400"
"Legros, Pierre",E21 Person,,Rome,法国巴洛克雕塑家,Assumption of the Blessed Luigi Gonzaga,,93n
"Legros, Pierre",E21 Person,,Rome,法国巴洛克雕塑家,Religion triumphing over Heresy,,92
"Legros, Pierre",E21 Person,,Rome,法国巴洛克雕塑家,St Stanislas Kostka,,93
"Lelli, Ercole",E21 Person,,,,,,351
"Lely, Sir Peter",E21 Person,,London,英国宫廷画家,,,122n
"Lemaire, Jean",E21 Person,,,,,,"105, 176"
"Lena, Eusebio della",E21 Person,,,,,,375
"Lena, Abate Giacomo della",E21 Person,,Venice,威尼斯古董商,,,"375, 376, 410"
"Lena, Abate Giacomo della",E21 Person,,Venice,威尼斯古董商,on F. Guardi,,375
"Lena, Innocenzo della",E21 Person,,,,,,375
Leonardo da Vinci,E21 Person,,Milan/Florence/France,文艺复兴全才,,,"100, 106, 113"
Leonardo da Vinci,E21 Person,,Milan/Florence/France,文艺复兴全才,Leda and the Swan,,100
Leonardo da Vinci,E21 Person,,Milan/Florence/France,文艺复兴全才,St John the Baptist,,100
Leonardo da Vinci,E21 Person,,Milan/Florence/France,文艺复兴全才,Trattato della pittura,,"106, 113"
"Leoni, Giacomo",E21 Person,,,,,,"281, 286"
"Leoni, Ottavio",E21 Person,,Rome,罗马肖像画家/版画家,,,"96, 100n"
"Leoni, Ottavio",E21 Person,,Rome,罗马肖像画家/版画家,"etching of Paolo Giordano Orsini, Duke of Bracciano",,96
"Leopold I, Grand Duke of Tuscany",E21 Person,,,,,,"366, 371"
"Leopold I, Holy Roman Emperor",E21 Person,,,,,,193
"Leopold Wilhelm, Archduke",E22 Man-Made Object,,,,,,193
"Letterini, Bartolommeo",E21 Person,,,,,,275n
"Liberi, Pietro",E21 Person,,Venice,威尼斯画家,,,"193, 197, 217, 393"
"Liberi, Pietro",E21 Person,,Venice,威尼斯画家,"Rood, The",,217
"Liberi, Pietro",E21 Person,,Venice,威尼斯画家,indecency of paintings,,217
"Liberi, Pietro",E21 Person,,Venice,威尼斯画家,"contract for work in S. Maria Maggiore, Bergamo",,217
"Liechtenstein, Prince Wenzel of",E21 Person,,,,,,"169, 194, 195, 234n, 345"
Liechtenstein family,E74 Group,,Vienna,列支敦士登家族,,,"194, 403, 406"
Liechtenstein family,E74 Group,,Vienna,列支敦士登家族,"town palace, Vienna",,201
"Ligari, Gian Pietro",E21 Person,,,,,,323n
"Locatelli, Andrea",E21 Person,,Rome,罗马风景画家,,,297n
"Locke, John",E21 Person,,,,,,288
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),,,"300, 301, 320, 321, 322, 323, 337, 338, 340, 350, 361, 362, 370, 373, 381, 408"
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),and F. Algarotti,,321
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),Apologhi,,367
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),Elementi dell'architettura lodoliana (Memmo),,"320n, 367"
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),ideas on education,,320
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),A. Memmo and,,"364, 367, 368"
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),portraits by Nazari and A. Longhi,,322
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),A. Querini and,,368
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),school,,320
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),views on architecture,,321
"Lodoli, Padre Carlo",E21 Person,,Venice,建筑理论家 (功能主义先驱),views on painting,,322
London,E53 Place,,,,Venetian artists in,,"286, 287, 292"
"Longhena, Baldassare",E21 Person,,,,,,269
"Longhi, Alessandro",E21 Person,,Venice,威尼斯肖像画家,,,"322, 324n, 336, 361, 382"
"Longhi, Alessandro",E21 Person,,Venice,威尼斯肖像画家,portrait of Carlo Lodoli,,322
"Longhi, Alessandro",E21 Person,,Venice,威尼斯肖像画家,portrait of G. M. Sasso,,373n
"Longhi, Martino, the Elder",E21 Person,,,,,,"69, 400"
"Longhi, Martino, the Younger",E21 Person,,,,,,183
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,,,"260, 265, 322, 323, 324, 338, 340, 361"
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,Carlo Goldoni and,,323
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,Fall of the Giants,,265
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,Gasparo Gozzi and,,"323, 324"
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,paintings in collection of Teodoro Correr,,382
"Longhi, Pietro",E21 Person,,Venice,威尼斯风俗画家,"two conversations, Mr Murray and family",,393
"Longo, Antonio",E21 Person,,,,,,"256, 257"
"Lorca, Bernardino",E21 Person,,,,,,135n
"Loredan, Antonio",E21 Person,,,,,,256
"Loredan, Pietro",E21 Person,,,,,,256
"Lorenzi, Francesco",E53 Place,,,,,,255n
Lorenzini,E21 Person,,Florence,可能是Lorenzini家族,,,229
"Lorrain, Claude",E21 Person,,Rome,即 Claude Lorrain,see under Claude,,
"Lorraine, Duke of",E21 Person,,,,,,267
"Loth, Johann Karl",E21 Person,,Venice,活跃于威尼斯的德国画家,,,"233, 265n"
"Loth, Johann Karl",E21 Person,,Venice,活跃于威尼斯的德国画家,and Grand Prince Ferdinand,,233
"Loth, Johann Karl",E21 Person,,Venice,活跃于威尼斯的德国画家,Death of Abel,,233
Lot and his Daughters,E22 Man-Made Object,,Bible,圣经题材,,,195
Louis XIII,E21 Person,,Paris,法国国王,,,"44, 181"
Louis XIV,E21 Person,,Paris,法国国王 (太阳王),,,"118, 153, 155, 182, 186, 187, 188, 189, 195, 284, 285, 402, 403"
Louis XV,E21 Person,,Paris,法国国王,,,"285, 236"
"Louisa Ulrika, Queen of Sweden",E21 Person,,,,,,344
Louvre,E53 Place,,Paris,卢浮宫,,,153
Louvre,E53 Place,,Paris,卢浮宫,Bernini plans for,,"187, 188"
"Lovisa, Domenico",E21 Person,,Venice,威尼斯版画家,,,"332, 333"
"Lovisa, Domenico",E21 Person,,Venice,威尼斯版画家,Il Gran Teatro delle Pitture e Prospettive di Venezia,,332
Lucca,E53 Place,,Lucca,意大利城市,,,"214, 226, 227, 228"
"Ludovisi, Alessandro (Pope Gregory XV)",E21 Person,,,,,,"3, 4, 17, 28, 30, 49, 64, 72, 73"
"Ludovisi, Ludovico (nephew to Pope Gregory XV)",E21 Person,,Rome,罗马红衣主教，重要收藏家,,,"4, 28, 64, 72, 73, 74, 86, 101, 397"
"Ludovisi, Ludovico (nephew to Pope Gregory XV)",E21 Person,,Rome,罗马红衣主教，重要收藏家,and S. Andrea della Valle,,72
"Ludovisi, Ludovico (nephew to Pope Gregory XV)",E21 Person,,Rome,罗马红衣主教，重要收藏家,and S. Ignazio,,"73, 74"
"Ludovisi, Ludovico (nephew to Pope Gregory XV)",E21 Person,,Rome,罗马红衣主教，重要收藏家,patronage of Domenichino,,"4, 72, 73, 74"
"Luti, Benedetto",E21 Person,,Rome,活跃于罗马的托斯卡纳画家,,,"231, 194"
"Luxembourg, Palais du",E21 Person,,,,,,174
"Lyss, Jan",E21 Person,,,,,,235n
