Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category
Ceiling Frescoes (Quirinal Palace),,Q223079,Work
Ceiling fresco (Augustinian Church),,,Work
Ceiling of Palazzo Doria Pamphilj,,,Work
Ceremonies of the Grand Duke,,,Work/Event
Chapel of St. Lawrence,,,Place
Chapel of St. Stanislaus Kostka,,Q7591706,Place
Chapels of Santa Maria Maggiore,,Q186282,Place
"Charles Gordon-Lennox, 3rd Duke of Richmond",,Q335368,Person
Charles I of England / Charles II?,,Q81506,Person
Charles-François de Saint-Saulieu,,,Person
"Christian Louis I, Duke of Mecklenburg-Schwerin",,Q70203,Person
Church of San Sebastiano (Venice),,Q588559,Place
Churches of Religious Orders,,Q1746003,Place
Cincinnatus Summoned from the Plough,,,Work
Cincinnatus summoned from the Plough,,,Work
Coggio Pittoni,,,Person
Coggio Pittoni (Artist?),,,Person
Collegio di Siena,,Q89207506,Place
Congregazione dei Virtuosi al Pantheon,,,Group
Consiglio del Consorzio,,,Organization
Conte Carpegna,,,Person
Conte Cavazza,,,Person
Copy of Annibale Carracci's Works,,,Work
Copy of Raphael's Loggias,,,Work
Cornelius de Stael,,,Person
Count Waldstein,,,Person
Count of Monterrey,,,Person
Couvent des Augustins Déchaussés,,,Place
Cremonese School,,,Group
Creusa imploring Aeneas,,,Work
Cristoforo Tencalla,,,Person
Customs duty on pictures,,,Concept
Dance of Nymphs,,,Work
Daniele Dolfin III,,,Person
Daniele Dolfin IV,Q3014934,,Person
Death of Regulus,,Q28038182,Work
Death of St. Francis Xavier,,Q27979751,Work
Decorations for St. Augustine Church,,,Work
Dedicatory Frontispiece,,,Work
Design for Sant'Andrea al Quirinale,,Q1354667,Work
Design for St. Peter's Square,,Q83425,Work
Devolution of Urbino to the Papacy,,,Event
Diffusion of Neapolitan painting,,,Concept
Divine Virtues,,Q686919,Work
Dome Frescoes (Sant'Agnese in Agone),,Q1192577,Work
Domenico Darmanno,,,Person
Domenico Lionati da Fanano,,,Person
Domenico Pompeati,,,Person
Domenico da Isnello,,,Person
Drawings of Sagredo Family Members,,,Work
Dream of St Joseph,,,Work
Duchess of Bagnara,,,Person
Duchess of Savoy,,,Person
Duplex Intercessio,,,Work/Concept
Dutch artists,,,Group
Edoardo Lombardo,,,Person
Eleonora Zambeccari,,,Person
Elisa Carandini,,Q15997310,Person
Elisabetta Antoniazzi Rossi,,,Person
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,,Work
Enea Arnaldi / Lodovico Arnaldi?,,,Person
Enea Silvio Caprara,,Q255150,Person
English patronage,,,Concept
Entrance of Procurator Giorgio Pisani,,,Place
Entry of the Count of Colloredo,,,Work
Estella Brunetti,,,Person
Etchings of Oriental-style Heads,,,Work
European scientific societies,,Q1376851,Group/Concept
Exhibition of S. Rocco,,,Event
Fabio de Fabiis,,,Person
Facade of Santa Maria del Giglio,,,Work
Faith crushing Idolatry,,,Work
Fame Carrying the Name of Louis XIV...,,,Work
Fame inscribing the glories of Louis XIV...,,,Work
Fantastical Heads in the Manner of Giorgione,,,Work
Faustina Savorgnan,,,Person
Federico Correr Lorenzetti,,,Person
Flemish artists in Rome,,,Group
Flight of Aeneas from Troy,,,Work
Fondamenta Foscarini,,,Place
Fortune under the control of Virtue,,,Work
"Fortune under the control of Virtue, Justice and Peace",,,Work
Francesco Catalano,,Q16234947,Person
Francesco Girolamo Nappi,,Q39074429,Person
Francesco Griseri,,,Person
Francesco Mengardi,,,Person
Francesco Panciatichi,,,Person
Francesco Rosichino,,,Person
Francesco Scaramuccia,,,Person
French hostility to Italian art (17th c.),,,Concept
French patronage,,Q3884394,Concept
Fresco on staircase of Hampton Court Palace,,,Work
Frescoes in Lanfranco Chapel (Modena Cathedral),,,Work
Frescoes in Sant'Andrea della Valle,,Q1631593,Work
Frescoes in the Corsini Chapel,,,Work
Frescoes in the Palazzo Doria Pamphilj (Valmontone),,,Work
Gabriele Balestrieri,,,Person
Gabriele Emo / Giovanni Emo,,,Person
Gaetano Majorano (Caffarelli),,,Person
Galleria Giustiniani,,Q4813374,Work/Place
Galleria L'Antonina,,,Place
Gallery of the Aeneid (Palazzo Buonaccorsi),,,Place
"Gaspar de Haro, 7th Marquess of Carpio",,Q380763,Person
Gaspare Partridge,,,Person
Gaspare Patriarch,,,Person
Gasparo Altieri,,,Person
"George ""Dadie"" Rylands",,Q5208082,Person
Gerard van der Bos,,,Person
German patronage,,,Concept
Gesuati (Order) / Santa Maria del Rosario (Gesuati),,,Group/Place
Gherardo Sagredo,,,Person
Giacomo della Lena,,,Person
Giambattista Biffi,,,Person
Giovanelli Collection,,,Organization/Group
Giovanni Andrea Armanni,,,Person
Giovanni Angelo da Camerino,,Q3106999,Person
Giovanni Antonio Armanni,,,Person
Giovanni Battista Fontanella,,,Person
Giovanni Domenico Brustoloni,,,Person
Giovanni Francesco Sacchetti,,,Person
Giovanni Gasparo Baldoini,,,Person
Giovanni Stefano Roccatagliata,,,Person
Giovanni de' Cattanei,,Q233178,Person
Girolamo Garganego,,,Person
Girolamo Teodoli,,Q5552392,Person
Giulia Maidalchini,,,Person
Giuliano Colonna (Prince of Stigliano),,,Person
Giuliano Vacchelli,,,Person
Giulio della Greca,,,Person
Giuseppe Angelo Maria Carron (Marquis of Aigueblanche),,,Person
Giuseppe Antonio Lotti,,Q168345,Person
Giuseppe Chiari / Tommaso Chiari,,Q3107986,Person
Giuseppe Fochessati,,,Person
Giuseppe Lorenzo Moncallero,,,Person
Giuseppe Toninotto,,,Person
Giuseppe de Rosis,,Q15812370,Person
Gloria Chiarini de Anna,,,Person
Glorification of the Pisani Family,,,Work
Glory of Venice,,,Concept/Work
God creating the Angels / Parnassus,,,Work
Gordon Albion,,,Person
Gran Tempio Antico,,,Work
Grassi Collection,,,Organization/Group
Great Witley Church (St Michael and All Angels),,,Place
Guidalocti Franchini,,,Person
Habsburg Collections (Prague),,,Organization/Group
Habsburg Patronage,,,Concept
Hans Albrecht von Derschau?,,,Person
Hebrew Women singing after crossing the Red Sea,,,Work
Heroes approaching the Temple of Immortality,,,Work
Hilda Finberg,,,Person
Historic e di Maniera Veneziana,,,Concept
Hugues-Humbert Servien,,,Person
"Illustration for ""Newtonianismo per le dame""",,,Work
Illustrations for De Bello Belgico,,,Work
Illustrations for Latin Poems,,,Work
Images of Palladian Architecture,,Q264649,Work
Imago Primi Saeculi Societatis Jesu,,,Work
Indecency in art,,,Concept
Influence of late 17th-century wars on art patronage,,,Concept
Interior of Sant'Andrea al Quirinale,,Q1354667,Work
Jacopo Pedozzi,,,Person
Jacques Duyvelant,,,Person
Jacques Tubeuf,,,Person
Jesuit Archives,,,Place/Organization
Johann Adalbert Veith,,,Person
"Johann Georg III, Elector of Saxony",,Q454483,Person
"Johann Wilhelm, Elector Palatinate",,Q64266,Person
John Breval,,Q3181013,Person
Joint caricature of Simonelli and Mola,,,Work
"Juan de Tassis y Peralta, 2nd Count of Villamediana",,Q4111408,Person
"Juno, Goddess of Air",,,Work/Person
Jupiter among the Corybantes,,,Work
Jupiter giving Suck,,,Work
Jupiter handed over by Cybele to the Corybantes,,,Work
Jupiter sending down his Thunderbolts,,,Work
Justinus (Historian) / Justin Martyr,,,Person
King Solomon Bathing,,,Work
King's College Library,,Q245247,Place
L'Inondazione del Tevere,,,Work
L'Osservatore Veneto,,,Work
"La Beata Vergine in Egitto, e S. Giuseppe",,,Work
La Burla del Piovano Arlotto,,,Work
La Chiesa di Gesù Cristo vendicata...,,,Work
La Galleria di Minerva,,,Work
La rissa all'Ambasciata di Spagna,,,Work
Labia Collection,,,Organization/Group
Le Arti che vanno per via nella città di Venezia,,,Work
Le Fabbriche e Vedute di Venetia,,,Work
Leonardo Pasqueti,,,Person
Leonardo Pasquetti,,,Person
Leonardo Pesaro,,Q6526057,Person
Leonardo Valmarana,,Q58242549,Person
Leto turning the Shepherds into Frogs,,,Work
Lita-Rose Betcherman,,,Person
Lodovico Gabrielli,,,Person
Lodovico Rezzonico,,Q1052171,Person
Lorenzo del Rosso,,,Person
Luca Bartolotti,,,Person
Luca Ombrosi,,,Person
Lucchese Community,,Q281284,Group
Lucien Marcheix,,,Person
Luigi Teodoli,,,Person
M. de Bordeaux,,Q37878,Person
Marchands-amateurs,,,Concept
Marchese Raggi,,,Person
Marchese Ruspoli,,,Person
Marchigian town,,,Place
Marguerite Calberg,,,Person
Maria Elena Ghelli,,,Person
Maria Pamphilj,,Q1203458,Person
Mario D'Orsi,,,Person
Mark Samuel Weil,Q125296744,,Person
Marriage Allegory of the Rezzonico Family,,,Work
Martirii patiti dai Santi Martiri per la confessione di Cristo,,,Work
Martyrdom of Saint John the Bishop,,,Work
María Antonieta Gatas,,,Person
Matteo da Città di Castello,,Q729485,Person
Matteo del Teglia,,,Person
Mattia Rosichino,,,Person
Medici Villa of Poggio a Caiano,,Q733389,Place
Mercury awaking Aeneas,,,Work
Michele Lauretano,,,Person
Mina Pajes Merriman,,,Person
Mississippi Gallery,,Q15961641,Organization
Modello for the Apotheosis of St Ignatius,,,Work
Modello for the Glory of St Aloysius Gonzaga,,,Work
Mola painting the portrait of Pope Alexander VII,,,Work
Monsieur de Saint-Sauveur,,,Person
Monsignor Olivieri,,,Person
Monument to Doge Giovanni Pesaro,,,Work
Monument to Pope Gregory XV,,Q132692,Work
Monument to the 1st Duke of Marlborough,,Q153803,Work
Moses Trampling on Pharaoh's Crown,,,Work
Mostra dei Remondini,,,Event
Mostra del Tiepolo,,,Event
Mourners at Tomb of Francesco Algarotti in Pisa,,,Work
Mucius Scaevola at the Altar,,,Work
Murals at Windsor Castle,,Q42646,Work
Murals for the Vienna Residence,,,Work
Museo della Torre di San Marco,,,Organization
Napoleonic government,,Q151060,Organization
Naudaeana,,,Work
Nepotism in Rome,,,Concept
Neptune Paying Homage to Venice,,,Work
Nero being shown the Corpse of Seneca,,,Work
Niccolò Melanconici,,,Person
Nicola del Rosso,,,Person
Officium Beatae Mariae Virginis,,,Work
Oratory/Church of Santa Cecilia (Bologna),,Q17013094,Place
Orazio Marucelli,,,Person
Oriental Customs,,Q1251541,Work
Oriental Heads,,Q2099338,Work
Original proposals for reclaiming Prato della Valle,,,Work
Osvaldo Böhm Photograph Collection,,,Work
Ottavio Novaroli,,,Person
"Où sont des pasteurs, des bergères et des moutons",,,Work
P. Carlo de' Conti Lodoli Veneziano forse il Socrate Architetto,,,Work
Padre Massimo,,,Person
Paintings for the Church in Salamanca,,,Work
Palazzo Buonaccorsi Art Collection,,Q262019,Concept
Palazzo Taddeo,,,Place
Palazzo Zenobio,,,Place
Paola Berselli Ambri,,,Person
Paolo Maccarani,,,Person
Patron-artist relationship,,,Concept
Pendentive Frescoes of the Church of the Gesù,,,Work
Philippe Zygodon,,,Person
Pierre Motteux and his Family,,,Work
Pietro Antonio Toni,,,Person
Pietro Zuccoli,,,Person
Pinacoteca Nazionale di Lucca,,,Organization
"Pope Pius V, St Thomas Aquinas, and St Vincent Ferrer",,,Work
Portrait of Field Marshal Schulenburg,,,Work
Portrait of Madame Rosenberg,,,Work
Portrait of Streit's Father,,,Work
Portrait of Streit's Mother,,,Work
Portrait of Streit's Sister,,,Work
Portrait of the Queen of Prussia,,,Work
Portraits of Venetian Cardinals,,,Work
Portraits of Venetian Popes,,,Work
Portraits of the Doges of Venice,,Q17637706,Work
Presenzini Cigoli,,,Person
Prices paid to artists,,,Concept
Prince Peretti,,,Person
Prince Pio di Savoia,,Q5479509,Person
Princess of Rossano,,,Person
Procuratore Canale,,,Person
Prospero Pesci,,,Person
Provincial centres of art patronage,,,Concept
Publishers in Venice,,,Group
Quadri che rappresentano fatti della Sacra Scrittura,,,Work
Queen Jezebel Being Punished by Jehu,,,Work
Raccolta di centododici stampe...,,,Work
Raphael Loggias,,,Place
Reception of Landscapes,,,Concept
Relief of Field Marshal Schulenburg,,,Work
Religion Overthrowing Heresy,,,Work
Religious Decorations at Whitehall,,,Work
Remondini family,,Q3932513,Group
Ritratto con cristallo,,,Work
Robert Alexander Waller Fund,,,Organization
Rococo Pavilion,,,Place
Rosalba Lorenzetti,,,Person
Ruins of the Church of the Cross,,,Work
Sacrifices to Priapus,,,Work
Samson Slaying a Thousand with the Jawbone of an Ass,,,Work
San Niccolò al Lido,,Q379102,Place
Saverio Savini,,,Person
Scenes from the Life of Scipio Africanus,,,Work
Scenes of Christian Warfare,,,Work
Scenes of Venetian Noble Life,,,Work
School of Carlo Cignani,,Q239980,Group
Schönborn family,,Q872801,Group
Sculptures for the Cathedral,,,Work
Scuola Grande dei Carmini / Carità?,,,Place
Sebastiano Marcotti,,,Person
Sebastiano Molino,,,Person
Self-Portrait as Winter,,Q2546309,Work
Series of Egyptian Figures,,,Work
Series of Etruscan Phallic Symbols,,,Work
Service de Documentation Photographique des Musées Nationaux,,,Organization
Servizio particolare,,,Concept
Sheila Rinehart,,,Person
Silvia Meloni Trkulja,,,Person
Sketch for Venus at the Forge of Vulcan,,,Work
Social position of the artist,,,Concept
Social significance of painting,,,Concept
Social status of artists,,,Concept
Soderini family,,Q6806668,Group
Soprintendenza alle Gallerie,,,Organization
Spanish patronage,,,Concept
St Stanislaus Kostka on his Deathbed,,,Work
Stamperia Albrizzi,,,Organization
State Inquisition,,Q43173,Organization
Statue of Field Marshal Schulenburg,,,Work
Statue of Hercules killing the Hydra,,,Work
Statues of the Apostles (Lateran),,,Work
Status-seeking (Concept),,,Concept
Stefano Sagredo,,,Person
Stoicism in 17th century,,,Concept
Strada Emanuele,,,Place
Strength protecting Wisdom,,,Work
Study for the Fountain of the Four Rivers,,,Work
Sulla maniera di Zorzone,,,Work
Tarantella Dancers,,Q324617,Work
Tavole Barberini,,,Work
Teodora dal Pozzo,,,Person
Teresa Maria Marcellino,,,Person
The Adoration of the Mystic Lamb,,Q7605295,Work
The Arrival at the Palace,,,Work
The Assumption of St Aloysius Gonzaga,,,Work
The Capture of Syracuse with the Death of Archimedes,,,Work
The Death of St Francis Xavier,,Q27979751,Work
The Ecstasy of Saint Margaret of Cortona,,Q85758544,Work
The Emperor Augustus Closing the Doors of the Temple of Janus,,Q72671544,Work
The Four Continents paying homage to Karl Philip von Greiffenklau,,,Work
The Glorification of the Trinity with the Adoration of the Instruments of Passion,,,Work
The Glory of Saint Aloysius Gonzaga,,,Work
The Glory of St Dominic,,,Work
The Infant Jupiter handed over by Cybele to the Corybantes,,,Work
The Institution of the Rosary,,,Work
The Life of Saint Ursula,,Q605725,Work
The Power of Eloquence,,,Work
The Rehearsal of an Opera,,,Work
The Revolt of Masaniello,,,Work
The Sala Grande of the Ridotto (Palazzo Dandolo),,,Place
The Stoning of Zechariah,,Q492091,Work
The Three Angels Visiting Abraham,,,Work
The Virgin Giving the Habit to Saint Teresa,,,Work
The War between the Romans and the Sabines,,,Work
Third Colonnade for St. Peter's Square,,,Work
"Three Dominican Saints: Vincent, Hyacinth and Lawrence",,,Work
Three Portraits of Dogs,,,Work
Tiberio Roberti,,,Person
Tiepolo's Etchings,,,Work
Titles granted to artists,,,Concept
Twelve Watercolors of Venetian Women,,,Work
Two Baskets of Fruit and Flowers,,,Work
Ufficio dell'Assessore Comunale alle Belle Arti,,,Organization
Uffizi / Pitti (Gallerie Fiorentine),,,Place
Un trionfo d'armi,,,Work
Valerio Antonio Zarzabini,,,Person
Valerio Vanetti,,,Person
Venetian artists in 18th-century Paris,,,Group
Venetian artists in Madrid,,,Group
Venetian artists in St Petersburg,,,Group
Venetian painting in Moscow,,Q610687,Concept
Ventura Carrara,,,Person
Ventura Furlani,,,Person
Ventura Rossi,,,Person
Venus Leaving the Bath,,,Work
Via de' Giubbonari,,,Place
View of Venice: The Doge's Palace,,,Work
Vigilia di San Pietro,,,Event
Villa Altichiero,,,Place
Vincenzo Radicchio,,,Person
Vincenzo da Canal,,,Person
Virgin Protecting the City of Spoleto,,,Work
Viterbo / Moroni,,,Place/Person
William Chandler Kirwin,,,Person
"William Cowper, 1st Earl Cowper / The Cowper Madonna?",,,Person/Work
Wirich Philipp von Daun / Leopold Joseph von Daun,,,Person
Woman Playing a Musical Instrument,,Q78161748,Work
Women Washing their Laundry at a Fountain,,,Work
Würzburg Residence Frescoes,,Q156316,Work
Youth Rescued from the Pleasures of Venus,,,Work
Zenobio family,,,Group
