Refined_Formal_Name,Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,Second-Query_Label,保留 QID,保留原因
Pietà (Cosmè Tura),Q48808515,图拉的《圣母怜子》,Q3904404,艺术题材：圣母怜子,Pietà,Q48808515,指代特定的收藏杰作。
Plutarch,Q41523,古希腊史学家普鲁塔克,Q3906811,艺术中的普鲁塔克,Plutarch,Q41523,其《名传》为巴洛克历史画提供了大量素材。
Polyxena,Q750236,特洛伊公主波吕克塞娜,Q10350964,无明确描述,Polyxena,Q750236,常出现在“波吕克塞娜的牺牲”这一绘画题材中。
Pompeo Litta Biumi,Q3907875,18-19世纪史学家、著名藏家,Q112115761,无明确描述,Pompeo Litta Biumi,Q3907875,确认为著名收藏家族成员。
Portrait of Camillo Massimi,Q2935136,委拉斯开兹创作的马西米肖像,Q124385170,艺术作品描述,Portrait of cardinal Camillo Massimi,Q2935136,确认为 17 世纪最重要的赞助人肖像画之一。
Portrait of Clement IX,Q119075275,巴奇乔创作的克雷芒九世肖像,Q51212996,描述项,Portrait of Pope Clement IX,Q119075275,对应特定教皇的官方艺术记录。
Portrait of Three Musicians,Q124218016,加布里埃利创作的美第奇宫廷乐师肖像,Q104691454,无明确描述,Portrait of Three Musicians,Q124218016,反映美第奇家族宫廷生活的纪实艺术。
Priapus,Q206878,生殖之神普里阿普斯,Q106398256,无明确描述,Priapus,Q206878,园林雕塑和古董收藏中常见的题材。
Prometheus,Q10354546,普罗米修斯（神话人物）,Q106777102,艺术作品中的普罗米修斯,Prometheus,Q10354546,艺术题材的本体。
Prospero Colonna,Q1392133,16世纪著名的佣兵首领（科隆纳家族）,Q3924128,无明确描述,Prospero Colonna,Q1392133,确认为科隆纳家族赞助传统中的核心人物。
Provence,Q101081,法国普罗旺斯地区,Q70450,无明确描述,Provence,Q101081,涉及法意艺术交流的地理节点。
Rebecca,Q40520,圣经人物利百加,Q503607,艺术中的利百加,Rebecca,Q40520,常见于“井边的利百加”这一巴洛克绘画题材。
Rest on the Flight into Egypt,Q60469737,卡拉瓦乔的《逃往埃及途中的休息》,Q20175244,艺术题材：圣家在逃亡中休息,Rest on the Flight into Egypt,Q60469737,指代特定的巴洛克先驱杰作。
Resurrection of Christ,Q18573503,特定教堂内的复活图壁画,Q677682,复活（宗教题材）,Resurrection of Christ,Q677682,描述通用的赞助主题。
Robert Dingley,Q19043520,18世纪英国商人、慈善家,Q18527207,无明确描述,Robert Dingley,Q19043520,涉及后期伦敦与意大利的艺术贸易。
Roger Jones,Q7358423,第一代雷内拉子爵（英国赞助人）,Q19997588,无明确描述,Roger Jones,Q7358423,确认为英国贵族藏家。
Roger Morris,Q370192,英国帕拉第奥式建筑师,Q20734372,无明确描述,Roger Morris,Q370192,书中涉及英式园林与建筑赞助的关键人物。
Romania,Q218,罗马尼亚（国家）,Q18487313,无明确描述,Romania,Q218,除非特定语境，否则通常指代地理/政治实体。
Saint Andrew,Q2391916,圣安德烈（使徒）,Q77959687,艺术中的圣安德烈,Saint Andrew,Q2391916,艺术创作中的宗教本体。
Saint Joseph,Q128267,圣约瑟夫（圣家成员）,Q680071,艺术中的圣约瑟夫,Saint-Joseph,Q128267,艺术创作中的宗教本体。
Saint Paul,Q9200,圣保罗,Q316887,艺术中的圣保罗,Saint-Paul,Q9200,艺术创作中的宗教本体。
Saint Philip Neri,Q217791,圣菲利普·内里（司铎会创始人）,Q75426461,艺术中的内里,Saint Philip Neri,Q217791,17世纪罗马艺术最重要的精神引导者与赞助背景。
Saint Sebastian,Q183332,圣塞巴斯蒂安,Q3947947,艺术中的圣塞巴斯蒂安,Saint Sebastian,Q183332,巴洛克绘画中最常见的男性殉道题材。
Salvino Salvini,Q3946279,17-18世纪雕塑家,Q13415683,无明确描述,Salvino Salvini,Q3946279,确认为活跃在佛罗伦萨的艺术家。
Samuel Hill,Q28955153,18世纪英国收藏家,Q107435955,无明确描述,Samuel Hill,Q28955153,与威尼斯画家（如卡纳莱托）有直接委托关系的英国藏家。
San Gaetano,Q764060,圣加耶塔诺（戴蒂尼会创始人）,Q16540121,艺术作品中的加耶塔诺,San Gaetano,Q764060,17世纪圣人崇拜与教堂装饰的核心主题。
San Giovanni Decollato,Q1255741,罗马圣若望洗者斩首教堂,Q3904610,无明确描述,San Giovanni Decollato,Q1255741,确认为涉及佛罗伦萨侨民赞助的重要教堂。
San Salvador,Q1028202,威尼斯圣救主堂,Q3110,萨尔瓦多国家,San Salvador,Q1028202,确认为提香等大师创作祭坛画的威尼斯教堂。
San Sebastiano,Q588559,威尼斯圣塞巴斯蒂安堂,Q56323344,艺术描述项,San Sebastiano,Q588559,确认为委罗内塞装饰计划的赞助中心。
Santa Maria Assunta,Q585738,威尼斯耶稣会教堂（嘉苏伊提教堂）,Q55189263,无明确描述,Santa Maria Assunta,Q585738,书中涉及后期巴洛克装饰盛况的关键地点。
Santa Maria Formosa,Q1813687,威尼斯圣玛利亚圣形堂,Q65129859,无明确描述,Santa Maria Formosa,Q1813687,确认为威尼斯本地家族赞助的典范。
Santa Maria Maddalena,Q1784984,佛罗伦萨抹大拉的马利亚教堂,Q449424,无明确描述,Santa Maria Maddalena dei Pazzi,Q449424,确认为书中涉及帕齐家族赞助的具体场所。
Santa Maria Maggiore,Q2001128,罗马圣母大殿（巴西利卡）,Q1304828,无明确描述,Santa Maria Maggiore,Q2001128,确认为教皇赞助与葬礼艺术的核心地。
Santa Maria del Popolo,Q869513,罗马人民圣母教堂,Q3673755,无明确描述,Santa Maria del Popolo,Q869513,确认为拥有卡拉瓦乔、奇吉小堂等杰作的赞助重地。
Santa Maria della Pietà,Q1559661,威尼斯怜悯圣母堂（皮耶塔教堂）,Q45813490,无明确描述,Santa Maria della Pietà,Q1559661,涉及威尼斯音乐赞助与维瓦尔第的背景。
Santa Maria della Salute,Q52531,威尼斯安康圣母大殿,Q3673912,无明确描述,Santa Maria della Salute,Q52531,威尼斯巴洛克建筑赞助最宏大的成果。
Santa Maria della Vittoria,Q863593,罗马胜利圣母教堂,Q2051448,无明确描述,Santa Maria della Vittoria,Q863593,确认为贝尼尼《圣德列萨的狂喜》所在地。
Santa Maria di Loreto,Q461997,罗马洛雷托圣母堂,Q120257208,无明确描述,Santa Maria di Loreto,Q461997,涉及罗马面包师行会等赞助组织的场所。
Santa Prassede,Q733890,罗马圣普拉塞德教堂,Q111842579,无明确描述,Santa Prassede,Q733890,拥有重要中世纪及巴洛克装饰的赞助遗址。
Santi Apostoli,Q1515300,罗马十二圣徒教堂,Q118984026,无明确描述,Santi Apostoli,Q1515300,确认为科隆纳家族的传统赞助地。
Santissima Annunziata,Q2287001,佛罗伦萨圣母领报大殿,Q25112887,无明确描述,Santissima Annunziata,Q2287001,确认为托斯卡纳最重要的艺术与宗教赞助中心。
Santo Stefano Rotondo,Q916860,罗马圣斯德望圆型堂,Q919456,无明确描述,Santo Stefano Rotondo,Q916860,拥有著名巴洛克殉道者系列画作的赞助地。
Scipione Maffei,Q1587432,18世纪著名的维罗纳学者、赞助人,Q3831958,无明确描述,Scipione Maffei,Q1587432,书中涉及威尼托地区启蒙运动与艺术赞助的领袖。
Sebastiano Ricci,Q506483,著名的威尼斯巴洛克画家,Q26878812,无明确描述,Sebastiano Ricci,Q506483,确认为将威尼斯风格传播至全欧的大师本体。
Sergio Ortolani,Q59525924,20世纪艺术史学家,Q60786953,无明确描述,Sergio Ortolani,Q59525924,确认为书中引用的学术参考文献作者。
Sforza Pallavicino,Q1618919,17世纪枢机、艺术理论家及史学家,Q47482530,无明确描述,Sforza Pallavicino,Q1618919,贝尔里尼与贝尔里等人的重要支持者与知交。
Simone Buonaccorsi,Q3484548,18世纪枢机赞助人,Q109806863,无明确描述,Simone Buonaccorsi,Q3484548,符合 18 世纪意大利教廷赞助人的身份。
Sisera,Q976765,西西拉（迦南将领）,Q76421887,艺术中的西西拉,Sisera,Q976765,见于“雅亿杀死西西拉”这一常见的巴洛克绘画题材。
Solomon's Temple,Q223644,所罗门圣殿,Q26627670,无明确描述,Solomon's Temple,Q223644,艺术赞助中常用的建筑神圣原型与象征。
Sotheby's,Q654762,苏富比拍卖行,Q121057985,无明确描述,Sotheby's,Q654762,涉及巴洛克作品在现代市场的流转地。
St. Paul's Cathedral,Q173882,伦敦圣保罗大教堂,Q2441417,无明确描述,St. Paul's Cathedral,Q173882,英国巴洛克时期最重要的公共建筑赞助工程。
St. Peter's Square,Q21016226,梵蒂冈圣彼得广场,Q23940745,艺术表现项,St. Peter's Square,Q21016226,确认为教皇赞助史上最伟大的城市规划成果。
Stefano Conti,Q4026944,18世纪威尼斯著名的商人与赞助人,Q57909808,无明确描述,Stefano Conti,Q4026944,卡纳莱托的重要早期资助人，书中重点研究对象。
Stefano Landi,Q381943,17世纪作曲家（巴贝里尼宫廷）,Q48096814,无明确描述,Stefano Landi,Q381943,涉及巴洛克歌剧赞助与表演艺术。
Strada Nuova,Q18443331,热那亚“新街”（现加里波第街）,Q3499946,无明确描述,Strada Nuova,Q18443331,确认为热那亚贵族兴建艺术府邸的中心区域。
Syrinx,Q846129,绪任克斯（希腊神话宁芙）,Q16992917,无明确描述,Syrinx,Q846129,艺术中“潘与绪任克斯”题材的本体。
Ségala,Q3510536,现代学者/研究者,Q3510535,无明确描述,Ségala,Q3510536,确认为相关的现代文献作者。
Teatro Farnese,Q1507811,帕尔马法尔内塞剧院,Q111916404,无明确描述,Teatro Farnese,Q1507811,巴洛克剧院建筑与庆典赞助的杰出代表。
Temple Newsam,Q2748017,利兹的一座都铎/雅各宾式庄园,Q55466781,无明确描述,Temple Newsam,Q2748017,确认为英国收藏意大利艺术的重要场所。
The Abduction of Helen,Q118876935,圭多·雷尼的《掠夺海伦》,Q99476590,艺术题材描述,The Abduction of Helen,Q118876935,指代书中讨论的特定外交馈赠名作。
The Adoration of the Magi,Q2489939,东方三博士来朝（艺术题材）,Q28027599,无明确描述,The Adoration of the Magi,Q2489939,描述通用的巴洛克祭坛画主题。
The Banquet of Cleopatra,Q16741676,提埃坡罗的《克利奥帕特拉的盛宴》,Q18167078,无明确描述,The Banquet of Cleopatra,Q16741676,确认为 18 世纪威尼斯壁画赞助的顶峰作品。
The Baptism of Christ,Q19911646,基督受洗（宗教艺术题材）,Q134436450,无明确描述,The Baptism of Christ,Q19911646,描述通用的宗教赞助主题。
The Choice of Hercules,Q283665,赫拉克勒斯的选择（艺术题材）,Q118993578,无明确描述,The Choice of Hercules,Q283665,确认为巴洛克寓言绘画中极具道德说教意义的题材。
Conversion of Saint Paul,Q1448203,卡拉瓦乔的《圣保罗的归化》,Q19364829,归化（宗教题材）,The Conversion of Saint Paul,Q1448203,指代书中涉及卡拉瓦乔风格争议的代表作。
The Death of Cleopatra,Q12899375,奎多·卡尼亚齐的《克利奥帕特拉之死》,Q15622804,描述项,The Death of Cleopatra,Q12899375,指代特定的收藏杰作。
The Death of Lucretia,Q20529027,卢克雷齐娅之死（艺术题材）,Q51162654,无明确描述,The Death of Lucretia,Q20529027,对应巴洛克时期流行的悲剧历史画题材。
Entombment of Christ,Q1213151,基督下葬（宗教艺术题材）,Q6121364,无明确描述,The Entombment of Christ,Q1213151,指代此类宗教赞助的主题。
The Great Flood,Q124436027,普桑或多梅尼基诺的《大洪水》,Q118397664,艺术题材描述,The Great Flood,Q124436027,指代书中讨论的巴洛克宏大历史风景画。
The Holy Family,Q427390,圣家（宗教艺术题材）,Q17347632,无明确描述,The Holy Family,Q427390,描述私密性收藏中最常见的宗教主题。
The Judgment of Paris,Q19911452,帕里斯的裁判（神话题材）,Q20354950,鲁本斯或洛兰的作品,The Judgment of Paris,Q19911452,描述通用的艺术创作主题。
