SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
226,Pietro Bellotti,Q1111180,17-18世纪威尼斯画家（1625-1700），以描绘老人的肖像画闻名。,Q3903693,另一同名画家。,Q1111180,标准：活跃年代。 契合威尼斯晚期巴洛克的赞助背景。
227,Pietro Gradenigo,Q108867130,18世纪威尼斯著名的鉴赏家与文献学家，其日记是研究当时赞助状况的基石。,Q723300,威尼斯总督（13世纪）。,Q108867130,标准：年代与职业。 指向 18 世纪对艺术史研究至关重要的本体。
228,Pietro Romano,Q85820871,文艺复兴时期罗马的雕塑家，参与了教廷大型装饰工程。,Q133280575,现代记录。,Q85820871,标准：职业契合。 指向相关的执行方艺术家。
229,Pietà (作品),Q48808515,费拉拉画家 Cosmè Tura 为费拉拉宫廷赞助人创作的《圣母怜子》，现藏于威尼斯。,Q3904404,描述不详或其他画作。,Q48808515,标准：具体性。 指代特定的、具有高度原创性的受托作品。
230,Plutarch,Q41523,古希腊史学家。其《比较列传》是 17 世纪历史画与英雄题材的主要灵感源。,Q3906811,相关的文学评论。,Q41523,标准：题材源头。 指向文人/历史人物本体。
231,Polyxena,Q750236,希腊神话题材。特指由于受托表现牺牲美德而常见的《波吕克塞娜的牺牲》。,Q10350964,相关的文学描写。,Q750236,标准：题材本体。 指向神话人物本体。
232,Pompeo Litta Biumi,Q3907875,18-19世纪米兰贵族、著名的历史学家与艺术收藏家，利塔家族成员。,Q112115761,相关的家族记录。,Q3907875,标准：赞助人身份。 确认为显赫家族的收藏之主。
233,Portrait of Cardinal Camillo Massimi,Q2935136,委拉斯开兹 (Velázquez) 1650 年受托创作的名作，现藏于金贝尔艺术博物馆。,Q124385170,马西米枢机的另一幅肖像。,Q2935136,标准：艺术史地位。 确认为巴洛克肖像画中最具代表性的赞助成果。
234,Portrait of Pope Clement IX,Q119075275,1669年卡洛·马拉塔 (Carlo Maratta) 为教皇克莱蒙九世（罗斯皮利奥西家族）创作的肖像。,Q51212996,贝尼尼创作的同名肖像。,Q119075275,标准：正式更名。 在绘画类别中，马拉塔的这一版是该教皇形象的官方定义。
235,Portrait of Three Musicians of the Medici Court,Q124218016,1687年安东·多梅尼科·加比亚尼为费迪南多·德·美第奇创作的杰作。,Q104691454,描述见上。,Q124218016,标准：正式作品名。 指向美第奇家族晚期赞助中最具代表性的群像。
236,Priapus,Q206878,希腊神话生殖之神。常在受托的花园装饰雕塑中出现。,Q106398256,相关记录。,Q206878,标准：题材本体。 指向神话实体。
237,Prometheus,Q106777102,普罗米修斯。在巴洛克时期常受托作为人类文明起源的象征。,Q10354546,其他记录。,Q106777102,标准：题材本体。 指向神话英雄本体。
238,Prospero Colonna,Q3924128,16世纪意大利统帅，科隆纳家族的艺术与工程赞助人。,Q1392133,其他人物。,Q3924128,标准：身份。 指向核心家族的赞助主体。
239,Provence,Q101081,法国普罗旺斯地区。18世纪景观画中常见的地域题材。,Q70450,其他行政描述。,Q101081,标准：地理本体。 指向核心历史地理区划。
240,Rebecca,Q40520,圣经人物。在“利百加与以利亚撒在井边”等受托画作中是主角。,Q503607,其他。,Q40520,标准：题材本体。 指向圣经人物实体。
241,Rest on the Flight into Egypt (作品),Q60469737,卡拉瓦乔 (Caravaggio) 为多利亚·潘菲利家族受托创作的名作。,Q20175244,相关的圣经故事概念。,Q60469737,标准：具体性。 在赞助背景下指代特定的里程碑作品实体。
242,Resurrection of Christ (作品),Q18573503,皮耶罗·德拉·弗朗切斯卡为圣塞波尔克罗受托创作的巅峰湿壁画。,Q677682,抽象的复活概念。,Q18573503,标准：正式作品名。 指向具有极高赞助与研究价值的艺术实物。
243,Robert Dingley,Q19043520,18世纪英国商人和收藏家，玛格达琳医院的创办人。,Q18527207,不同描述。,Q19043520,标准：赞助人角色。 确认为 18 世纪重要的社会与慈善赞助者。
244,Roger Jones,Q19997588,17-18世纪英国政治家，其肖像曾受托创作。,Q7358423,不同人物。,Q19997588,标准：身份契合。 指向当时活跃的肖像委托方。
245,Roger Morris,Q370192,18世纪英国著名的帕拉第奥风格建筑师，受托设计多处贵族别墅。,Q20734372,相关的肖像。,Q370192,标准：职业。 指向建筑师（执行方）本体。
246,Romania,Q18487313,抽象地区或记录。,Q218,罗马尼亚国家本体。,Q218,标准：地理本体。 在现代记录中通常指代该国家核心条目。
247,Saint Andrew,Q77959687,圣安德烈，使徒。在受托的祭坛画中常作为主赞助人的守护神。,Q2391916,相关的画作。,Q77959687,标准：题材本体。 指向圣人实体，用于关联各种“守护神”委托。
248,Saint Joseph,Q128267,圣约瑟。反宗教改革时期最受推崇的家庭价值赞助题材。,Q680071,相关的画作标题。,Q128267,标准：题材本体。 指向圣人实体。
249,Saint Paul (人物),Q9200,使徒保罗。宗教艺术赞助中最核心的使徒形象。,Q316887,相关的艺术作品。,Q9200,标准：实体层级。 确认为神话/历史人物本体。
250,Saint Philip Neri,Q217791,圣菲利波·内里，罗马的守护神之一。其创立的司铎祈祷会是 17 世纪最重要的艺术赞助机构之一。,Q75426461,相关的视觉描写。,Q217791,标准：身份影响力。 指向圣人及修会领袖本体。
251,Saint Sebastian (人物),Q3947947,圣塞巴斯蒂安。在描写瘟疫与保护的赞助契约中最为频见。,Q183332,特指某幅画。,Q3947947,标准：题材本体。 指向圣人实体。
252,Salvino Salvini,Q3946279,18世纪意大利语言学家与赞助人，美第奇家族的学者顾问。,Q13415683,雕塑家。,Q3946279,标准：身份。 指向 18 世纪活跃在赞助文献领域的文人。
253,Samuel Hill,Q28955153,18世纪英国著名的金匠与赞助人，参与了大量装饰艺术的委托。,Q107435955,其他记录。,Q28955153,标准：职业角色。 指向当时重要的工匠赞助者。
254,San Gaetano,Q764060,佛罗伦萨的圣卡耶坦教堂，其内饰是巴洛克戏剧化赞助的典范。,Q16540121,相关的画作。,Q764060,标准：建筑本体。 确认为重要的建筑赞助项目。
255,San Giovanni Decollato,Q1255741,罗马的被斩首圣若翰洗者教堂。其内部由皮翁博等受托创作了大量名作。,Q3904610,相关的描述。,Q1255741,标准：建筑地位。 指向重要的修会赞助载体。
256,San Salvador,Q1028202,威尼斯的圣救主教堂。保存有提香受托创作的晚期杰作。,Q3110,不同名字。,Q1028202,标准：建筑本体。 指向威尼斯的核心赞助场所。
257,San Sebastiano,Q588559,威尼斯的圣塞巴斯蒂安教堂，其内饰是委罗内塞毕生的赞助高峰。,Q56323344,相关的画作。,Q588559,标准：建筑本体。 指向代表性的整体装饰赞助项目。
258,Santa Maria Assunta,Q585738,多处名为圣母升天的教堂。通常指受教皇赞助的重要巴洛克建筑。,Q55189263,其他。,Q585738,标准：建筑分类。 指向相关的宗教赞助主体。
259,Santa Maria Formosa,Q1813687,威尼斯的圣玛利亚福莫萨教堂，由柯杜齐设计。,Q65129859,相关的作品。,Q1813687,标准：建筑本体。 确认为威尼斯共和国的重要公共委托件。
260,Santa Maria Maddalena dei Pazzi,Q1784984,佛罗伦萨的圣帕齐的玛利亚·玛达肋纳教堂，美第奇家族的资助地。,Q449424,圣人本体。,Q1784984,标准：赞助载体。 指向承载艺术委托的教堂实物。
261,Santa Maria Maggiore,Q2001128,贝加莫或米兰的圣玛利亚大教堂。,Q1304828,相关的艺术记录。,Q2001128,标准：建筑实体。 指向重要的宗教赞助地。
262,Santa Maria del Popolo,Q869513,罗马的人民圣母教堂，齐吉及罗韦雷家族受托在此建立华丽礼拜堂。,Q3673755,相关的作品。,Q869513,标准：建筑地位。 指向文艺复兴至巴洛克最具竞争性的家族赞助地。
263,Santa Maria della Pietà,Q1559661,威尼斯的怜悯圣母教堂，以维瓦尔第的音乐赞助与提埃坡罗的天顶画闻名。,Q45813490,相关的描述。,Q1559661,标准：建筑本体。 指向 18 世纪威尼斯的综合艺术赞助枢纽。
264,Santa Maria della Salute,Q52531,威尼斯安康圣母大殿。威尼斯共和国为感谢圣母止息瘟疫而举国赞助建造。,Q3673912,相关的记录。,Q52531,标准：建筑意义。 指向 17 世纪最重要的国家级还愿赞助项目。
265,Santa Maria della Vittoria,Q863593,胜利圣母教堂，内有贝尼尼的《圣德肋撒的狂喜》（波尔纳罗家族赞助）。,Q2051448,其他。,Q863593,标准：建筑名胜。 指向巴洛克雕塑赞助的巅峰场所。
266,Santa Maria di Loreto,Q461997,罗马的洛雷托圣母教堂。,Q120257208,相关的画作。,Q461997,标准：建筑本体。 指向相关的教廷赞助实体。
267,Santa Prassede,Q733890,罗马圣普拉契德圣殿，其内饰保存有极其古老的马赛克赞助。,Q111842579,相关的记录。,Q733890,标准：建筑本体。 指向历史悠久的宗教赞助载体。
268,Santi Apostoli,Q1515300,罗马圣使徒教堂，科隆纳及德拉·罗韦雷家族曾在此进行大规模资助。,Q118984026,其他同名。,Q1515300,标准：建筑地位。 确认为教皇家族的核心赞助中心。
269,Santissima Annunziata (地点),Q2287001,佛罗伦萨圣母领报圣殿，美第奇及其他家族最神圣的还愿赞助地。,Q25112887,特指该地点的艺术作品。,Q2287001,标准：建筑本体。 指向核心宗教赞助实物。
270,Santo Stefano Rotondo,Q916860,罗马圆形的圣斯德望圣殿。教皇保罗二世及其他枢机常受托进行复修与装饰。,Q919456,相关的描写。,Q916860,标准：建筑独特性。 指向具有极高赞助研究价值的建筑本体。
271,Scipione Maffei,Q1587432,18世纪意大利学者与赞助人（1675-1755），维罗纳艺术与学术界的核心人物。,Q3831958,不同的马菲家族成员。,Q1587432,标准：影响力判定。 指向启蒙时代最具影响力的学者赞助人。
272,Sebastiano Ricci,Q26878812,17-18世纪著名的威尼斯画家，受托为欧洲多个王室及枢机创作大型装饰画。,Q506483,相关的描述。,Q26878812,标准：职业。 指向顶级执行方艺术家本体。
273,Sergio Ortolani,Q59525924,20世纪艺术史学家，专注于那不勒斯与巴洛克赞助制度的研究。,Q60786953,不同记录。,Q59525924,标准：职业领域。 指向相关领域的研究专家。
274,Sforza Pallavicino,Q1618919,17世纪意大利枢机主教、哲学家，教皇亚历山大七世的核心幕僚与赞助顾问。,Q47482530,相关的描述。,Q1618919,标准：赞助人顾问角色。 确认为巴洛克罗马理论与委托的中枢。
275,Simone Buonaccorsi,Q3484548,18世纪意大利枢机主教，活跃于马尔凯地区的艺术赞助。,Q109806863,相关记录。,Q3484548,标准：身份契合。 指向当时显赫的教廷赞助阶层。
276,Sisera,Q976765,圣经人物。在“雅亿杀西西拉”这一常见的巴洛克受托题材中是被画者。,Q76421887,相关的作品。,Q976765,标准：题材本体。 指向圣经人物实体。
277,Solomon's Temple,Q223644,所罗门圣殿。巴洛克时期建筑与壁画委托中常见的宏大寓意题材。,Q26627670,相关的记录。,Q223644,标准：题材源头。 指向历史/圣经建筑实体。
278,Sotheby's,Q654762,苏富比拍卖行。不仅是现代中转站，其 18 世纪的起源与当时的收藏家赞助密切相关。,Q121057985,其他记录。,Q654762,标准：机构本体。 指向核心交易与研究平台。
279,St. Paul's Cathedral,Q173882,伦敦圣保罗大教堂。克里斯托弗·雷恩受王室与国家委托的巅峰之作。,Q2441417,不同时期的教堂。,Q173882,标准：建筑本体。 指向 17 世纪最重要的英国建筑赞助项目。
280,St. Peter's Square,Q23940745,圣彼得广场。贝尼尼受教皇亚历山大七世委托创作的城市赞助巅峰。,Q21016226,相关记录。,Q23940745,标准：公共空间本体。 确认为教廷权威的视觉赞助化身。
281,Stefano Conti,Q4026944,18世纪卢卡富商、著名的卡纳莱托赞助人，其订单记录了威尼斯景观画的早期兴起。,Q57909808,现代同名。,Q4026944,标准：赞助人重要性。 确认为 18 世纪早期关键的收藏委托方。
282,Stefano Landi,Q381943,17世纪意大利作曲家，活跃于巴贝里尼家族的赞助圈，推动了巴洛克歌剧。,Q48096814,不同人物。,Q381943,标准：职业角色。 指向历史背景下的文人执行方。
283,Strada Nuova,Q18443331,热那亚的新街。沿线宫殿是 16 世纪热那亚贵族“罗利宫殿”赞助体系的载体。,Q3499946,不同城市。,Q18443331,标准：地理实体。 指向热那亚核心赞助景观。
284,Syrinx (人物),Q846129,希腊神话宁芙。潘神追求的对象。常作为受托题材中的受害者形象。,Q16992917,相关的艺术作品。,Q846129,标准：题材本体。 指向神话人物实体。
285,Ségala,Q3510536,现代历史学家。,Q3510535,不同职业。,Q3510536,标准：职业。 指向相关的研究领域本体。
286,Teatro Farnese,Q1507811,帕尔马的法尔内塞剧院。17世纪最宏伟的木制剧院，法尔内塞家族赞助的典范。,Q111916404,相关的演出。,Q1507811,标准：建筑本体。 指向显赫的贵族宫廷赞助实物。
287,Temple Newsam,Q2748017,英国利兹附近的庄园，18世纪受委托进行大规模扩建与艺术装饰。,Q55466781,相关的记录。,Q2748017,标准：建筑本体。 指向核心庄园赞助中心。
288,The Abduction of Helen (作品),Q118876935,圭多·雷尼 (Guido Reni) 1626 年受菲利普四世委托创作的名作，现藏于卢浮宫。,Q99476590,相关的神话概念。,Q118876935,标准：具体性。 在赞助背景下指代特定的、由顶级赞助人委托的实物画作。
289,The Adoration of the Magi (作品),Q28027599,提香 (Titian) 为费利佩二世受托创作的名作。,Q2489939,抽象的朝拜概念。,Q28027599,标准：正式作品名。 指向具有极高赞助价值的画作实体。
290,The Banquet of Cleopatra (作品),Q18167078,提埃坡罗 (Tiepolo) 1743 年为奥古斯都三世受托创作的巨幅名作。,Q16741676,描述见上。,Q18167078,标准：正式作品名。 指向洛可可赞助史中最显赫的实物之一。
291,The Baptism of Christ,Q19911646,委罗内塞受托创作的《基督受洗》，体现了威尼斯式宏大宗教赞助。,Q134436450,其他画作标题。,Q19911646,标准：首选记录。 指向特定的名家受托作品。
292,The Choice of Hercules (作品),Q118993578,安尼巴莱·卡拉奇 (Annibale Carracci) 为法尔内塞宫创作的《武仙座的抉择》。,Q283665,抽象的神话美德概念。,Q118993578,标准：具体性。 指代特定的、定义了古典主义赞助品味的画作。
293,The Conversion of Saint Paul (作品),Q1448203,卡拉瓦乔 (Caravaggio) 为切拉西礼拜堂受托创作的巅峰名作。,Q19364829,相关的宗教概念。,Q1448203,标准：正式作品名。 指向最具研究价值的赞助结果实体。
294,The Death of Cleopatra (作品),Q12899375,圭尔奇诺 (Guercino) 或里贝拉受托创作的同名悲剧杰作。,Q15622804,其他描述。,Q12899375,标准：正式更名。 指向具体的受托画作实体。
295,The Death of Lucretia (作品),Q20529027,提香 (Titian) 晚年受托创作的名作。,Q51162654,抽象的道德史实概念。,Q20529027,标准：具体性。 指代特定的实物名作。
296,The Entombment of Christ (作品),Q1213151,拉斐尔 (Raphael) 1507 年为巴廖尼家族受托创作的《基督下葬》。,Q6121364,相关的宗教概念。,Q1213151,标准：正式作品名。 指向文艺复兴时期最重要的私人还愿赞助实体。
297,The Great Flood,Q118397664,抽象的洪水题材。在 17 世纪大尺度景观画委托中常见。,Q124436027,具体的画作。,Q118397664,标准：题材代表性。 涵盖该主题在赞助史中的广泛讨论。
298,The Holy Family (作品),Q427390,拉斐尔或普桑受托创作的《圣家族》，体现了理想美的赞助标准。,Q17347632,抽象的家庭概念。,Q427390,标准：正式作品名。 指向具体的受托名作。
299,The Judgment of Paris (作品),Q20354950,鲁本斯 (Rubens) 为菲利普四世受托创作的名作，现藏于普拉多。,Q19911452,抽象的神话题材概念。,Q20354950,标准：具体性。 指代特定的、由最高赞助人委托的大型实物。
300,Marriage,Q26511045,普桑受托创作的《七件圣事》中的“婚礼”主题。,Q8445,抽象的婚姻概念。,Q26511045,标准：具体性。 在赞助背景下指代特定的、由查尔·德·尚泰卢委托的实物。
