SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
114,Giovanni Battista Recurti,Q110566749,18世纪威尼斯著名的出版商，曾资助并出版大量艺术与建筑图册。,Q112435296,其他记录。,Q110566749,标准：职业。 指向艺术图册出版赞助者。
115,Giovanni Battista Rota,Q15695541,18世纪意大利主教与赞助人。,Q3766743,其他同名。,Q15695541,标准：年代与身份。 契合该阶段的教廷赞助背景。
116,Giovanni Bona,Q5565359,17世纪意大利枢机主教、学者（1609-1674），波拿家族成员。,Q82694,不同人物。,Q5565359,标准：身份契合。 确认为活跃于巴洛克罗马的赞助阶层。
117,Giovanni Marchiori,Q240781,18世纪威尼斯著名的洛可可雕塑家（1696-1778）。,Q76521682,描绘马尔基奥里的肖像。,Q240781,标准：职业。 指向艺术家（执行方）本体。
118,Giovanni Sforza,Q3768134,佩萨罗领主（1466-1510），卢克雷齐亚·波吉亚的首任丈夫，艺术委托人。,Q1379775,抽象描述或误指。,Q3768134,标准：身份。 指向文艺复兴领主及赞助人。
119,Giovanni Tabacco,Q3768195,20世纪意大利历史学家，专门研究中世纪至近代国家的赞助制度。,Q21289021,相关描述。,Q3768195,标准：职业领域。 确认为相关制度研究专家。
120,Girolamo Colonna,Q1223162,17世纪意大利枢机主教（1604-1666），科隆纳家族显赫的艺术赞助人。,Q22783981,相关画作标题。,Q1223162,标准：赞助人身份。 指向科隆纳家族的核心人物。
121,Girolamo Zanetti,Q27478552,18世纪威尼斯学者，专门研究威尼斯硬币与古代艺术赞助史。,Q61482945,不同人物。,Q27478552,标准：职业领域。 与 18 世纪艺术学术圈吻合。
122,Giulio Natali,Q19868897,20世纪艺术史学家，专门研究 18 世纪罗马的赞助人与文化。,Q136242352,法律学者。,Q19868897,标准：职业领域。 确认为赞助史研究专家。
123,Giulio Savelli,Q3107956,17世纪意大利枢机主教，萨韦利家族在罗马艺术市场的重要参与者。,Q116619951,不同名字。,Q3107956,标准：身份契合。 确认为 17 世纪显赫的教廷赞助人。
124,Giuseppe Bianchini,Q2071608,18世纪意大利学者、枢机（1704-1764），著名的文献赞助者。,Q114860412,不同记录。,Q2071608,标准：身份匹配。 确认为 18 世纪活跃的学者赞助人。
125,Giuseppe Delogu,Q55226990,20世纪意大利艺术史学家，专注于 17-18 世纪威尼斯绘画与赞助研究。,Q123222353,其他记录。,Q55226990,标准：职业领域。 指向相关领域的研究学者。
126,Giuseppe Fossati,Q64138719,18世纪意大利律师与学者，参与了威尼斯早期的艺术管理。,Q102281497,建筑师家族成员。,Q64138719,标准：身份。 指向 18 世纪特定赞助环境下的文人角色。
127,Giuseppe Mazzotti,Q51184,20世纪意大利艺术评论家，推动了威尼斯别墅赞助文化的保护。,Q37835259,不同人物。,Q51184,标准：职业地位。 确认为别墅文化研究的关键人物。
128,Giuseppe Ortolani,Q3771116,20世纪著名的威尼斯学者，专门研究 18 世纪艺术与文学赞助。,Q108922642,现代运动员。,Q3771116,标准：职业领域。 与该数据集研究背景契合。
129,Giuseppe Sardi,Q3771406,17-18世纪威尼斯建筑师（1624-1699），受托建造了多处精美的巴洛克教堂立面。,Q327026,不同流派建筑师。,Q3771406,标准：职业。 指向巴洛克时期的执行方。
130,Giuseppe de Rossi,Q28730220,17世纪罗马著名的版画商与赞助人，其家族垄断了罗马的地图与艺术版画市场。,Q15812370,其他成员。,Q28730220,标准：职业地位。 确认为版画赞助史的关键人物。
131,Goliath,Q192785,圣经巨人。巴洛克时期“大卫斩杀歌利亚”这一赞助题材的主人公。,Q46998500,相关的画作标题。,Q192785,标准：题材本体。 指向圣经/神话人物实体。
132,Gregory VII,Q133063,中世纪教皇。在 17 世纪受教皇委托的壁画中常作为教权扩张的象征出现。,Q101866,相关的文学记录。,Q133063,标准：题材源头。 绘画作品通常源于教皇本体及相关史实。
133,Guglielmo della Porta,Q1623328,16世纪意大利雕塑家（1500-1577），教皇保罗三世的主要墓葬雕刻师。,Q115362017,相关的艺术记录。,Q1623328,标准：职业。 指向顶级雕塑家本体。
134,Guido Zucchini,Q70587659,20世纪艺术史学家，专注于博洛尼亚地区的赞助与建筑史。,Q3779518,不同人物。,Q70587659,标准：职业领域。 与特定地区的赞助研究相关。
135,Gustavus Adolphus,Q52938,瑞典国王（1594-1632），三十年战争中的核心人物。其肖像受多国君主委托。,Q106088691,国王的肖像画。,Q52938,标准：赞助人本体。 确认为历史主导人物。
136,Gyles Isham,Q16008048,20世纪英国历史学家，专门研究林肯郡及其家族的赞助史。,Q76038239,不同人物。,Q16008048,标准：职业领域。 指向庄园/家族赞助研究学者。
137,Heinrich Brauer,Q18934987,艺术史学家，贝尼尼习作与绘图研究的奠基人之一。,Q1596820,现代运动员。,Q18934987,标准：职业领域。 确认为巴洛克赞助与草图研究专家。
138,Heinrich Zimmermann,Q1599421,20世纪奥地利艺术史学家，研究维也纳宫廷的赞助与收藏。,Q1599420,其他记录。,Q1599421,标准：职业领域。 确认为宫廷收藏研究专家。
139,Henriette Adelaide of Savoy,Q57628,17世纪萨伏依公主（1636-1676），慕尼黑宁芬堡宫的重要赞助人。,Q242928,相关的艺术描写。,Q57628,标准：赞助人身份。 指向重要的女性资助人。
140,Herculaneum (地点),Q178813,被维苏威火山埋没的古城。18世纪的考古发现深刻影响了新古典主义赞助口味。,Q961668,描绘赫库兰尼姆废墟的画作。,Q178813,标准：实体属性 (P31)。 指向考古遗址本体。
140,Views of Herculaneum,Q178813,同上。,Q961668,帕尼尼或皮拉内西受英国赞助人委托创作的考古风景画。,Q961668,标准：正式作品名。 指向具体的景观记录画实体。
141,Hercules (人物),Q122248,希腊神话英雄。统治者赞助中象征“美德与力量”的最核心题材。,Q10448,武仙座。,Q122248,标准：实体类型 (P31)。 确认为神话题材本体。
142,Hermann Voss,Q1612982,20世纪著名的艺术史学家（1884-1969），巴洛克绘画研究与鉴定的权威。,Q96917,相关记录。,Q1612982,标准：职业影响力。 指向该领域决定性的研究专家。
143,Homer (人物),Q11710021,古希腊盲诗人。在 17 世纪绘画委托（如伦勃朗版）中常作为文学智慧的代表。,Q2101592,相关的艺术作品。,Q11710021,标准：实体层级。 确认为题材源头的人物本体。
144,Hugh Percy,Q2616156,诺森伯兰公爵（1742-1817），18世纪英国杰出的建筑与园林赞助人。,Q5932275,第一代公爵。,Q2616156,标准：赞助贡献。 第二代公爵在扩建与艺术资助方面记录显著。
145,Inigo Jones,Q295929,17世纪英国建筑师与布景师（1573-1652），查理一世的宫廷赞助核心。,Q55006893,相关作品描述。,Q295929,标准：职业。 指向执行方（建筑师）本体。
146,Innocent XIII,Q132708,18世纪教皇（1655-1724）。,Q133100,其他。,Q132708,标准：赞助人本体。 指向历史主条目。
147,Iphigenia (人物),Q192673,希腊神话中阿伽门农之女。17-18世纪歌剧与绘画委托中常见的悲剧题材。,Q7462749,画作《伊菲革涅亚的牺牲》。,Q192673,标准：题材本体。 确认为神话人物实体。
147,The Sacrifice of Iphigenia,Q192673,同上。,Q7462749,提埃坡罗或普桑受托创作的同名画作标题。,Q7462749,标准：正式作品名。 指向特定的艺术品实体。
148,Iris,Q184570,希腊神话彩虹女神。巴洛克装饰画中常作为神使形象受托创作。,Q156901,虹膜或小行星。,Q184570,标准：语义匹配。 艺术背景下必指神话女神。
149,Isaac,Q671872,圣经人物。在描写“献祭以撒”等赞助题材中是核心主体。,Q5920537,相关作品标题。,Q671872,标准：题材本体。 指向圣经人物实体。
150,Isaiah,Q188794,圣经先知。西斯廷礼拜堂及众多受托湿壁画中的重要象征题材。,Q920209,相关作品。,Q188794,标准：题材本体。 指向先知人物实体。
151,Ischia,Q72134,意大利伊斯基亚岛。那不勒斯赞助人常委托画家以此地风光为题材。,Q99981411,相关的地质记录。,Q72134,标准：地理本体。 指向行政与历史地点。
152,Jacob,Q289957,圣经先知雅各。其生平故事是 17 世纪家庭画与挂毯委托的热点。,Q25999604,相关记录。,Q289957,标准：题材本体。 指向先知人物实体。
153,Jacob and Rachel (作品),Q120884420,画家 Palma il Vecchio 创作的《雅各与拉结》，现藏于德累斯顿。,Q111639853,圣经中雅各与拉结的故事题材（概念）。,Q120884420,标准：具体性。 在赞助背景下指代特定的、由赞助人委托的实物画作。
154,Jacques Callot,Q460124,17世纪法国著名版画师（1592-1635），受美第奇及法尔内塞家族赞助。,Q65023290,相关作品描述。,Q460124,标准：职业。 指向艺术家（执行方）本体。
155,Jael,Q954820,圣经女英雄。巴洛克时期“雅亿杀西西拉”是极具张力的受托题材。,Q62666916,具体的画作。,Q954820,标准：题材本体。 指向圣经人物。
156,James Adam (人物),Q2618073,18世纪英国著名的亚当风格建筑师，与兄长罗伯特共同引领赞助潮流。,Q108353602,描绘詹姆斯·亚当的肖像。,Q2618073,标准：职业角色 (P106)。 确认为重要建筑合同的执行方。
156,Portrait of James Adam,Q2618073,同上。,Q108353602,描绘这位建筑师的官方油画，体现了新古典主义文人的形象。,Q108353602,标准：正式作品名。 指向具体的图像实物。
157,James Wyatt,Q1350728,18-19世纪英国著名的格鲁吉亚风格建筑师。,Q75469007,相关作品记录。,Q1350728,标准：职业。 指向建筑师本体。
158,Jeremiah,Q158825,圣经先知。在宗教画委托中象征受难与预言。,Q14649096,相关的画作标题。,Q158825,标准：题材本体。 指向先知实体。
159,Job,Q179962,圣经人物。在苦难题材画作中常受托表现其坚韧美德。,Q124721,其他。,Q179962,标准：题材本体。 指向人物实体。
160,Johann Georg Zimmermann,Q115878,18世纪瑞士医生与文人，活跃于德国与俄国的宫廷赞助圈。,Q28973048,不同人物。,Q115878,标准：身份匹配。 确认为宫廷社交圈中的文人被画者。
161,Johann Matthias von der Schulenburg,Q128136233,18世纪威尼斯最重要的艺术赞助人与收藏家（1661-1747），雇佣了卡纳莱托等名家。,Q70910,同名家族成员。,Q128136233,标准：赞助人影响力。 指向著名的舒伦堡收藏之主。
162,Johannes Wilde,Q15430589,20世纪著名的匈牙利艺术史学家，研究米开朗基罗与赞助关系的权威。,Q1698628,不同人物。,Q15430589,标准：职业领域。 指向赞助研究奠基者。
163,John Finch,Q6233132,17世纪英国外交官，在大旅行期间是重要的赞助中介与被画者。,Q123999443,现代同名。,Q6233132,标准：年代契合。 与 17 世纪赞助背景吻合。
164,John Fleming,Q6233420,20世纪英国艺术史学家，著名的《亚当风格》及赞助史研究者。,Q686875,其他记录。,Q6233420,标准：职业领域。 指向相关领域的研究专家。
165,John Law,Q312694,18世纪苏格兰金融家。其肖像受路易十五时期多位画家委托。,Q202872,不同记录。,Q312694,标准：社会地位。 确认为重要的肖像委托方。
166,John Nicoll,Q4731153,18世纪英国学者，活跃于当时的收藏与学术赞助圈。,Q76042979,不同记录。,Q4731153,标准：身份。 指向 18 世纪历史人物。
167,John Northall,Q18009154,18世纪英国军官，著有意大利旅行游记，详细记录了当时的赞助状况。,Q76146593,不同记录。,Q18009154,标准：身份。 指向提供文献支撑的历史人物。
168,John Russell,Q335406,18世纪著名的英国粉彩肖像画家。,Q108162299,国王相关记录。,Q335406,标准：职业。 指向艺术家（执行方）本体。
169,John Strange,Q6259378,18世纪英国外交官、著名威尼斯艺术赞助人与收藏家（1732-1799）。,Q112783324,不同记录。,Q6259378,标准：赞助人地位。 确认为 18 世纪威尼斯艺术市场的重要客户。
170,John Walker,Q324571,20世纪著名的美国艺术史学家，前国家艺术馆馆长，赞助史专家。,Q450549,博物学家。,Q324571,标准：职业领域。 确认为机构管理与研究者本体。
171,John Woodward,Q706904,17-18世纪英国学者、收藏家（1665-1728），著名的地质与钱币赞助者。,Q115695627,现代记录。,Q706904,标准：身份匹配。 指向 18 世纪显赫的学者收藏家。
172,Joseph Wagner,Q11728479,18世纪著名的威尼斯版画师与赞助人，培养了皮拉内西等名家。,Q120579975,相关记录。,Q11728479,标准：职业地位。 确认为版画赞助与教育的核心人物。
173,Judith,Q26454627,圣经女英雄。巴洛克时期“犹滴杀荷罗浮尼”是最受赞助人推崇的张力题材。,Q112299965,相关的作品。,Q26454627,标准：题材本体。 指向人物/题材实体。
174,Jules Mazarin,Q166056,法国枢机主教马扎然（1602-1661）。17世纪欧洲最显赫的艺术赞助人之一。,Q61685080,相关的文学描写。,Q166056,标准：赞助人本体。 指向历史关键赞助人主条目。
175,Jupiter,Q34201,罗马神话众神之王。在天顶画赞助中象征至高无上的皇权。,Q37530492,相关的艺术作品。,Q34201,标准：题材本体。 指向神话实体。
176,Landscape with the Flight into Egypt (作品),Q75135162,安尼巴莱·卡拉奇 (Annibale Carracci) 1603 年为博尔盖塞赞助人创作的名作。,Q1803755,相关的圣经故事概念。,Q75135162,标准：具体性。 在赞助背景下指代特定的、具有里程碑意义的委约作品。
177,Lauro,Q55047,17世纪意大利作曲家，活跃于当时的宫廷艺术赞助圈。,Q3827960,不同地名。,Q55047,标准：职业。 指向历史背景下的文人角色。
178,Lelio Guidiccioni,Q55998317,17世纪罗马诗人、收藏家，与贝尼尼等艺术家关系密切的赞助阶层。,Q56006638,相关描述。,Q55998317,标准：赞助阶层身份。 确认为巴洛克罗马的赞助中介。
179,Livio Odescalchi,Q10319317,17世纪意大利亲王、教皇克莱蒙十一世之侄，显赫的艺术赞助人。,Q11762206,奥德斯卡尔基家族成员。,Q10319317,标准：赞助人地位。 确认为家族中核心的收藏之主。
180,Lorenzo Magalotti,Q327913,17世纪意大利学者、枢机及赞助人（1637-1712），美第奇家族的重要幕僚。,Q590501,不同记录。,Q327913,标准：身份。 确认为巴洛克时期的典型赞助阶层文人。
181,Lorenzo Raggi (人物),Q18340689,17世纪热那亚枢机主教（1615-1687），教皇格列高利十五世家族的显赫赞助人。,Q57232940,描绘其形象的官方肖像画。,Q18340689,标准：身份角色。 确认为赞助关系中的委托方。
181,Portrait of Cardinal Lorenzo Raggi,Q18340689,同上。,Q57232940,描绘该赞助人的油画，体现了 17 世纪教廷权势的视觉特征。,Q57232940,标准：正式作品名。 指向肖像画实物实体。
182,Louis XIII,Q737533,法国国王路易十三（1601-1643）。确立了波旁王朝早期的大规模艺术赞助模式。,Q1323065,相关作品记录。,Q737533,标准：赞助人本体。 确认为历史核心委托人。
183,Louis XV,Q7738,法国国王路易十五（1710-1774）。其统治时期开启了洛可可艺术的辉煌赞助时代。,Q130418514,相关描述。,Q7738,标准：赞助人本体主条目。
184,Louise Rice,Q111387765,现代著名的艺术史学家，专注于 17 世纪罗马祭坛画与赞助关系的研究。,Q134318682,不同人物。,Q111387765,标准：职业领域。 指向该领域的前沿研究者。
185,Luigi Salerno,Q6700132,20世纪著名的意大利艺术史学家，研究博洛尼亚绘画与赞助关系的泰斗。,Q93261247,法律学者。,Q6700132,标准：职业影响力。 指向相关领域的研究权威。
186,Marcus Furius Camillus,Q294862,古罗马军事统帅。在新古典主义绘画委托中常作为美德与忠诚的象征出现。,Q666740,相关的画作标题。,Q294862,标准：题材本体。 指向历史人物实体。
187,Marcus Junius Brutus (人物),Q172248,刺杀凯撒的古罗马共和派。在启蒙时代赞助中常作为反抗暴政的题材符号。,Q11935164,米开朗基罗受托创作的《布鲁图斯半身像》。,Q172248,标准：实体层级。 确认为神话/历史人物本体。
187,Bust of Brutus,Q172248,同上。,Q11935164,米开朗基罗为赞助人 Donato Giannotti 创作的雕塑，现藏于巴杰罗美术馆。,Q11935164,标准：正式作品名。 指向具体的雕塑实物。
188,Maria Luisa,Q229854,18世纪西班牙王后，戈雅最重要的赞助人之一。,Q18091939,其他皇室成员。,Q229854,标准：赞助人身份。 指向与戈雅作品紧密关联的委托方。
189,Maria Mancini,Q242532,17世纪意大利名媛、马扎然枢机之侄，其肖像受路易十四及罗马豪门多次委托。,Q3847415,相关作品。,Q242532,标准：身份。 指向历史背景下的核心社交与赞助阶层。
190,Maria Walpole,Q446919,18世纪英国贵族，沃尔波尔家族成员，著名的肖像被画者。,Q75463847,相关记录。,Q446919,标准：身份。 确认为 18 世纪显赫的肖像委托方。
191,Mario Brunetti,Q61473962,20世纪艺术史学家，专注于威尼斯艺术市场与收藏史的研究。,Q3848377,法律专家。,Q61473962,标准：职业领域。 指向收藏史研究者本体。
192,Mario Chigi,Q98708917,17世纪意大利贵族（1594-1667），奇吉家族在罗马赞助高峰期的关键成员。,Q100441578,相关肖像画。,Q98708917,标准：赞助人身份。 指向奇吉家族的核心人物。
193,Mark Ritchie,Q6769447,20世纪著名的古典艺术保护者与赞助人。,Q110140410,不同记录。,Q6769447,标准：职业。 指向艺术资助人本体。
194,Marriage,Q26511045,17世纪普桑受托创作的系列组画《七件圣事》中的“婚礼”主题。,Q8445,抽象的婚姻概念。,Q26511045,标准：具体性。 在赞助背景下指代特定的、由查尔·德·尚泰卢委托的组画。
195,Mars and Venus (作品),Q28796946,委罗内塞 (Veronese) 1570 年受托创作的名作，象征和谐与秩序。,Q18573895,相关的神话概念（火神与美神）。,Q28796946,标准：正式作品名。 在赞助背景下指代特定的、被广泛收藏的实物画作。
196,Matteo Bartolini,Q20246871,16世纪意大利建筑师，教皇赞助体系下重要的防洪与城市规划专家。,Q124178247,相关的工程记录。,Q20246871,标准：职业。 指向建筑师（执行方）本体。
197,Mecklenburg,Q109057,德国梅克伦堡地区。18世纪庄园建筑与室内艺术赞助的兴盛地。,Q37484532,相关地名记录。,Q109057,标准：地理本体。 指向历史地理单元。
198,Michael Jaffé,Q6831576,20世纪最重要的鲁本斯研究专家、菲茨威廉博物馆馆长。,Q1928009,现代人物。,Q6831576,标准：职业领域。 确认为鲁本斯作品鉴别与赞助研究的泰斗。
199,Michele Battaglia,Q15731683,19世纪意大利历史学家，研究那不勒斯时期的社会与艺术赞助关系。,Q116753936,现代运动员。,Q15731683,标准：职业领域。 与历史研究背景吻合。
200,Mira,Q48144,意大利威尼斯潟湖城镇。以帕拉第奥风格的别墅群赞助（如 Villa Foscari）著称。,Q1936996,恒星“蒭藁增二”。,Q48144,标准：语义匹配。 排除天文名词，保留历史地理本体。
