SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
315,Tommaso Mattei,Q7819076,17-18世纪意大利建筑师，受托设计了罗马多处巴洛克祭坛。,Q104902519,不同描述。,Q7819076,判定标准：职业。 指向建筑师（执行方）本体。
316,Tommaso Ruffo (人物),Q2661419,17-18世纪意大利枢机主教、收藏家（1663-1753）。拥有当时欧洲最重要的艺术品收藏。,Q108446805,描绘鲁福枢机主教的官方油画肖像。,Q2661419,判定标准：赞助人身份。 指向鲁福家族的核心收藏主体。
316,Portrait of Cardinal Tommaso Ruffo,Q2661419,同上。,Q108446805,描绘这位枢机主教形象的艺术实物。,Q108446805,判定标准：正式作品名。 指向具体的肖像记录实体。
317,Troy (地点),Q22647,特洛伊古城。不仅是神话地，更是巴洛克与古典绘画中最核心的史诗题材背景。,Q79862,特洛伊战争相关的描述。,Q22647,标准：地理本体。 指向核心神话地理本体。
318,Turnus,Q633549,意大利图尔努斯王。在《埃涅阿斯纪》绘画委托中常作为埃涅阿斯的主要对手出现。,Q1325522,相关记录。,Q633549,判定标准：题材本体。 指向史诗人物本体。
319,Venus Italica (作品),Q4009586,安东尼奥·卡诺瓦 (Antonio Canova) 1804 年受路德维希一世委托创作的大理石雕塑。,Q121790161,该雕塑的石膏模型或其他副本。,Q4009586,判定标准：具体性。 指代特定的、由顶级赞助人委托创作的原创雕塑实体。
320,"Venus, Adonis and Cupid",Q50973367,提香 (Titian) 1550年代受菲利普二世委托创作的名作系列之一。,Q4245125,相关的神话概念。,Q50973367,判定标准：具体性。 指向赞助背景下特定的实物名作。
321,Villa Medici (地点),Q206365,罗马美第奇别墅。美第奇家族权力的象征，收藏有著名的美第奇维纳斯等。,Q1585931,相关的园林描述。,Q206365,标准：建筑本体。 指向罗马最重要的赞助中心之一。
322,Villa Pisani (地点),Q514069,皮萨尼别墅（斯特拉）。提埃坡罗曾在此受托创作宏大的天顶画《皮萨尼家族的荣耀》。,Q2060988,不同地区的皮萨尼别墅。,Q514069,标准：建筑本体。 指向威尼斯最具代表性的贵族豪宅赞助案例。
323,Vincenzo Ruffo,Q1494084,16世纪意大利作曲家，活跃于米兰与维罗纳的教会赞助圈。,Q109876830,相关的描述。,Q1494084,判定标准：职业。 指向历史背景下的文人/执行方本体。
324,Virgin Mary,Q34374,同 SN 306。圣母玛利亚神学人物。,Q34201,同上。,Q34374,标准：去重确认。 保留人物/题材主条目。
325,Vitruvius,Q47163,古罗马建筑师维特鲁威。其《建筑十书》是文艺复兴至巴洛克建筑赞助的理论金律。,Q3585960,相关的文学评论。,Q47163,判定标准：身份地位。 指向理论奠基者本体。
326,W. G. Constable,Q3568879,20世纪著名的艺术史学家，加纳莱托研究泰斗，奠定了景观画赞助的研究框架。,Q76093327,不同记录。,Q3568879,判定标准：职业领域。 指向相关领域的研究专家本体。
327,Werner Weisbach,Q110034112,20世纪德国艺术史学家（1873-1953），专注于巴洛克艺术与社会赞助史的研究。,Q76042979,不同记录。,Q110034112,判定标准：职业领域。 指向研究赞助史的关键学者。
328,William Kent,Q3510535,18世纪英国杰出的建筑师、画家与园林设计师，理查德·博伊尔（伯灵顿伯爵）的核心执行者。,Q3510536,不同人物。,Q3510535,判定标准：职业。 指向英国巴洛克/帕拉第奥风格最重要的执行方本体。
329,William Playfair,Q3732023,18-19世纪苏格兰著名建筑师，受托设计了多处爱丁堡的标志性新古典主义建筑。,Q18091939,其他同名。,Q3732023,判定标准：职业。 指向建筑师本体。
330,Windermere,Q336806,英国温德米尔湖区。在18-19世纪风景画委托中是极受欢迎的地域题材。,Q66624849,相关的描述。,Q336806,标准：地理本体。 指向核心历史地理本体。
331,Wisdom,Q26699586,抽象概念：智慧。常以“智慧女神”的寓意形象在受托的天顶画中出现。,Q26627670,其他描述。,Q26699586,标准：题材属性。 指向题材核心本体。
332,Witt Library,Q13415683,伦敦考陶德艺术学院的维特图书馆，保存有全球最庞大的艺术品照片及赞助记录档案。,Q37835259,不同描述。,Q13415683,标准：机构本体。 确认为艺术研究与档案管理的核心平台。
333,Worcester,Q3771406,英国伍斯特市。与 18 世纪英国瓷器及地方赞助历史相关。,Q327026,不同地名描述。,Q3771406,标准：地理本体。 指向历史名城本体。
334,Xanadu,Q15812370,元上都。在西方艺术赞助文献中常作为东方奇幻与奢华赞助的文学符号出现。,Q28730220,相关的描述。,Q15812370,标准：地理/文学本体。 指向核心地点本体。
335,Xanten,Q1596820,德国桑腾。具有丰富的罗马时期考古发现，影响了北欧的赞助口味。,Q18934987,其他地名。,Q1596820,标准：地理本体。 指向历史名城本体。
336,Xenophon,Q1599421,古希腊史学家。其著作是巴洛克历史画赞助中常见的道德叙事源泉。,Q1599420,相关的描述。,Q1599421,判定标准：身份地位。 指向文人/历史人物本体。
337,York,Q57628,英国约克郡。18世纪英国庄园建筑与景观赞助的重镇。,Q242928,相关地名描述。,Q57628,标准：地理本体。 指向核心行政区。
338,Zacchaeus,Q178813,圣经人物撒该。在“基督与撒该”这一常见的受托画作题材中是主角。,Q961668,相关的描述。,Q178813,标准：题材本体。 指向圣经人物实体。
339,Zechariah,Q122248,圣经先知撒迦利亚。常在受托的教堂祭坛画装饰中作为预言的象征出现。,Q10448,天文学。,Q122248,标准：题材本体。 指向先知人物实体。
340,Zeuxis,Q11710021,古希腊传奇画家。他的“欺骗性现实主义”故事是巴洛克画家向赞助人炫耀技法的经典题材来源。,Q2101592,相关的描述。,Q11710021,判定标准：身份地位。 指向艺术家/题材本体。
