SN,Refined_Formal_Name,Original-QID,Original-QID_Desc,Second-Query_QID,Second-Query_QID_Desc,Selected_QID,Reason
24,Antonio Ruffo (人物),Q88949215,17世纪西西里最重要的赞助人与收藏家，鲁福家族领袖。,Q108765904,鲁福家族官方肖像。,Q88949215,判定标准：赞助人本体。 确认为伦勃朗等大师的订单发起者。
24,Portrait of Antonio Ruffo,Q88949215,同上,Q108765904,现藏于墨西拿，反映了 17 世纪贵族对家族形象的视觉构建。,Q108765904,判定标准：正式作品名。 指向具体的画作实体。
25,Apollo,Q37340,希腊神话太阳神。古典艺术赞助中最核心的象征性题材。,Q665812,拉斐尔在签字大厅创作的特定壁画。,Q37340,判定标准：题材本体。 除非特指某幅画，否则保留神话人物实体。
26,Apollo flaying Marsyas,Q67203478,提香 (Titian) 晚年受奥洛穆茨主教委托创作的油画杰作。,Q97185664,圭多·雷尼创作的同名作品。,Q67203478,判定标准：艺术史地位。 在赞助史研究中，提香此作更具代表性。
27,Aristotle (人物),Q868,古希腊哲学家。在巴洛克绘画中常受托作为“智慧”的象征。,Q84473023,伦勃朗创作的著名油画。,Q868,判定标准：实体类型。 确认为哲学人物本体。
27,Aristotle with a Bust of Homer,Q868,同上,Q84473023,伦勃朗 1653 年受西西里赞助人 Antonio Ruffo 委托创作，现藏于大都会。,Q84473023,判定标准：正式作品名。 指向具体的名作实体。
28,Arnold Hauser,Q365852,艺术社会史学家，著有《艺术社会史》，深刻探讨了赞助制度。,Q695303,匈牙利学者。,Q365852,判定标准：学科贡献。 指向赞助制度研究的奠基者。
29,Assumption of the Virgin,Q117379114,提香 1516 年受 Frari 教会委托创作的祭坛画。,Q1899740,抽象概念：圣母升天。,Q117379114,判定标准：具体性。 指代特定的、由赞助人委托的大型祭坛画项目。
30,Aurora,Q108741948,格尔奇诺 (Guercino) 1621 年为鲁多维西家族创作的壁画巅峰。,Q1066178,圭多·雷尼 (Guido Reni) 创作的同名壁画（博尔盖塞赞助）。,Q108741948,判定标准：特定委托。 基于本数据集倾向，优先保留格尔奇诺这一重要委托件。
31,Bacchanal,Q29384647,抽象题材：酒神节，巴洛克艺术中常见的受托题材。,Q111648805,具体的画作。,Q29384647,判定标准：题材广泛性。 除非明指某画，否则保留通用题材 QID。
32,Barbara Mazza,Q124847240,意大利历史学家，专门研究 18 世纪威尼斯赞助与鉴赏。,Q116784390,不同人物。,Q124847240,判定标准：职业领域。 指向相关领域的研究学者。
33,Santa Maria Maggiore,Q186282,罗马四大圣殿之一，其装饰史即是教皇赞助史。,Q77245219,描绘教堂内部的 18 世纪油画。,Q186282,判定标准：实体属性。 指向建筑本体。
33,Interior of Santa Maria Maggiore,Q186282,同上,Q77245219,帕尼尼 (Panini) 受英国赞助人委托创作的风景记录画。,Q77245219,判定标准：正式作品名。 指向具体的景观艺术品实体。
34,Brera,Q426609,位于米兰的布雷拉美术馆，其馆藏多来源于拿破仑时期的征集与赞助。,Q104052296,书籍或其他。,Q426609,判定标准：机构权威性。 指向美术馆本体。
35,Bruno Brunelli,Q59524453,意大利文学与艺术史学家，研究 18 世纪戏剧与赞助关系。,Q113237839,医学专家。,Q59524453,判定标准：职业领域。 与数据集研究背景吻合。
36,Bust of Epicurus,Q125809381,古典时代受托创作的哲学家大理石半身像复制品。,Q131543691,另一版馆藏记录。,Q125809381,判定标准：权威记录。 指向标准的大理石艺术实体。
37,Cambridgeshire,Q23112,英国郡名，与 18 世纪英国庄园赞助文化相关。,Q30612390,选举区或其他。,Q23112,判定标准：地理本体。 指向核心行政区。
38,Camillo Rospigliosi,Q43288825,17世纪意大利贵族（1601-1670），教皇克莱蒙九世的兄弟，重要的巴洛克赞助人。,Q76114659,由贝尼尼创作的大理石半身像。,Q43288825,判定标准：赞助人本体。 其家族是当时罗马最重要的订单来源之一。
39,Carl Bildt,Q2070822,19世纪瑞典外交官与历史学家，研究美第奇赞助。,Q52922,现代瑞典政治家。,Q2070822,判定标准：年代契合。 与 19 世纪的赞助研究史吻合。
40,Carlo Ademollo,Q126923746,19世纪意大利历史画画家，受托创作大量爱国题材作品。,Q1065068,相关作品。,Q126923746,判定标准：职业。 指向艺术家本体。
41,Carlo Barberini (人物),Q1186836,17世纪罗马显赫家族巴贝里尼的成员，圣座将军，极具权势的艺术赞助人。,Q5041457,描绘卡洛·巴贝里尼的肖像。,Q1186836,判定标准：赞助人身份。 指向巴贝里尼这一顶级赞助实体的核心成员。
41,Portrait of Carlo Barberini,Q1186836,同上,Q5041457,描绘该赞助人的油画，体现了巴洛克权力的视觉语言。,Q5041457,判定标准：正式作品名。 指向肖像画实体。
42,Carlo Fontana,Q704356,17世纪意大利巴洛克建筑师（1638-1714），教皇克莱蒙十一世的主要建筑顾问。,Q3659352,相关作品描述。,Q704356,判定标准：职业。 指向建筑师（执行方）本体。
43,Carthage,Q6343,迦太基古城。在古典画委托中作为《埃涅阿斯纪》的悲剧地频繁出现。,Q976381,具体的画作标题。,Q6343,判定标准：地点本体。 指向地理实体。
44,Castro,Q52129,意大利拉齐奥古城。法尔内塞家族的封地，其装饰与赞助与其家族兴衰紧密相连。,Q1049855,其他地点。,Q52129,判定标准：历史关联。 指向与法尔内塞赞助史直接相关的古城。
45,Catherine de' Medici,Q131552,法国王后，文艺复兴时期最具权势的女赞助人。,Q45639,其他。,Q131552,判定标准：人物唯一性。 指向主条目本体。
46,Cebes,Q965144,古希腊哲学家。在巴洛克艺术中其《塞贝斯画板》是极受欢迎的委托题材。,Q10444302,书籍记录。,Q965144,判定标准：题材本体。 指向人物/题材核心。
47,Chapel of the Virgin Mary,Q77326869,特指某处受赞助装饰的圣母小堂。,Q83800880,其他条目。,Q77326869,判定标准：建筑特定性。 指向相关的建筑实物。
48,Charles Bennet,Q5075537,18世纪坦卡维尔伯爵，英国贵族，参与了多项建筑赞助。,Q433085,不同人物。,Q5075537,判定标准：身份匹配。 与 18 世纪英国赞助背景吻合。
49,Charles Burney,Q547002,18世纪英国音乐史学家，活跃于意大利赞助圈。,Q5075910,运动员。,Q547002,判定标准：职业领域。 指向历史背景下的学者本体。
50,Charles James Fox,Q5304515,18世纪英国杰出政治家，其肖像画曾由雷诺兹等大师受托创作。,Q438131,运动员。,Q5304515,判定标准：社会地位。 确认为重要的肖像委托方。
51,Charles Mitchell,Q42154355,艺术史学家，研究古典传统在文艺复兴时期的延续。,Q121315185,其他。,Q42154355,判定标准：职业。 确认为相关研究领域的学者。
52,Chioggia,Q55416,意大利威尼斯潟湖城镇。卡纳莱托等画家受英国赞助人委托创作的热点景观。,Q63413150,描绘该地的画作。,Q55416,判定标准：地点本体。 指向地理实体。
53,Chloe,Q19861876,抽象概念/人物。,Q2668516,古希腊田园文学题材。,Q2668516,判定标准：题材关联。 艺术史中指代受托的田园风格作品。
54,Chloris,Q28122362,希腊神话花神，波提切利等赞助画作的核心题材。,Q2147082,小行星。,Q28122362,判定标准：语义匹配。 排除天文名词，保留神话题材。
55,Christopher Hussey,Q5112590,20世纪英国建筑史学家，致力于研究 18 世纪庄园赞助文化。,Q123000268,相关记录。,Q5112590,判定标准：学科领域。 确认为研究赞助史的关键学者。
56,Christopher Lloyd,Q983238,现代艺术史学家，前英国皇家收藏馆馆长，赞助史专家。,Q109324,演员。,Q983238,判定标准：职业身份。 指向皇家收藏管理与研究者本体。
57,Church of St. John,Q2664848,18世纪英国受委托建造的圣约翰教堂。,Q29480820,其他同名教堂。,Q2664848,判定标准：建筑特定性。 指向该背景下具有赞助研究价值的建筑。
58,Church of the Gesù,Q719794,耶稣会母堂，其巴洛克风格的天顶画装饰是法尔内塞家族赞助的巅峰。,Q3585960,相关作品。,Q719794,判定标准：建筑地位。 指向 16-17 世纪最重要的赞助项目承载地。
59,Cicero,Q1541,古罗马演说家，古典主义赞助中博学与雄辩的象征人物。,Q2446440,相关作品。,Q1541,判定标准：题材本体。 指向历史人物实体。
60,Clovis Whitfield,Q5136005,艺术史学家，著名的巴洛克及卡拉瓦乔研究专家。,Q76066165,不同记录。,Q5136005,判定标准：职业。 指向艺术史研究者。
61,Corfu,Q121378,希腊科孚岛。18世纪威尼斯赞助人与舰队将军常委托以此为背景的胜战画。,Q205832,其他行政区。,Q121378,判定标准：地理实体。 指向核心地点本体。
62,Corybantes,Q631406,希腊神话人物，常在受托的神话题材画作中出现。,Q923296,其他。,Q631406,判定标准：题材属性。 指向神话人物群体。
63,Crete,Q34374,克里特岛。格列柯（El Greco）等画家的故乡及其早期赞助环境。,Q958049,其他。,Q34374,判定标准：地点本体。 指向地理实体。
64,Cybele,Q188236,大地之母神。在 17 世纪寓言画委托中象征丰饶与大地。,Q70392029,具体的雕塑。,Q188236,判定标准：题材本体。 指向神话实体。
65,Dalmatia,Q528042,达尔马提亚地区。威尼斯共和国的重要赞助势力范围。,Q5211528,相关地理名词。,Q528042,判定标准：地点本体。 指向核心地理实体。
66,Daniele Concina,Q3701909,18世纪意大利多明我会修士，与当时的教会艺术赞助紧密关联。,Q112485041,相关记录。,Q3701909,判定标准：职业。 指向历史背景下的神职人员。
67,Daniele Dolfin,Q3015062,18世纪威尼斯枢机主教、著名的艺术赞助人，服务于德拉·罗韦雷等家族。,Q3014934,不同名字的杜尔芬家族成员。,Q3015062,判定标准：赞助人身份。 指向枢机主教及艺术委托方。
68,Daphnis,Q741627,希腊神话牧羊人。田园风格画作委托的常见题材。,Q135361,小行星。,Q741627,判定标准：语义匹配。 排除天文名词。
69,David,Q766487,贝尼尼为枢机主教博尔盖塞创作的雕塑《大卫》。,Q18057751,米开朗基罗的《大卫》（佛罗伦萨政府赞助）。,Q766487,判定标准：赞助人背景。 博尔盖塞家族的委托（贝尼尼版）更契合该批次的巴洛克重心。
70,Democritus,Q41980,古希腊哲学家。在巴洛克艺术中常作为题材受托，与赫拉克利特对映。,Q10882454,相关作品。,Q41980,判定标准：题材本体。 指向人物实体。
71,Denis Diderot (人物),Q448,启蒙运动哲学家、艺术评论家。其《沙龙展》评述深刻改变了画家与购买者的关系。,Q62615724,格勒兹 (Greuze) 创作的肖像画。,Q448,判定标准：社会角色。 确认为历史人物/评论家本体。
71,Portrait of Denis Diderot,Q448,同上,Q62615724,描述见上。体现了 18 世纪启蒙文人的官方视觉形象。,Q62615724,判定标准：正式作品名。 指向肖像画实体。
72,Denis Mahon,Q3705445,20世纪最重要的巴洛克艺术史学家与收藏家（1910-2011），格尔奇诺研究奠基者。,Q76093327,其他。,Q3705445,判定标准：职业影响力。 指向该领域最具权威性的收藏家。
73,Diana (人物),Q132543,罗马神话狩猎女神。赞助人常要求将其女性家眷描绘为此形象。,Q645412,特指某幅画。,Q132543,判定标准：题材本体。 指向神话女神本体实体。
74,Diana and her Nymphs,Q26038063,维米尔 (Vermeer) 约 1653 年受托创作的油画。,Q32234,其他画作标题。,Q26038063,判定标准：艺术史地位。 在赞助关系中，维米尔此作具有特殊研究价值。
75,Dido,Q905162,迦太基女王。在 17 世纪歌剧与绘画委托中是极受欢迎的悲剧女英雄题材。,Q202550,卫星。,Q905162,判定标准：语义匹配。 排除天文名词。
76,Diogenes Searching for an Honest Man,Q75194631,17世纪常见的寓言画题材，表现哲学家第欧根尼提灯寻人。,Q114719834,具体的画作。,Q75194631,判定标准：题材代表性。 涵盖该主题在赞助史中的通用记录。
77,Domenico Fontana,Q336806,16世纪意大利建筑师，教皇西斯都五世的主要建筑师，负责竖立方尖碑。,Q66624849,其他。,Q336806,判定标准：职业地位。 指向教皇赞助体系中的核心执行者。
78,Domenico Rossi,Q60335720,18世纪威尼斯巴洛克建筑师，受托设计了耶稣会教堂的宏伟立面。,Q108446764,不同名字的人物。,Q60335720,判定标准：身份匹配。 确认为威尼斯赞助背景下的建筑师。
79,Dominicans,Q131479,多明我会。欧洲最重要的宗教艺术赞助机构之一。,Q3247924,其他。,Q131479,判定标准：机构本体。 指向修会本体，用于关联其庞大的委托历史。
80,Drunken Silenus,Q17652393,鲁本斯或里贝拉（Ribera）受托创作的著名神话题材。,Q3960488,抽象题材。,Q17652393,判定标准：实体具体性。 指向特定受托风格的代表作。
81,Edward Poore,Q75928552,18世纪英国贵族、赞助人，活跃于罗马的艺术市场。,Q75928525,描述见上。,Q75928552,判定标准：首选条目。 Q75928552 提供更详实的身份信息。
82,Edward Young,Q507699,18世纪英国诗人，其《夜思》对当时的艺术赞助与感伤主义风格有深远影响。,Q15055406,其他。,Q507699,判定标准：文化影响力。 指向诗人本体，探讨其作为思想源头的地位。
83,Elijah,Q133507,先知以利亚。反宗教改革时期最受赞助人推崇的圣经题材之一。,Q19827682,相关作品。,Q133507,判定标准：题材本体。 指向人物/题材实体。
84,Elizabeth Yates,Q4990813,19世纪著名女演员。肖像画委托的常见主体。,Q5363769,其他。,Q4990813,判定标准：社会形象。 确认为肖像画的被画者。
85,Enzo Bentivoglio,Q21548348,17世纪法拉拉贵族、外交官与著名的罗马艺术赞助人。,Q123115360,其他。,Q21548348,判定标准：赞助人身份。 指向本蒂沃利奥家族在罗马的核心赞助者。
86,Erminia,Q17324876,塔索《被解放的耶路撒冷》中女英雄。巴洛克时期最受赞助人喜爱的文学绘画题材。,Q3732023,其他描述。,Q17324876,判定标准：题材特定性。 确认为艺术史中极重要的题材实体。
87,Esau,Q220822,圣经人物。在描写“出卖长子权”的委托画中是核心主体。,Q81826641,相关作品标题。,Q220822,判定标准：题材本体。 指向圣经人物实体。
88,Esther before Ahasuerus,Q26492606,圣经题材：以斯帖晋见王。常受托表现女性的智慧与王权，如阿特米希亚的作品。,Q3733425,其他描述。,Q26492606,判定标准：具体性。 指向特定的艺术史经典题材。
89,Et in Arcadia ego,Q15805858,普桑 (Poussin) 1637 年为枢机主教罗ospigliosi创作。,Q1140358,圭尔奇诺创作的同名早期作品。,Q15805858,判定标准：影响力判定。 普桑此作在赞助与艺术史讨论中占据绝对核心。
90,Ezekiel,Q194064,先知以西结。宗教艺术赞助中宏大远象题材的代表。,Q19271130,相关作品。,Q194064,判定标准：题材本体。 指向先知实体。
91,Fabrizio Moretti,Q47542159,意大利著名古董商与收藏家，专门经营 14-16 世纪大师画作。,Q522260,不同职业。,Q47542159,判定标准：职业领域。 指向现代顶级收藏与经营者。
92,Fausto Rughesi,Q124857379,16-17世纪意大利建筑师，受托设计了罗马圣母堂（Santa Maria in Vallicella）的立面。,Q109295630,描述较少记录。,Q124857379,判定标准：身份匹配。 确认为重要建筑工程的执行方。
93,Federico Cesi (人物),Q322023,猞猁之眼科学院创始人（1585-1630），加利略的早期赞助人及科学收藏家。,Q1605089,描绘费德里科·切西的肖像。,Q322023,判定标准：赞助人身份。 指向 17 世纪最重要的科学与艺术赞助人。
93,Portrait of Federico Cesi,Q322023,同上,Q1605089,记录其学术形象的油画肖像，反映了科学赞助的视觉属性。,Q1605089,判定标准：正式作品名。 指向具体的图像记录。
94,Ferdinand Boyer,Q62559508,法国艺术史学家，专门研究 18 世纪意大利与法国的艺术赞助关系。,Q8319285,不同记录。,Q62559508,判定标准：学科领域。 确认为相关领域的研究专家。
95,Ferdinand van den Eynde,Q99237902,17世纪佛兰德斯巨商与收藏家（1630年卒），那不勒斯艺术赞助的核心人物。,Q115811440,他的墓葬纪念碑（由杜奎诺伊雕刻）。,Q99237902,判定标准：赞助人本体。 确认为庞大艺术收藏的拥有者。
96,Ferdinando de' Medici,Q465178,17世纪托斯卡纳大公储（1663-1713），著名的“音乐与艺术赞助人”。,Q68868116,相关作品。,Q465178,判定标准：赞助人身份。 指向美第奇家族晚期最重要的赞助实体。
97,Filippo Corsini,Q3745158,17世纪意大利贵族、教皇克莱蒙十二世的家族成员，重要的赞助人。,Q110738215,现代同名人物。,Q3745158,判定标准：年代契合。 确认为巴洛克时期的赞助家族成员。
98,Flavio Chigi,Q368700,17世纪意大利枢机主教、教皇亚历山大七世的侄子，罗马最显赫的收藏家之一。,Q1397340,其他同名人物。,Q368700,判定标准：赞助人影响力。 指向奇吉家族的核心赞助实体。
99,Francesco Barberini,Q2662344,17世纪枢机主教（1597-1679），教皇乌尔班八世的侄子，其赞助定义了巴洛克罗马。,Q62121634,相关作品描述。,Q2662344,判定标准：赞助人地位。 指向 17 世纪教皇权力和艺术赞助的核心。
100,Francesco Fanelli,Q3749954,17世纪意大利雕塑家（1577-1663），主要活跃于英国宫廷。,Q3749953,其他记录。,Q3749954,判定标准：职业。 指向艺术家本人。
101,Francesco Fontana,Q3749996,17-18世纪意大利巴洛克建筑师（1668-1708），卡洛·丰塔纳之子。,Q646955,17世纪意大利枢机主教。,Q3749996,标准：职业角色 (P106)。 建筑师 Fontana 是多项教皇工程的执行者。
102,Francesco Maidalchini,Q3080994,17世纪意大利枢机主教（1631-1700），奥林匹娅·迈达尔基尼之侄，显赫赞助人。,Q112434208,描绘其形象的肖像画。,Q3080994,标准：赞助人本体。 指向契约中的委托方角色。
103,Francesco Milizia (人物),Q323009,18世纪著名的意大利建筑理论家与艺术评论家（1725-1798），新古典主义倡导者。,Q3750297,描绘米利齐亚的半身雕塑。,Q323009,标准：职业 (P106)。 指向理论家本体，研究其对赞助口味的影响。
103,Bust of Francesco Milizia,Q323009,同上。,Q3750297,记录这位评论家形象的肖像作品。,Q3750297,标准：正式作品名。 指向艺术品实体。
104,Francis Bacon,Q37388,17世纪英国哲学家、政治家。其肖像常由当时名家受托创作。,Q154340,20世纪英国画家弗朗西斯·培根。,Q37388,标准：年代与语境。 在历史赞助背景下，通常指代 17 世纪的哲学家被画者。
105,Francis Watson,Q1441774,20世纪著名的艺术史学家、华莱士收藏馆馆长，专门研究法式家具与赞助。,Q112540489,不同领域。,Q1441774,标准：职业领域。 指向艺术史研究者。
106,Franconia,Q150907,德国法兰克尼亚地区。维尔茨堡宫（由提埃坡罗装饰）的赞助背景地。,Q1374404,其他行政区。,Q150907,标准：地理本体。 指向核心历史地理实体。
107,Frederick the Great,Q118998667,普鲁士国王腓特烈二世（1712-1786）。著名的艺术与音乐赞助人。,Q114986073,腓特烈大帝的肖像。,Q118998667,标准：赞助人本体。 确认为无忧宫等工程的最高委托人。
108,Fulvio Testi,Q594614,17世纪意大利外交官与诗人（1593-1646），与埃斯特家族赞助圈紧密相关。,Q120973899,描绘其形象的肖像。,Q594614,标准：身份。 指向历史人物本体。
109,Ganymede,Q131588,希腊神话中美少年。巴洛克天顶画中最受赞助人喜爱的寓言题材。,Q3169,木卫三。,Q131588,标准：语义匹配。 艺术背景下排除天文名词。
110,Gasparo Gozzi,Q1232500,18世纪威尼斯作家与评论家，活跃于威尼斯艺术赞助社交圈。,Q91016550,相关的肖像作品。,Q1232500,标准：职业身份。 指向文人/评论家本体。
111,Giacomo Lomellini,Q15896926,热那亚共和国总督，17世纪重要的热那亚艺术赞助人。,Q117459069,相关的视觉记录。,Q15896926,标准：赞助人地位。 确认为政治权力与艺术契约的核心。
112,Giovanni Adamo,Q581481,18世纪利希滕斯坦亲王（Johann Adam Andreas），欧洲最重要的艺术收藏家之一。,Q77227732,相关记录。,Q581481,标准：收藏家身份。 确认为该家族赞助史的关键成员。
113,Giovanni Battista Pasquali,Q3762420,18世纪威尼斯著名的出版商与艺术赞助中介，服务于约瑟夫·史密斯领事。,Q3766722,同名人物。,Q3762420,标准：职业 (P106)。 与威尼斯 18 世纪艺术市场紧密关联。
114,Giovanni Battista Recurti,Q110566749,18世纪威尼斯著名的出版商，曾资助并出版大量艺术与建筑图册。,Q112435296,其他记录。,Q110566749,标准：职业。 指向艺术图册出版赞助者。
115,Giovanni Battista Rota,Q15695541,18世纪意大利主教与赞助人。,Q3766743,其他同名。,Q15695541,标准：年代与身份。 契合该阶段的教廷赞助背景。
116,Giovanni Bona,Q5565359,17世纪意大利枢机主教、学者（1609-1674），波拿家族成员。,Q82694,不同人物。,Q5565359,标准：身份契合。 确认为活跃于巴洛克罗马的赞助阶层。
117,Giovanni Marchiori,Q240781,18世纪威尼斯著名的洛可可雕塑家（1696-1778）。,Q76521682,描绘马尔基奥里的肖像。,Q240781,标准：职业。 指向艺术家（执行方）本体。
118,Giovanni Sforza,Q3768134,佩萨罗领主（1466-1510），卢克雷齐亚·波吉亚的首任丈夫，艺术委托人。,Q1379775,抽象描述或误指。,Q3768134,标准：身份。 指向文艺复兴领主及赞助人。
119,Giovanni Tabacco,Q3768195,20世纪意大利历史学家，专门研究中世纪至近代国家的赞助制度。,Q21289021,相关描述。,Q3768195,标准：职业领域。 确认为相关制度研究专家。
120,Girolamo Colonna,Q1223162,17世纪意大利枢机主教（1604-1666），科隆纳家族显赫的艺术赞助人。,Q22783981,相关画作标题。,Q1223162,标准：赞助人身份。 指向科隆纳家族的核心人物。
121,Girolamo Zanetti,Q27478552,18世纪威尼斯学者，专门研究威尼斯硬币与古代艺术赞助史。,Q61482945,不同人物。,Q27478552,标准：职业领域。 与 18 世纪艺术学术圈吻合。
122,Giulio Natali,Q19868897,20世纪艺术史学家，专门研究 18 世纪罗马的赞助人与文化。,Q136242352,法律学者。,Q19868897,标准：职业领域。 确认为赞助史研究专家。
123,Giulio Savelli,Q3107956,17世纪意大利枢机主教，萨韦利家族在罗马艺术市场的重要参与者。,Q116619951,不同名字。,Q3107956,标准：身份契合。 确认为 17 世纪显赫的教廷赞助人。
124,Giuseppe Bianchini,Q2071608,18世纪意大利学者、枢机（1704-1764），著名的文献赞助者。,Q114860412,不同记录。,Q2071608,标准：身份匹配。 确认为 18 世纪活跃的学者赞助人。
125,Giuseppe Delogu,Q55226990,20世纪意大利艺术史学家，专注于 17-18 世纪威尼斯绘画与赞助研究。,Q123222353,其他记录。,Q55226990,标准：职业领域。 指向相关领域的研究学者。
