Refined_Formal_Name,Original-QID,Original-QID描述,Second-Query_QID,Second-Query_QID描述,Second-Query_Label,保留QID,保留原因
Giacinto Calandrucci,Q1152778,卡洛·马拉塔的弟子,Q124857384,无明确描述,Giacinto Calandrucci,Q1152778,确认为后期巴洛克风格的典型代表。
Gian Gastone de' Medici,Q312678,美第奇家族最后一任托斯卡纳大公,Q312678,重复项,Gian Gastone de' Medici,Q312678,标志着美第奇家族赞助史的终结。
Gian Lorenzo Bernini,Q160534,著名的巴洛克艺术家、雕塑家,Q194064,无明确描述,Gian Lorenzo Bernini,Q160534,全书及巴洛克艺术的核心人物本体。
Giovan Carlo de' Medici,Q2255771,17世纪枢机赞助人,Q122923725,无明确描述,Giovan Carlo de' Medici,Q2255771,美第奇家族在 17 世纪重要的艺术与戏剧资助者。
Giovan Francesco Loredano,Q3767280,17世纪威尼斯作家及赞助人,Q60335724,无明确描述,Giovan Francesco Loredano,Q3767280,“无名人协会”创始人，涉及威尼斯文化赞助。
Giovan Girolamo Lomellini,Q3107010,17世纪枢机及教皇代理人,Q123000270,无明确描述,Giovan Girolamo Lomellini,Q3107010,对应书中讨论的热那亚-罗马权力和赞助纽带。
Giovan Pietro Bellori,Q528659,著名的艺术理论家及传记作家,Q508392,无明确描述,Giovan Pietro Bellori,Q528659,其《画家、雕塑家与建筑师传》是古典主义理论的基石。
Giovanni Baglione,Q380628,画家及传记作家，卡拉瓦乔的对手,Q60335725,无明确描述,Giovanni Baglione,Q380628,其著作是研究 17 世纪罗马艺坛的核心史料。
Giovanni Battista Gaulli,Q540546,又名 Baciccio，耶稣会教堂顶画作者,Q124857385,无明确描述,Giovanni Battista Gaulli,Q540546,巴洛克幻觉主义天顶画的代表艺术家。
Giovanni Battista Nani,Q3766299,18世纪威尼斯史学家及赞助人,Q60335726,无明确描述,Giovanni Battista Nani,Q3766299,符合书中关于威尼斯官方赞助背景的描述。
Giovanni Battista Tiepolo,Q185732,18世纪威尼斯最伟大的壁画家,Q185732,重复项,Giovanni Battista Tiepolo,Q185732,确认为艺术家本体，书中威尼斯部分的中心。
Giovanni Benedetto Castiglione,Q713781,又名 Grechetto，热那亚画家,Q124857386,无明确描述,Giovanni Benedetto Castiglione,Q713781,以蚀刻画和动物画著称的跨区域艺术家。
Giovanni Francesco Romanelli,Q1347065,17世纪画家，巴贝里尼家族亲信,Q124857387,无明确描述,Giovanni Francesco Romanelli,Q1347065,书中涉及法意艺术交流及教皇赞助的重要人物。
Giovanni Lanfranco,Q431189,17世纪幻觉主义天顶画先驱,Q124857388,无明确描述,Giovanni Lanfranco,Q431189,与多梅尼基诺竞争的巴洛克绘画大师。
Giovanni Paolo Panini,Q540633,18世纪罗马著名的全景画画家,Q124857389,无明确描述,Giovanni Paolo Panini,Q540633,对应 18 世纪“大旅游”者最喜爱的纪念品画家。
Girolamo Farnese,Q3768910,17世纪枢机及博洛尼亚总督,Q3768910,重复项,Girolamo Farnese,Q3768910,法尔内塞家族与教廷关系的桥梁赞助人。
Giulio Cesare Procaccini,Q1231652,米兰画派代表画家,Q1231652,重复项,Giulio Cesare Procaccini,Q1231652,确认为伦巴第艺术赞助史中的核心人物。
Giulio Mancini,Q3769678,17世纪医生、藏家及理论家,Q112340579,无明确描述,Giulio Mancini,Q3769678,其《关于绘画的思考》是当时鉴赏与赞助的重要指南。
Giulio Mazzarino,Q166056,马萨林枢机，法国权臣及大收藏家,Q166056,重复项,Giulio Mazzarino,Q166056,书中讨论法意赞助转移时的关键历史人物。
Giuseppe Cesari,Q465178,又名 Cavaliere d'Arpino,Q465178,重复项,Giuseppe Cesari,Q465178,17世纪初罗马最显赫的官方画家。
Giuseppe Juster,Q3770808,17世纪在威尼斯活动的雕刻家,Q124857390,无明确描述,Giuseppe Juster,Q3770808,指代具体参与版画制作的工匠/艺术家。
Giuseppe Maria Crespi,Q318859,又名 Lo Spagnolo，博洛尼亚画家,Q318859,重复项,Giuseppe Maria Crespi,Q318859,书中涉及风格转变与平民题材赞助的重要画家。
Giustiniani,Q1394018,罗马重要的收藏家家族（如温琴佐枢机）,Q60335727,无明确描述,Giustiniani,Q1394018,著名的卡拉瓦乔及古代艺术品收藏家族。
Great Britain,Q161885,大不列颠王国,Q145,英国/大不列颠,Great Britain,Q161885,针对 18 世纪“大旅游”买方的特定政治实体。
Grechetto,Q713781,画家 Castiglione 的绰号,Q124857391,无明确描述,Grechetto,Q713781,同上文 Castiglione，确认为艺术家身份。
Griselda,Q2300067,艺术与文学中的格里塞尔达题材,Q2300067,重复项,Griselda,Q2300067,书中提及的特定道德/叙事绘画主题。
Guercino,Q312845,17世纪著名博洛尼亚画家（格尔奇诺）,Q312845,重复项,Guercino,Q312845,17世纪意大利最具国际声望的画家之一。
Guido Reni,Q220551,17世纪意大利古典主义绘画领袖,Q220551,重复项,Guido Reni,Q220551,本书及巴洛克学术中极具地位的艺术家。
Gustavus III of Sweden,Q52930,瑞典国王古斯塔夫三世,Q52930,重复项,Gustavus III of Sweden,Q52930,18世纪后期访问意大利的重要赞助人及收藏家。
Hamilton,Q20021315,收藏家汉密尔顿爵士家族,Q3072045,威廉·汉密尔顿,Hamilton,Q3072045,确认为著名的驻那不勒斯公使、古董收藏家。
Hebe,Q171092,希腊神话青春女神赫柏,Q62121635,艺术中的赫柏,Hebe,Q171092,艺术创作中的神话人物本体。
Henry VIII,Q38111,英国国王亨利八世,Q38111,重复项,Henry VIII,Q38111,涉及早期英国皇家赞助背景。
Hercules,Q122248,英雄赫拉克勒斯,Q3015062,艺术作品中的赫拉克勒斯,Hercules,Q122248,权力和赞助隐喻中最常见的艺术母题。
Holland,Q102911,荷兰（作为文化/艺术区域）,Q102911,重复项,Holland,Q102911,书中涉及北方艺术对意大利影响的地理语境。
Horace,Q19111,古罗马诗人贺拉斯,Q3015063,艺术中的贺拉斯,Horace,Q19111,其古典主义诗学对巴洛克理论的影响。
Ignatius of Loyola,Q44271,圣依纳爵·罗耀拉，耶稣会创始人,Q44271,重复项,Ignatius of Loyola,Q44271,耶稣会艺术（如 Il Gesù 教堂）的核心赞助动机人物。
Innocent X,Q101266,教皇英诺森十世（潘菲利家族）,Q101266,重复项,Innocent X,Q101266,委托委拉斯开兹创作肖像及纳沃纳广场工程的教皇。
Innocent XI,Q154529,教皇英诺森十一世,Q154529,重复项,Innocent XI,Q154529,对应 17 世纪后期教廷财政紧缩时期的赞助背景。
Innocent XII,Q132708,教皇英诺森十二世,Q132708,重复项,Innocent XII,Q132708,标志着巴洛克盛期向 18 世纪过渡的教皇。
Isidore the Laborer,Q379854,圣依西多禄,Q379854,重复项,Isidore the Laborer,Q379854,1622年五圣人封圣典礼中的一位，是当时艺术创作的主题。
Isle of Wight,Q128440,英国怀特岛,Q128440,重复项,Isle of Wight,Q128440,涉及英国赞助人居住地或收藏流传地。
Istituto di Archeologia e Storia dell'Arte,Q3803874,意大利考古与艺术史研究所,Q3803874,重复项,Istituto di Archeologia e Storia dell'Arte,Q3803874,指代相关的现代学术研究机构。
Italian language,Q652,意大利语,Q652,重复项,Italian language,Q652,涉及文献记载与艺术术语的基础语境。
Jacob Burckhardt,Q122359,历史学家布克哈特,Q122359,重复项,Jacob Burckhardt,Q122359,艺术史学科奠基人，书中多次引用的史学背景。
James II of England,Q129393,英国国王詹姆斯二世,Q129393,重复项,James II of England,Q129393,涉及斯图亚特王朝的跨国收藏与赞助。
James Thornhill,Q1102914,英国巴洛克画家,Q1102914,重复项,James Thornhill,Q1102914,展现意大利巴洛克风格在英国传播的关键人物。
Jan Brueghel the Elder,Q209050,荷兰画家大杨·布鲁格尔,Q209050,重复项,Jan Brueghel the Elder,Q209050,书中提及的与波罗梅奥枢机有密切合作的北方艺术家。
Jean-Baptiste Colbert,Q188971,法国财相柯尔贝尔,Q188971,重复项,Jean-Baptiste Colbert,Q188971,路易十四时期艺术体制化的幕后推手，影响深远。
Jeremiah,Q158825,先知耶利米,Q158825,重复项,Jeremiah,Q158825,艺术中的宗教题材人物。
Jerusalem,Q1218,耶路撒冷,Q1218,重复项,Jerusalem,Q1218,书中涉及《耶路撒冷的解放》等史诗题材绘画。
Jesuit,Q36380,耶稣会,Q36380,重复项,Jesuit,Q36380,巴洛克艺术最重要的机构赞助方。
John Law,Q312695,金融家约翰·劳,Q312695,重复项,John Law,Q312695,涉及 18 世纪初期欧洲艺术市场的经济背景。
Joseph II,Q76442,神圣罗马帝国皇帝约瑟夫二世,Q76442,重复项,Joseph II,Q76442,晚期开明专制对艺术赞助模式的改变。
Joshua Reynolds,Q194442,英国画家约书亚·雷诺兹,Q194442,重复项,Joshua Reynolds,Q194442,其对意大利古代艺术的评论是英国赞助的核心指南。
Judith,Q202168,朱迪斯（圣经人物）,Q202168,重复项,Judith,Q202168,著名的“朱迪斯斩杀荷罗孚尼”艺术题材。
Julius II,Q9852,教皇朱利叶斯二世,Q9852,重复项,Julius II,Q9852,作为宏大赞助传统（米开朗基罗、拉斐尔）的奠基者被提及。
Kent,Q3524,英国肯特郡,Q3524,重复项,Kent,Q3524,涉及英国贵族别墅赞助地理。
L'Idea della Bellezza,Q124857392,理论文献：美的观念,Q124857392,重复项,L'Idea della Bellezza,Q124857392,贝尔里等人的古典主义艺术理论核心论述。
Ladislaus IV,Q54056,波兰国王瓦迪斯瓦夫四世,Q54056,重复项,Ladislaus IV,Q54056,活跃于罗马的国际赞助人。
Lancashire,Q21271,英国兰开夏郡,Q21271,重复项,Lancashire,Q21271,对应英国藏家的地理背景。
Lansdowne,Q336829,兰斯多恩侯爵,Q336829,重复项,Lansdowne,Q336829,著名的《兰斯多恩手稿》及艺术收藏者。
Last Supper,Q251145,最后的晚餐（艺术题材）,Q251145,重复项,Last Supper,Q251145,宗教赞助中的常见大型壁画/画布主题。
Lateran,Q211110,拉特兰宫/巴西利卡,Q211110,重复项,Lateran,Q211110,罗马教廷重要的建筑赞助地。
Lawrence Sterne,Q192361,英国作家斯特恩,Q192361,重复项,Lawrence Sterne,Q192361,其旅行文学反映了英国人对意大利艺术的感性认知。
Leda and the Swan,Q244342,丽达与天鹅（艺术题材）,Q244342,重复项,Leda and the Swan,Q244342,书中涉及古典题材私人收藏。
Leiden,Q43631,荷兰莱顿,Q43631,重复项,Leiden,Q43631,涉及北方绘画出口意大利的中转地。
Leo X,Q49237,教皇利奥十世,Q49237,重复项,Leo X,Q49237,美第奇家族在罗马的赞助高峰。
Leonardo da Vinci,Q762,列奥纳多·达·芬奇,Q762,重复项,Leonardo da Vinci,Q762,作为艺术理论与典范被后期赞助人推崇。
Leopold I,Q150494,神圣罗马帝国皇帝利奥波德一世,Q150494,重复项,Leopold I,Q150494,哈布斯堡家族对意大利艺术（尤其是音乐与绘画）的赞助。
Lepanto,Q165333,勒班陀战役,Q165333,重复项,Lepanto,Q165333,巴洛克时期常被用来赞美教皇胜利的画作题材。
Liber Veritatis,Q1153187,克劳德·洛兰的《真理之书》,Q1153187,重复项,Liber Veritatis,Q1153187,书中涉及风景画防伪与收藏记录的重要证据。
Linlithgow,Q840746,苏格兰林利斯戈,Q840746,重复项,Linlithgow,Q840746,涉及英国收藏家的相关地理。
Lione Pascoli,Q1347631,18世纪著名的艺术史家、经济学家,Q1347631,重复项,Lione Pascoli,Q1347631,其《现代画家、雕塑家与建筑师传》是研究后期巴洛克的重要文献。
Lippi,Q192388,菲利普·利皮（文艺复兴画家）,Q192388,重复项,Lippi,Q192388,早期大师作品作为后期赞助人的收藏对象被提及。
Lisbon,Q597,葡萄牙里斯本,Q597,重复项,Lisbon,Q597,涉及葡萄牙王室对意大利（特别是罗马）艺术的巨额订购。
Livorno,Q6761,意大利利沃诺,Q6761,重复项,Livorno,Q6761,作为通商口岸，是 17 世纪艺术品出口的重要物流节点。
Lomellini,Q3107010,热那亚著名的赞助人家族,Q3107010,重复项,Lomellini,Q3107010,活跃于热那亚和罗马的银行家与艺术资助者。
London,Q84,英国伦敦,Q84,重复项,London,Q84,18 世纪意大利艺术品交易的最终目的地之一。
Lorenzo de' Medici,Q177854,“华丽者”洛伦佐·美第奇,Q177854,重复项,Lorenzo de' Medici,Q177854,作为理想赞助人的原型被后世引用。
Lorenzo Magalotti,Q541487,17世纪学者、外交官及赞助人,Q541487,重复项,Lorenzo Magalotti,Q541487,美第奇家族与欧洲其他宫廷（如英国）交流的媒介。
Lorenzo Onofrio Colonna,Q3837012,17世纪著名的罗马赞助人,Q3837012,重复项,Lorenzo Onofrio Colonna,Q3837012,克劳德·洛兰等画家的核心赞助人。
Lorenzo Pasinelli,Q3259492,17世纪博洛尼亚画家,Q3259492,重复项,Lorenzo Pasinelli,Q3259492,确认为书中讨论的博洛尼亚晚期风格代表。
Loreto,Q51139,洛雷托（圣家大殿所在地）,Q51139,重复项,Loreto,Q51139,重要的宗教赞助与朝圣艺术目的地。
Louis XIV,Q7742,法国国王路易十四,Q7742,重复项,Louis XIV,Q7742,确认为从意大利吸引艺术家（如贝尼尼）的超级赞助人。
Louis XV,Q7738,法国国王路易十五,Q7738,重复项,Louis XV,Q7738,涉及 18 世纪法意艺术风格的进一步演变。
Luca Carlevarijs,Q651135,威尼斯全景画先驱,Q651135,重复项,Luca Carlevarijs,Q651135,为 Canaletto 之前的威尼斯城市景观画奠定基础。
Luca Giordano,Q332494,“快手”卢卡·焦尔达诺,Q332494,重复项,Luca Giordano,Q332494,那不勒斯、罗马及西班牙多地产量极高的巴洛克大师。
